Date : 2022-06-11 16:13:09
Directory : /Users/ethan/LocalFiles/ResearchFile/SystemicRisk
Total : 101 files,  4873 codes, 1493 comments, 1732 blanks, all 8098 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Julia              |         79 |      3,728 |      1,335 |      1,387 |      6,450 |
| JSON               |          2 |        637 |          0 |        106 |        743 |
| R                  |          5 |        246 |         31 |         62 |        339 |
| Python             |          7 |        175 |        127 |        165 |        467 |
| XML                |          5 |         34 |          0 |          0 |         34 |
| Markdown           |          1 |         27 |          0 |          7 |         34 |
| JSON with Comments |          1 |         16 |          0 |          1 |         17 |
| R DCF              |          1 |         10 |          0 |          4 |         14 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                   |        101 |      4,873 |      1,493 |      1,732 |      8,098 |
| .idea                                                                                                               |          5 |         34 |          0 |          0 |         34 |
| .idea/inspectionProfiles                                                                                            |          1 |          6 |          0 |          0 |          6 |
| .virtual_documents                                                                                                  |          1 |        129 |          0 |        106 |        235 |
| .virtual_documents/scripts                                                                                          |          1 |        129 |          0 |        106 |        235 |
| .virtual_documents/scripts/IO                                                                                       |          1 |        129 |          0 |        106 |        235 |
| pysrc                                                                                                               |          4 |         22 |         21 |         20 |         63 |
| pysrc/core                                                                                                          |          2 |         22 |         21 |         18 |         61 |
| pysrc/core/controller                                                                                               |          1 |         21 |         15 |         12 |         48 |
| pysrc/core/initialization                                                                                           |          1 |          1 |          6 |          6 |         13 |
| pysrc/include                                                                                                       |          2 |          0 |          0 |          2 |          2 |
| scripts                                                                                                             |         14 |      1,073 |        195 |        312 |      1,580 |
| scripts/IO                                                                                                          |          4 |        766 |        109 |        138 |      1,013 |
| scripts/analyse                                                                                                     |          1 |          0 |          0 |          1 |          1 |
| scripts/exp_raw                                                                                                     |          3 |        155 |         52 |         95 |        302 |
| scripts/include                                                                                                     |          2 |          3 |          5 |         11 |         19 |
| scripts/tools                                                                                                       |          1 |         53 |          3 |         11 |         67 |
| scripts/variables                                                                                                   |          2 |         81 |         22 |         45 |        148 |
| scripts/visualization                                                                                               |          1 |         15 |          4 |         11 |         30 |
| src                                                                                                                 |         53 |      2,935 |        705 |        873 |      4,513 |
| src/core                                                                                                            |         28 |      2,397 |        438 |        597 |      3,432 |
| src/core/controller                                                                                                 |          8 |        564 |        185 |        170 |        919 |
| src/core/define                                                                                                     |          8 |        254 |         61 |         76 |        391 |
| src/core/functions                                                                                                  |          6 |      1,015 |        112 |        201 |      1,328 |
| src/core/initialization                                                                                             |          1 |        278 |         25 |         37 |        340 |
| src/core/model                                                                                                      |          2 |        103 |         17 |         45 |        165 |
| src/core/template                                                                                                   |          3 |        183 |         38 |         68 |        289 |
| src/include                                                                                                         |          2 |         62 |         30 |         33 |        125 |
| src/model                                                                                                           |         23 |        476 |        237 |        243 |        956 |
| src/model/model_sets                                                                                                |          3 |         27 |         12 |          3 |         42 |
| src/model/models                                                                                                    |          2 |         41 |         30 |         37 |        108 |
| src/model/processes                                                                                                 |          7 |        191 |        115 |        125 |        431 |
| src/model/stages                                                                                                    |         11 |        217 |         80 |         78 |        375 |
| test                                                                                                                |         20 |        615 |        572 |        403 |      1,590 |
| test/2022-04-21                                                                                                     |          8 |        216 |         26 |         87 |        329 |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                            | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.idea/SystemicRisk.iml                                            | XML                |         10 |          0 |          0 |         10 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.idea/inspectionProfiles/profiles_settings.xml                    | XML                |          6 |          0 |          0 |          6 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.idea/misc.xml                                                    | XML                |          4 |          0 |          0 |          4 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.idea/modules.xml                                                 | XML                |          8 |          0 |          0 |          8 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.idea/vcs.xml                                                     | XML                |          6 |          0 |          0 |          6 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.virtual_documents/scripts/IO/export_exp_data_to_excel.ipynb      | JSON               |        129 |          0 |        106 |        235 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/README.md                                                         | Markdown           |         27 |          0 |          7 |         34 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/SystemicRisk.Rproj                                                | R DCF              |         10 |          0 |          4 |         14 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/SystemicRisk.code-workspace                                       | JSON with Comments |         16 |          0 |          1 |         17 |
| /Users/ethan/LocalFiles/ResearchFile/SystemicRisk/intro.jl                                                          | Julia              |         12 |          0 |          6 |         18 |
