"filename", "language", "JSON with Comments", "JSON", "R DCF", "Markdown", "env", "Python", "compressionTargetFile", "Julia", "comment", "blank", "total"
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.env", "env", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.virtual_documents/scripts/IO/export_exp_data_to_excel.ipynb", "JSON", 0, 129, 0, 0, 0, 0, 0, 0, 0, 106, 235
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/IO/export_exp_data_to_excel.ipynb", "JSON", 0, 654, 0, 0, 0, 0, 0, 0, 0, 0, 654
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/IO/export_exp_data_to_excel.py", "Python", 0, 0, 0, 0, 0, 80, 0, 0, 85, 99, 264
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/exp_raw/main.py", "Python", 0, 0, 0, 0, 0, 13, 0, 0, 11, 14, 38
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/include/include_exp_files.py", "Python", 0, 0, 0, 0, 0, 2, 0, 0, 9, 12, 23
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/settings/set_agents_variables.py", "Python", 0, 0, 0, 0, 0, 115, 0, 0, 145, 14, 274
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/settings/set_environment_variables.py", "Python", 0, 0, 0, 0, 0, 18, 0, 0, 6, 8, 32
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/settings/set_parameter_variables.py", "Python", 0, 0, 0, 0, 0, 25, 0, 0, 8, 14, 47
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/__init__.py", "Python", 0, 0, 0, 0, 0, 21, 0, 0, 4, 6, 31
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 51, 3, 54
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_agentDataCollection.py", "Python", 0, 0, 0, 0, 0, 11, 0, 0, 9, 8, 28
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_agents.py", "Python", 0, 0, 0, 0, 0, 265, 0, 0, 20, 29, 314
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_agentsVariables.py", "Python", 0, 0, 0, 0, 0, 4, 0, 0, 5, 4, 13
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_aspect.py", "Python", 0, 0, 0, 0, 0, 40, 0, 0, 36, 21, 97
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_consts.py", "Python", 0, 0, 0, 0, 0, 20, 0, 0, 2, 9, 31
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_container.py", "Python", 0, 0, 0, 0, 0, 4, 0, 0, 4, 4, 12
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_entity.py", "Python", 0, 0, 0, 0, 0, 14, 0, 0, 66, 12, 92
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_enum.py", "Python", 0, 0, 0, 0, 0, 11, 0, 0, 39, 6, 56
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_environmentVariables.py", "Python", 0, 0, 0, 0, 0, 43, 0, 0, 5, 14, 62
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_module.py", "Python", 0, 0, 0, 0, 0, 44, 0, 0, 19, 20, 83
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_parameterVariables.py", "Python", 0, 0, 0, 0, 0, 4, 0, 0, 1, 4, 9
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/define_type.py", "Python", 0, 0, 0, 0, 0, 19, 0, 0, 2, 6, 27
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/functions/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/functions/fun_balanceSheet.py", "Python", 0, 0, 0, 0, 0, 96, 0, 0, 95, 25, 216
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/functions/fun_loss.py", "Python", 0, 0, 0, 0, 0, 7, 0, 0, 3, 13, 23
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/functions/fun_measure.py", "Python", 0, 0, 0, 0, 0, 1, 0, 0, 8, 14, 23
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/functions/fun_shock.py", "Python", 0, 0, 0, 0, 0, 225, 0, 0, 74, 39, 338
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/functions/fun_state.py", "Python", 0, 0, 0, 0, 0, 426, 0, 0, 139, 40, 605
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/functions/fun_transfer.py", "Python", 0, 0, 0, 0, 0, 178, 0, 0, 72, 27, 277
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/initialization/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/operations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
