id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
54	"[anonymous], 2013, glob syst imp banks"	-0.0396	-0.1343	1	177	258	8
82	"abadie a, 2002, j am stat assoc, v97, p284, doi 10.1198/016214502753479419"	1.5537	-0.4366	2	42	60	7
109	"acemoglu d, 2012, econometrica, v80, p1977, doi 10.3982/ecta9623"	0.2352	-0.041	2	172	280	17
115	"acemoglu d, 2015, am econ rev, v105, p564, doi 10.1257/aer.20130456"	-0.1012	-0.0958	1	422	2124	96
140	"acharya v, 2010, measuring systemic r"	0.5286	0.0784	2	132	205	16
142	"acharya v, 2012, am econ rev, v102, p59, doi 10.1257/aer.102.3.59"	0.5777	-0.1686	2	210	490	30
145	"acharya v, 2014, j financ, v69, p2689, doi 10.1111/jofi.12206"	1.1702	-0.1304	2	124	215	12
154	"acharya v. v., 2010, 1002 fed res bank cl"	-0.2617	0.2676	1	103	122	5
173	"acharya v., 2010, working paper"	0.6543	0.0324	2	146	188	11
204	"acharya vv, 2006, j bus, v79, p1355, doi 10.1086/500679"	0.2924	0.3172	3	85	96	6
206	"acharya vv, 2007, j financ econ, v85, p787, doi 10.1016/j.jfineco.2006.05.011"	-0.2849	0.4413	3	107	169	6
207	"acharya vv, 2007, j financ intermed, v16, p1, doi 10.1016/j.jfi.2006.06.001"	0.2409	0.3618	3	195	334	18
208	"acharya vv, 2008, j money credit bank, v40, p215, doi 10.1111/j.1538-4616.2008.00110.x"	0.2818	0.4277	3	170	293	16
209	"acharya vv, 2008, rev financ stud, v21, p2705, doi 10.1093/rfs/hhm078"	0.266	0.6365	3	136	255	12
213	"acharya vv, 2009, j financ stabil, v5, p224, doi 10.1016/j.jfs.2009.02.001"	0.219	0.1446	3	218	437	25
215	"acharya vv, 2009, restoring financial"	0.3949	0.5141	3	79	119	9
219	"acharya vv, 2011, j financ, v66, p1177, doi 10.1111/j.1540-6261.2011.01669.x"	0.2614	0.4087	3	110	149	6
221	"acharya vv, 2011, j monetary econ, v58, p436, doi 10.1016/j.jmoneco.2011.05.006"	-0.5187	0.171	1	139	230	11
230	"acharya vv, 2013, rev financ, v17, p107, doi 10.1093/rof/rfs022"	-0.5858	-0.1298	1	162	318	11
237	"acharya vv, 2017, rev financ stud, v30, p2, doi 10.1093/rfs/hhw088"	0.3755	-0.2246	2	234	570	28
278	"adrian t, 2010, j financ intermed, v19, p418, doi 10.1016/j.jfi.2008.12.002"	-0.2622	0.0949	1	233	560	23
286	"adrian t, 2016, am econ rev, v106, p1705, doi 10.1257/aer.20120555"	0.4567	-0.2565	2	282	851	46
334	"affinito m, 2012, j bank financ, v36, p3163, doi 10.1016/j.jbankfin.2011.11.016"	-0.8178	0.3907	1	117	199	7
343	"afonso g, 2011, j financ, v66, p1109, doi 10.1111/j.1540-6261.2011.01670.x"	-0.5756	0.3359	1	136	290	13
367	"aghion p, 2000, eur econ rev, v44, p713, doi 10.1016/s0014-2921(00)00058-1"	0.0598	0.6845	3	105	144	5
379	"aharony j, 1983, j bus, v56, p305, doi 10.1086/296203"	0.7826	0.4314	3	120	173	9
380	"aharony j, 1996, j bank financ, v20, p57, doi 10.1016/0378-4266(94)00116-2"	0.8343	0.5246	3	94	125	7
418	"aikman d., 2009, 372 bank engl"	-0.6646	0.3878	1	108	164	5
426	"ait-sahalia y, 2015, j financ econ, v117, p585, doi 10.1016/j.jfineco.2015.03.002"	0.7233	-0.1408	2	77	88	5
438	"akerlof ga, 1970, q j econ, v84, p488, doi 10.2307/1879431"	-0.1193	0.7307	3	61	74	5
459	"albert r, 2000, nature, v406, p378, doi 10.1038/35019019"	-0.6049	0.0548	1	214	529	20
460	"albert r, 2002, rev mod phys, v74, p47, doi 10.1103/revmodphys.74.47"	-0.621	-0.2987	1	144	262	16
493	"alessandri p, 2009, int j cent bank, v5, p47"	-0.2621	0.3737	1	134	216	8
498	"alexander c, 2008, j bank financ, v32, p1008, doi 10.1016/j.jbankfin.2007.08.002"	1.5003	0.0119	2	50	72	7
518	"allen f, 1994, am econ rev, v84, p933"	0.1703	0.8524	3	74	107	6
519	"allen f, 1998, j financ, v53, p1245, doi 10.1111/0022-1082.00052"	0.0087	0.7328	3	102	162	11
520	"allen f, 2000, econ j, v110, p236, doi 10.1111/1468-0297.00499"	-0.3022	0.7635	3	81	120	7
521	"allen f, 2000, j polit econ, v108, p1, doi 10.1086/262109"	-0.0535	0.0792	1	499	4077	205
