id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	advances in complex systems	0.267	-0.0431	11	28	72	8	67	1.7461	2014.625	8.375	0.2183
2	advances in mathematical physics	1.4766	-0.3141	15	2	2	1	4	0.4384	2016	4	0.4384
3	aims mathematics	0.0635	-0.1778	2	3	3	1	1	2.4516	2019	1	2.4516
4	algorithmic finance	0.3574	-0.7813	7	3	4	1	1	0.1096	2016	1	0.1096
5	american economic review	-0.2348	-0.2689	7	70	188	4	451	25.0266	2015.75	112.75	6.2566
6	annals of operations research	0.0157	-0.5925	1	12	17	3	9	3.4427	2017.3333	3	1.1476
7	"annual review of financial economics, vol 5"	-0.2931	0.1518	5	14	15	1	19	0.816	2013	19	0.816
8	applied economics	0.8439	-0.4459	8	1	1	1	0	0	2019	0	0
10	applied mathematics and computation	0.5972	0.4376	13	1	1	1	3	0.1558	2015	3	0.1558
11	asia-pacific journal of accounting & economics	-1.2014	-0.2055	6	3	3	1	3	0.3288	2016	3	0.3288
12	asia-pacific journal of financial studies	1.9205	-0.298	16	1	1	1	3	0.1558	2015	3	0.1558
14	asian review of accounting	-1.2122	-0.2143	6	2	2	1	0	0	2018	0	0
15	bayesian analysis	-0.6403	-0.2775	18	1	1	1	18	0.9348	2015	18	0.9348
16	bulletin of economic research	-0.4738	0.8467	4	3	3	1	0	0	2019	0	0
17	cesifo economic studies	1.9261	-0.2441	16	1	1	2	86	1.0661	2010	43	0.5331
18	chaos solitons & fractals	0.25	0.0599	11	21	39	5	36	10.972	2017.2	7.2	2.1944
19	cogent economics & finance	-0.0567	-1.0884	1	3	5	1	1	2.4516	2019	1	2.4516
20	complexity	-0.1163	0.336	5	22	57	7	10	3.233	2017.8571	1.4286	0.4619
21	computational economics	0.4125	0.3066	13	40	68	8	90	11.3303	1764.75	11.25	1.4163
22	cuadernos de economia	0.6355	-0.3098	19	7	9	1	0	0	2019	0	0
24	decision	-0.8994	0.6161	3	2	2	1	0	0	2018	0	0
25	discrete dynamics in nature and society	0.2786	0.1263	11	4	4	3	14	0.3482	2013.6667	4.6667	0.1161
26	econometrics	-0.9272	0.6119	3	2	2	2	1	0.2238	2018	0.5	0.1119
28	economic journal of emerging markets	-0.7292	-0.7644	7	3	4	1	0	0	2017	0	0
29	economic modelling	0.2984	0.3136	4	12	26	5	19	4.3279	2016.8	3.8	0.8656
30	economic policy	0.1196	0.545	4	1	1	1	9	0.3865	2013	9	0.3865
31	economic record	0.5866	-0.681	8	3	3	1	4	0.8953	2017	4	0.8953
32	economic systems	-0.2299	0.0155	5	8	8	1	8	0.4155	2015	8	0.4155
33	economics letters	0.3525	-0.3592	2	6	7	1	2	0.0949	2014	2	0.0949
35	emerging markets review	-0.0468	0.5303	17	18	33	5	52	7.2581	2016.2	10.4	1.4516
36	empirical economics	-0.3527	-0.4156	7	6	6	1	9	0.4674	2015	9	0.4674
37	energy economics	1.1952	0.6534	14	1	1	2	24	6.6981	2017.5	12	3.3491
38	entropy	0.3404	0.4262	13	5	5	1	0	0	2018	0	0
39	epj data science	0.092	-0.2642	2	15	22	2	3	1.1688	2018.5	1.5	0.5844
40	epl	0.4617	-0.1208	11	9	11	3	56	2.5677	2014	18.6667	0.8559
41	equilibrium-quarterly journal of economics and economic policy	1.0062	0.6265	13	2	2	1	0	0	2019	0	0
42	european economic review	-0.0209	-0.019	12	3	3	2	12	0.3069	2012.5	6	0.1535
