keyword	TC	Centrality	Burst	PY	BurstBegin	BurstEnd	Span	HalfLife2	Status	WaitingTime
Furfine CH, 2003, J MONEY CREDIT BANK, V35, P111, DOI 10.1353/mcb.2003.0004	12.0	0.0	7.8276	2003	2010	2011	2	8.0	1	7
Brunnermeier MK, 2013, J FINANC, V68, P483, DOI 10.1111/jofi.12005	9.0	0.0	3.4913	2013	2016	2017	2	4.0	1	3
Allen F, 2004, ECONOMETRICA, V72, P1023, DOI 10.1111/j.1468-0262.2004.00525.x	7.0	0.0	4.5645	2004	2010	2011	2	6.0	1	6
Hautsch N, 2015, REV FINANC, V19, P685, DOI 10.1093/rof/rfu010	39.0	0.0	4.0067	2015	2018	2020	3	3.0	1	3
Cont R, 2016, MATH FINANC, V26, P835, DOI 10.1111/mafi.12071	9.0	0.0	3.0037	2016	2018	2020	3	3.0	1	2
Iori G, 2006, J ECON BEHAV ORGAN, V61, P525, DOI 10.1016/j.jebo.2004.07.018	16.0	0.0	8.895	2006	2010	2013	4	6.0	1	4
Acharya VV, 2007, J FINANC INTERMED, V16, P1, DOI 10.1016/j.jfi.2006.06.001	23.0	0.0	10.1277	2007	2010	2014	5	6.0	1	3
Forbes K, 2012, 18465 NBER, V0, P0	6.0	0.0	3.0124	2012	2014	2015	2	2.0	1	2
DellAriccia G, 2008, J FINANC INTERMED, V17, P89, DOI 10.1016/j.jfi.2007.06.001	9.0	0.0	3.2783	2008	2010	2015	6	6.0	1	2
Cifuentes R, 2005, J EUR ECON ASSOC, V3, P556, DOI 10.1162/jeea.2005.3.2-3.556	26.0	0.0	14.4642	2005	2010	2013	4	7.0	1	5
Lux T, 2015, J ECON DYN CONTROL, V52, P0, DOI 10.1016/j.jedc.2014.09.038	8.0	0.0	3.1032	2015	2016	2017	2	2.0	1	1
von Hagen J, 2011, EUR J POLIT ECON, V27, P36, DOI 10.1016/j.ejpoleco.2010.07.002	16.0	0.0	3.1455	2011	2014	2017	4	5.0	1	3
