Freq	Burst	Degree	Centrality	Sigma	PageRank	Keyword	Author	Year	Title	Source	Vol	Page	Half-life	DOI	ClusterID
16		9	0.00	1.00	0.00		SHAWKAT HAMMOUDEH	2014	<html><b>...</b></html>	SO	0	0	3		
14	3.55	11	0.01	1.02	0.00		SYED JAWAD HUSSAIN SHAHZAD	2016	<html><b>...</b></html>	SO	0	0	2		
13	2.94	1	0.00	1.00	0.00		JUAN C REBOREDO	2012	<html><b>...</b></html>	SO	0	0	3		
13		8	0.00	1.00	0.00		STEFANO BATTISTON	2012	<html><b>...</b></html>	SO	0	0	4		
12	4.33	6	0.00	1.00	0.00		MAURO GALLEGATI	2010	<html><b>...</b></html>	SO	0	0	2		
11		4	0.00	1.00	0.00		THIAGO CHRISTIANO SILVA	2016	<html><b>...</b></html>	SO	0	0	1		
9		3	0.00	1.00	0.00		ANDREW W LO	2010	<html><b>...</b></html>	SO	0	0	3		
8		3	0.00	1.00	0.00		VIRAL V ACHARYA	2012	<html><b>...</b></html>	SO	0	0	1		
8		3	0.00	1.00	0.00		FABIO CACCIOLI	2014	<html><b>...</b></html>	SO	0	0	2		
8		2	0.00	1.00	0.00		GREGOR N F WEISS	2014	<html><b>...</b></html>	SO	0	0	1		
8		5	0.00	1.00	0.00		GUIDO CALDARELLI	2014	<html><b>...</b></html>	SO	0	0	2		
8	3.26	3	0.00	1.00	0.00		BENJAMIN MIRANDA TABAK	2016	<html><b>...</b></html>	SO	0	0	0		
7		4	0.00	1.00	0.00		WALID MENSI	2016	<html><b>...</b></html>	SO	0	0	1		
7		1	0.00	1.00	0.00		GIULIO CIMINI	2016	<html><b>...</b></html>	SO	0	0	1		
7		4	0.00	1.00	0.00		SERGIO RUBENS STANCATO DE SOUZA	2016	<html><b>...</b></html>	SO	0	0	0		
7		3	0.00	1.00	0.00		STEFAN THURNER	2014	<html><b>...</b></html>	SO	0	0	2		
7		0	0.00	1.00	0.00		ZACHARY FEINSTEIN	2017	<html><b>...</b></html>	SO	0	0	1		
7		2	0.00	1.00	0.00		ANTONIO RUBIA	2012	<html><b>...</b></html>	SO	0	0	3		
7		5	0.00	1.00	0.00		KHUONG NGUYEN DUC	2014	<html><b>...</b></html>	SO	0	0	4		
7	3.09	1	0.00	1.00	0.00		MARDI DUNGEY	2018	<html><b>...</b></html>	SO	0	0	0		
