Freq	Burst	Degree	Centrality	Sigma	PageRank	Keyword	Author	Year	Title	Source	Vol	Page	Half-life	DOI	ClusterID
962		28	0.00	1.00	0.00	systemic risk									
722		39	0.00	1.00	0.00	contagion									
450	3.61	21	0.00	1.00	0.00	risk									
387		23	0.00	1.00	0.00	model									
343	2.85	29	0.00	1.00	0.00	market									
275	7.57	22	0.00	1.00	0.00	liquidity									
245		17	0.00	1.00	0.00	financial crisis									
180		27	0.00	1.00	0.00	volatility									
158		32	0.00	1.00	0.00	return									
155		12	0.00	1.00	0.00	crisis									
141		24	0.00	1.00	0.00	bank									
130		21	0.00	1.00	0.00	financial network									
121	3.41	34	0.00	1.00	0.00	financial contagion									
112		19	0.00	1.00	0.00	financial stability									
104		36	0.00	1.00	0.00	stock market									
101		12	0.00	1.00	0.00	impact									
100		30	0.00	1.00	0.00	performance									
100		35	0.00	1.00	0.00	determinant									
94		18	0.00	1.00	0.00	network									
92		24	0.00	1.00	0.00	stability									
91	4.64	20	0.00	1.00	0.00	crise									
90		29	0.00	1.00	0.00	interdependence									
88		29	0.00	1.00	0.00	interbank market									
88	8.93	26	0.00	1.00	0.00	information									
88		20	0.00	1.00	0.00	diversification									
87		18	0.00	1.00	0.00	banking									
82		21	0.00	1.00	0.00	financial crise									
82	6.50	29	0.00	1.00	0.00	deposit insurance									
82		22	0.00	1.00	0.00	topology									
81		17	0.00	1.00	0.00	debt									
78		24	0.00	1.00	0.00	price									
75		13	0.00	1.00	0.00	monetary policy									
75		23	0.00	1.00	0.00	credit risk									
73		28	0.00	1.00	0.00	dependence									
70		22	0.00	1.00	0.00	exposure									
70		31	0.00	1.00	0.00	time series									
68	2.88	13	0.00	1.00	0.00	management									
68		18	0.00	1.00	0.00	default									
66		22	0.00	1.00	0.00	global financial crisis									
66	8.71	10	0.00	1.00	0.00	connectedness									
65		16	0.00	1.00	0.00	spillover									
64		15	0.00	1.00	0.00	insurance									
63		18	0.00	1.00	0.00	transmission									
62		15	0.00	1.00	0.00	integration									
60		29	0.00	1.00	0.00	copula									
59		21	0.00	1.00	0.00	dynamics									
59	3.55	23	0.00	1.00	0.00	test									
59		33	0.00	1.00	0.00	competition									
57		9	0.00	1.00	0.00	covar									
57		25	0.00	1.00	0.00	credit									
55		23	0.00	1.00	0.00	spread									
54		29	0.00	1.00	0.00	stock									
53		13	0.00	1.00	0.00	credit default swap									
52		20	0.00	1.00	0.00	equilibrium									
