id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
4	*bas comm bank sup	0.562	0.39	3	102	162	5
23	"abadie, a"	-0.9282	-0.3303	1	80	132	7
26	"abbassi, p"	0.6352	-0.1884	3	160	299	6
46	"acemoglu, d"	0.3135	-0.1965	2	759	5142	142
47	"acemoglu, daron"	0.8635	0.1967	3	161	275	4
50	"acharya viral, v"	-0.4727	-0.395	9	188	301	8
51	"acharya, v"	-0.4874	-0.1939	1	701	3303	101
53	"acharya, vv"	-0.2291	0.0967	4	890	8677	231
62	"adams, z"	-0.7153	-0.2315	1	193	343	11
65	"admati, ar"	-0.3508	0.4546	1	116	212	7
68	"adrian, t"	-0.2551	-0.1634	1	822	5066	149
69	"adrian, tobias"	-0.3814	0.0864	1	183	256	5
71	"affinito, m"	0.7901	0.1237	3	260	610	11
73	"afonso, a"	-0.768	-0.243	1	64	111	4
74	"afonso, g"	0.7075	0.3551	3	277	1051	24
80	"agarwal, v"	-0.3909	-0.3227	1	60	151	5
85	"aghion, p"	-0.2138	0.4305	4	187	369	9
89	"aguiar, a"	0.2005	-0.3715	1	90	132	3
92	"aharony, j"	-0.7721	0.1558	1	233	648	16
93	"ahelegbey, df"	-0.1496	-0.6746	7	102	178	7
109	"ahnert, t"	0.9196	-0.3066	2	97	152	4
110	"ahrend, r"	-0.7361	0.2485	1	53	193	7
119	"aikman, d"	0.504	-0.1671	5	254	592	12
121	"ait-sahalia, y"	-0.664	-0.1427	1	191	309	10
122	"aiyar, s"	-0.8137	0.2	1	109	168	4
123	"aizenman, j"	-0.7565	0.148	1	106	148	5
127	"akerlof, ga"	-0.0979	0.5792	4	124	208	5
128	"akhigbe, a"	-0.9354	0.1622	1	113	170	4
143	"albert, r"	0.722	-0.2157	2	375	1298	37
149	"aldasoro, i"	0.7661	-0.1594	3	322	1163	21
161	"alessandri, p"	0.607	0.1515	3	200	433	10
162	"alessi, l"	0.3857	-0.4981	2	149	227	5
164	"alexander, c"	-0.8675	-0.0149	1	147	240	9
177	"allen, f"	0.1053	0.1964	4	938	15401	420
178	"allen, franklin"	-0.3879	0.515	8	124	305	8
179	"allen, l"	-0.4173	-0.1209	1	297	648	16
192	"aloui, r"	-0.896	-0.1943	1	98	144	6
199	"alter, a"	-0.592	-0.2454	1	364	961	28
201	"altman, ei"	-0.0938	0.1383	1	180	335	9
203	"alvarez, f"	0.0173	0.3815	8	132	223	6
206	"alves, i"	1.0174	-0.0455	3	194	513	12
215	"amihud, y"	-0.5416	0.1209	1	217	378	9
218	"amini, h"	1.0011	-0.3043	7	471	3324	104
224	"amundsen, e"	0.5311	0.3653	3	127	211	4
231	"anand, k"	0.995	-0.3431	2	517	3730	79
234	"andersen, tg"	-0.7381	-0.3762	1	113	357	14
241	"anderson, rm"	0.7786	0.3521	3	98	164	4
252	"ang, a"	-0.661	-0.1278	1	349	788	23
255	"angelini, p"	0.3508	0.2426	3	348	953	25
259	"anginer, d"	-0.4639	0.5304	4	91	159	5
266	"annaert, j"	-0.899	-0.2877	1	67	94	4
272	"antonakakis, n"	-0.8117	0.1124	1	164	359	9
274	"anufriev, m"	-0.4822	-0.5427	1	91	141	4
277	"aoyama, h"	0.8635	0.0903	6	111	229	7
279	"apergis, e"	-0.6196	0.6197	4	45	122	2
280	"apergis, n"	-0.6351	0.5344	4	71	478	10
296	"arellano, m"	-0.1821	-0.2568	1	98	142	6
300	"arghyrou, mg"	-0.7809	-0.0709	1	90	155	7
303	"arinaminpathy, n"	1.045	-0.0997	2	290	851	20
312	"arnold, b"	-0.6661	0.4793	4	82	119	3
316	"arora, n"	-0.3984	-0.2375	1	106	159	5
319	"arregui, mn"	0.7804	0.1038	3	139	246	3
326	"artzner, p"	-0.0427	-0.3978	7	206	429	12
330	"asgharian, h"	-1.0253	-0.2134	1	93	132	4
