keyword	TC	Centrality	Burst	PY	BurstBegin	BurstEnd	Span	HalfLife2	Status	WaitingTime
@PHRASEbank failure	10.0	0.0	3.5382	2011	2011	2013	3	2.0	1	0
@PHRASErisk	450.0	0.0	3.607	2008	2013	2014	2	8.0	1	5
@PHRASEagency	5.0	0.0	2.8084	2011	2011	2013	3	0.0	1	0
@PHRASEmanagement	68.0	0.0	2.8801	2010	2010	2013	4	6.0	1	0
@PHRASEbanking regulation	15.0	0.0	3.2787	2013	2013	2016	4	2.0	1	0
@PHRASEmarket	343.0	0.0	2.8529	2006	2006	2010	5	10.0	1	0
@PHRASEinference	16.0	0.0	3.6282	2012	2012	2015	4	3.0	1	0
@PHRASEfail	18.0	0.0	3.3745	2014	2018	2020	3	4.0	1	4
@PHRASEcredit contagion	23.0	0.0	4.7841	2009	2009	2013	5	4.0	1	0
@PHRASEinstitution	27.0	0.0	3.9277	2011	2011	2014	4	3.0	1	0
@PHRASEstructural change	7.0	0.0	2.8533	2012	2012	2014	3	2.0	1	0
@PHRASEliquidity	275.0	0.0	7.5675	2010	2010	2012	3	6.0	1	0
@PHRASEgreat depression	5.0	0.0	2.8084	2011	2011	2013	3	1.0	1	0
@PHRASEannouncement	14.0	0.0	4.1224	2010	2010	2013	4	3.0	1	0
@PHRASEintermediation	6.0	0.0	3.0255	2014	2014	2015	2	0.0	1	0
@PHRASEtest	59.0	0.0	3.5539	2012	2012	2014	3	4.0	1	0
@PHRASEconnectedness	66.0	0.0	8.7118	2015	2018	2020	3	3.0	1	3
@PHRASEsystem	25.0	0.0	2.9617	2012	2012	2014	3	3.0	1	0
@PHRASErisk management	51.0	0.0	3.2954	2009	2009	2015	7	6.0	1	0
@PHRASEfragility	21.0	0.0	3.4076	2010	2010	2014	5	4.0	1	0
@PHRASEextreme value theory	12.0	0.0	3.2751	2011	2011	2013	3	2.0	1	0
@PHRASEfinancial contagion	121.0	0.0	3.41	2008	2008	2010	3	8.0	1	0
@PHRASEcrise	91.0	0.0	4.6409	2010	2010	2012	3	6.0	1	0
@PHRASEinformation	88.0	0.0	8.925	2010	2010	2013	4	6.0	1	0
@PHRASErisk spillover	17.0	0.0	3.0323	2016	2018	2020	3	2.0	1	2
@PHRASEpanics	21.0	0.0	3.867	2010	2010	2011	2	6.0	1	0
@PHRASEg28	19.0	0.0	3.0478	2011	2011	2013	3	4.0	1	0
@PHRASEparameter	7.0	0.0	2.8533	2012	2012	2014	3	2.0	1	0
@PHRASEmarket discipline	16.0	0.0	3.8195	2010	2010	2013	4	3.0	1	0
@PHRASEstrategy	12.0	0.0	3.9692	2011	2011	2013	3	1.0	1	0
@PHRASEinterest rate	23.0	0.0	3.0779	2010	2010	2011	2	6.0	1	0
@PHRASEsize	13.0	0.0	3.0469	2014	2015	2017	3	2.0	1	1
@PHRASEdeposit insurance	82.0	0.0	6.4973	2010	2010	2014	5	5.0	1	0
@PHRASEcapital shortfall	35.0	0.0	9.2026	2017	2018	2020	3	2.0	1	1
@PHRASElaw	8.0	0.0	3.2001	2012	2012	2015	4	2.0	1	0
@PHRASEinternational transmission	12.0	0.0	3.034	2014	2014	2016	3	1.0	1	0
@PHRASEdesign	5.0	0.0	0.0	2010	-1	-1	0	8.0	0	10
@PHRASEliquidity shock	4.0	0.0	0.0	2018	-1	-1	0	1.0	0	2
@PHRASEdelta covar	3.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEindustry	24.0	0.0	0.0	2012	-1	-1	0	5.0	0	8
@PHRASEdeveloping country	4.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEcrisis	155.0	0.0	0.0	2010	-1	-1	0	6.0	0	10
@PHRASEcontagion effect	11.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEcopula	60.0	0.0	0.0	2011	-1	-1	0	6.0	0	9
@PHRASEprice shock	5.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEsector	19.0	0.0	0.0	2014	-1	-1	0	4.0	0	6
@PHRASEcommonality	3.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEc32	7.0	0.0	0.0	2014	-1	-1	0	2.0	0	6
@PHRASEregulatory capital	4.0	0.0	0.0	2018	-1	-1	0	1.0	0	2
@PHRASEasset return	4.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEtime-varying copula	4.0	0.0	0.0	2018	-1	-1	0	1.0	0	2
@PHRASEeconomics	14.0	0.0	0.0	2011	-1	-1	0	6.0	0	9
@PHRASEownership	17.0	0.0	0.0	2016	-1	-1	0	2.0	0	4
@PHRASEdecision	8.0	0.0	0.0	2012	-1	-1	0	4.0	0	8
@PHRASEvolatility spillover	50.0	0.0	0.0	2013	-1	-1	0	4.0	0	7
@PHRASEvolatility	180.0	0.0	0.0	2010	-1	-1	0	7.0	0	10
@PHRASEidentification	12.0	0.0	0.0	2014	-1	-1	0	4.0	0	6
@PHRASEportfolio	19.0	0.0	0.0	2013	-1	-1	0	4.0	0	7
@PHRASEmarket structure	5.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASErisk-weighted asset	1.0	0.0	0.0	2020	-1	-1	0	0.0	0	0
@PHRASEtrade credit	6.0	0.0	0.0	2018	-1	-1	0	1.0	0	2
@PHRASEregime switching	4.0	0.0	0.0	2019	-1	-1	0	0.0	0	1
@PHRASEoperational risk	7.0	0.0	0.0	2014	-1	-1	0	2.0	0	6
@PHRASEinterdependence	90.0	0.0	0.0	2010	-1	-1	0	7.0	0	10
@PHRASEoil price	25.0	0.0	0.0	2012	-1	-1	0	4.0	0	8
@PHRASEwavelet	9.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEvector autoregression	6.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEeurozone	22.0	0.0	0.0	2014	-1	-1	0	3.0	0	6
@PHRASEbank bailout	5.0	0.0	0.0	2012	-1	-1	0	7.0	0	8
@PHRASEinterbank market	88.0	0.0	0.0	2006	-1	-1	0	10.0	0	14
@PHRASEsovereign	14.0	0.0	0.0	2014	-1	-1	0	4.0	0	6
@PHRASEtransmission	63.0	0.0	0.0	2012	-1	-1	0	5.0	0	8
@PHRASEdynamics	59.0	0.0	0.0	2010	-1	-1	0	7.0	0	10
@PHRASEoil	16.0	0.0	0.0	2015	-1	-1	0	3.0	0	5
@PHRASEcommunity structure	3.0	0.0	0.0	2016	-1	-1	0	0.0	0	4
@PHRASEcommercial bank	2.0	0.0	0.0	2012	-1	-1	0	1.0	0	8
@PHRASEcentral bank	2.0	0.0	0.0	2011	-1	-1	0	0.0	0	9
@PHRASEilliquidity	8.0	0.0	0.0	2014	-1	-1	0	2.0	0	6
@PHRASEeuropean stock market	3.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEchao	2.0	0.0	0.0	2012	-1	-1	0	1.0	0	8
@PHRASEmoney	8.0	0.0	0.0	2010	-1	-1	0	8.0	0	10
@PHRASEcomplex system	13.0	0.0	0.0	2014	-1	-1	0	3.0	0	6
@PHRASEshadow banking	17.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEcredit crisis	4.0	0.0	0.0	2009	-1	-1	0	7.0	0	11
@PHRASEdecomposition	13.0	0.0	0.0	2014	-1	-1	0	4.0	0	6
@PHRASEbrics	4.0	0.0	0.0	2018	-1	-1	0	1.0	0	2
@PHRASErating	7.0	0.0	0.0	2013	-1	-1	0	5.0	0	7
