...1,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,10124.14,13664.27,22746.05,25943.18,31294.37,43887.93,52107.21,60674.25,74649.58,77687.460000000006,71054.78
　　存放同业和其它金融机构款项,7172.19,1668.45,3481.62,5217.9799999999996,3178.79,5597,13659.94,14540.33,9106.02,11117.22,12363.96
　　贵金属,NA,NA,NA,NA,NA,1.78,9.81,2.97,2.88,50.73,625.65
　　拆出资金,NA,NA,NA,NA,NA,86.09,4063.01,1251.42,5281.19,16401.84,20096.28
　　交易性金融资产,NA,NA,NA,NA,129.28,47.43,438.5,3523.84,757.27,2925.32,1757.09
　　衍生金融资产,NA,NA,NA,NA,NA,NA,NA,NA,1.87,8.58,225.39
　　买入返售金融资产,NA,NA,NA,5767.73,10515.16,9904.7099999999991,19106.29,18663.46,17029.63,11315.92,16693.63
　　应收利息,NA,NA,NA,NA,828.63,733.03,1097.0999999999999,1434.51,1717.34,1996.36,2536.7199999999998
　　发放贷款及垫款,NA,NA,NA,NA,116579.76,138785.60000000001,162279.88,189902.58,223021.02,252017.63,289035.45
NA,NA,NA,NA,NA,117408.39,139518.63,NA,NA,NA,NA,NA
　　可供出售金融资产,NA,NA,NA,NA,10472.02,16740.73,14290.74,26242.99,30268.21,51385.91,95619.56
　　持有至到期投资,NA,NA,NA,NA,26740.28,28973.7,34306.57,36222.79,44260.45,40420.57,56809.69
　　长期股权投资,NA,NA,NA,NA,547.45000000000005,467.19,361.59,357.16,358.42,354.14,581.42999999999995
　　应收款项类投资,NA,NA,NA,NA,3222.71,2616.5700000000002,1464.51,187.71,5126.4399999999996,9791.83,9711.85
　　固定资产,680.65,737.6,NA,851.92,3029.67,3186.7,4750.54,5884.11,5920.4,6687.42,6675.53
　　无形资产,4524.84,4436.8599999999997,4328.13,4248.13,NA,NA,NA,NA,NA,NA,NA
　　递延所得税资产,NA,NA,NA,NA,717.26,516.4,1389.96,1440.17,1638.91,1721.16,1770.2
　　投资性房地产,NA,NA,NA,NA,4138.01,NA,NA,NA,NA,NA,NA
　　其他资产,NA,NA,NA,NA,856.97,556.04999999999995,601.41999999999996,1640.13,1752.68,1421.11,1456.32
资产总计,127416.88,136149.32,157472.75,173327.35,212250.36,252100.92,309927.08,361968.42,420892.31,485303.18,587013.54
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,996.78,1050.46,3053.56,405.4,224.27,1057.99,10025.39,8918.8799999999992,8919.7999999999993,9145.9599999999991,48693.93
　　向中央银行借款,NA,NA,NA,NA,NA,NA,NA,165,1149,2169,3434.5
　　拆入资金,NA,NA,NA,NA,NA,100,8051.82,6364.39,2044.65,1902.87,1382.7
　　衍生金融负债,NA,NA,NA,NA,NA,NA,NA,NA,1.02,17.670000000000002,42.67
　　卖出回购金融资产款,7947.12,400,NA,142.18,6523,5273.88,10067.26,6470,8485.0499999999993,18569.53,21903.57
　　吸收存款,NA,NA,NA,NA,179234.05,211834.3,247548.15,292100.21999999997,347891.1,395507.55,450368.33
NA,NA,NA,NA,NA,185981.31999999998,218266.16999999998,NA,NA,NA,NA,NA
　　应付职工薪酬,39.72,155.06,NA,87.82,98.97,324.5,682.91,1109.75,899.23,1635.74,1931.08
　　应交税费,70.81,82.96,235.14,41.68,672.69,788.03,1205.46,880.8,653.47,1032.49,1001.9
　　应付利息,NA,NA,NA,NA,2870.53,3319.69,3853.45,5832.17,6898.98,8293.83,9771.57
　　应付债券,NA,NA,NA,NA,1500,1500,1500,6500,6500,7955.16,3968.32
　　递延所得税负债,NA,NA,NA,NA,134.88,NA,NA,NA,NA,NA,NA
　　预计负债,697.71,745.94,1662.45,1443.07,262.14,249.12,319.33999999999997,343.88,361.35,NA,NA
　　其他负债,NA,NA,NA,NA,6959.97,3938.74,467.46,765.79,548.74,929.86,1188.5
　　负债差额(特殊报表科目),NA,NA,NA,NA,700.97,488.86,1139.5,2917.47,3551.31,NA,NA
　　负债合计,121263.35,129662.36,148846.21,161684.23000000001,199181.48,228875.11,284860.74,332368.34999999998,387903.69,447159.67,543687.06999999995
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,3000.29,3000.29,3745.69,3745.69,3745.69,5000,5000,5000,5000,5000,5000
　　资本公积金,NA,4.51,1241.92,1241.92,1563.57,8577.4599999999991,7552.35,8177.07,7738.2,8111.06,8111.06
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,NA,493.46,777.13
　　盈余公积金,213.33,278.85000000000002,377.24,731.59,873.71,3738.25,4260.17,5099.3500000000004,6136.03,7404.87,8941.61
　　未分配利润,327.57,585.49,638.38,3287.4,4213.5600000000004,3231.53,5554.8,7840.04,9415.99,11904.94,13886.01
　　一般风险准备,2612.33,2617.8200000000002,2623.3,2636.51,2625.54,2625.54,2625.54,2625.54,3578.03,3968.46,5184.17
　　归属于母公司所有者权益合计,6153.53,6486.96,8626.5400000000009,11643.11,13022.07,23172.78,24992.86,28742,31868.25,36882.79,41899.980000000003
　　少数股东权益,NA,NA,NA,NA,46.81,53.03,73.48,858.07,1120.3699999999999,1260.72,1426.5
　　所有者权益合计,6153.53,6486.96,8626.5400000000009,11643.11,13068.88,23225.81,25066.35,29600.07,32988.620000000003,38143.51,43326.48
负债及股东权益总计,127416.88,136149.32,157472.75,173327.35,212250.36,252100.92,309927.08,361968.42,420892.31,485303.18,587013.54
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,带强调事项段的无保留意见,带强调事项段的无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2009-11-23,2009-11-23,2009-11-23,2009-11-23,2010-04-23,2011-04-27,2012-04-27,2013-05-02,2014-04-30,2015-05-04,2016-04-30
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
