...1,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,21301.61,34681.39,41276.33,64957.04,74910.289999999994,93142.25,107011.86,105809.18,121609,139983.73000000001,144057.98000000001
　　存放同业和其它金融机构款项,4257.9399999999996,1192.58,4657.18,4202.68,12163.96,1286.58,36781.08,142401.23000000001,66684.91,71149.789999999994,46177.63
　　贵金属,1.34,248.99,644.80999999999995,42.78,5.61,NA,NA,NA,NA,NA,NA
　　拆出资金,5427.79,8715.31,13897.68,13503.91,11960.04,9346.85,29791.34,15215.91,21376.560000000001,37970.9,72167.759999999995
　　交易性金融资产,15419.86,14953.14,7917.84,6770.15,5453.03,2905.89,6306.91,4848.66,7281.28,7990.84,4614.2
　　衍生金融资产,NA,NA,65.22,151.81,17.59,32.049999999999997,47.2,182.5,1030.56,407.19,691.28
　　买入返售金融资产,12950.18,8525.5300000000007,15996.05,9937.9500000000007,2614,22007.3,9997.06,8323.9699999999993,33136.5,62320.800000000003,51042.68
　　应收利息,955.73,1278.54,1738.29,2149.94,1752.62,1900.26,2679.95,4815.54,5384,6925.1,6053.14
　　发放贷款及垫款,118168.01,121188.43,145879.67000000001,172626.38,238136,290088.26,325523.45,381217.51,430953.61,472194.36,521365.25
NA,119123.73999999999,122466.96999999999,147617.96000000002,174776.32000000001,239888.62,291988.52,328203.40000000002,386033.05,436337.61,479119.45999999996,527418.39
　　可供出售金融资产,6978.5,11227.7,26978.04,39423.68,44222.57,43201.65,46689.67,61539.88,54938.75,86051.72,163955.29
　　持有至到期投资,46356.88,55407.31,41688.410000000003,45640.87,64112.72,80652.539999999994,73610.73,67415.44,74093.37,76004.679999999993,119953.78
　　长期股权投资,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,18.420000000000002
　　应收款项类投资,1822.69,1436.17,3719.29,3247.04,5118.8999999999996,14713.17,6330.19,17031.32,150059.49,213792.69,301803.28999999998
　　固定资产,1815.27,2030.44,2381.4699999999998,3120.33,3070.67,3233.53,3551,3851.41,4571.6000000000004,4414.5,4172.87
　　无形资产,137.26,134.07,210.51,213.24,259.22000000000003,272.64,298.14999999999998,321.37,472.91,532.65,579.91
　　递延所得税资产,777.82,513.99,558.83000000000004,612.55999999999995,1037.83,1510.1,1493.37,1750.09,2182.91,2547.52,3504.32
　　投资性房地产,NA,NA,157.61000000000001,152.81,147.63999999999999,142.82,NA,NA,NA,NA,NA
　　其他资产,1041.67,1122.81,944.81,731.08,598.79,1881.43,5688.06,2179.96,3946.96,5145.72,8982.68
资产差额(特殊报表科目),250.12,246.21,273.97000000000003,251.75,457.49,457.87,NA,NA,NA,NA,NA
资产总计,237662.66,262902.62,308986.01,367735.97,466038.95,566775.19999999995,655800.01,816903.95,977722.41,1187452.2,1449140.49
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,23194.01,29238.26,38242.519999999997,36340.74,80298.02,75280.600000000006,89699.69,160002.73000000001,195686.68,259647.37,331338.78000000003
　　向中央银行借款,NA,NA,NA,NA,NA,NA,NA,40,114.5,40.299999999999997,6403.17
　　拆入资金,NA,850.76,2074.66,5166.62,9603.5499999999993,12548.56,16497.16,15169.19,22570.59,24199.73,30229.75
　　交易性金融负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.76,11.24
　　衍生金融负债,NA,NA,57.84,185.44,15.69,51.78,37.65,196.62,1059.42,349.75,525.4
　　卖出回购金融资产款,13262.07,13738.62,25100.53,32457.29,6325,27885,29015.22,30195.200000000001,46954.81,43943,47464.95
　　吸收存款,184784.58,200368.85,220888.8,266363.07,333420.87,409522.28,466764.06,545031.71,626012.6,724618.13,792679.89
NA,221240.65999999997,244196.49,286364.34999999998,340513.16000000003,429663.13,525288.22,602013.78,750635.45,892398.6,1052852.04,1208653.1800000002
　　应付职工薪酬,105.37,138.37,261.27999999999997,496.83,496.78,558.27,786.75,1167.1300000000001,1432.85,1661.01,2046.98
　　应交税费,22.69,93.76,759.79,547.12,529.75,826.77,714.01,1118.24,1462.14,2043.91,2857.29
　　应付利息,907.91,1244.9100000000001,1603.94,2534.06,2723.23,3598.43,4892,7422.97,10628.58,12726.01,14766.54
　　应付债券,3000,3000,3000,3000,8000,5000,10000,12219.16,12220.25,38460.22,123939.76
　　递延所得税负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.55,51.36
　　预计负债,70,57,49.5,115.71,126.39,74.64,NA,NA,NA,NA,NA
　　其他负债,1998.07,1831,2185.7800000000002,1688.99,2987.57,1941.78,2117.04,2069.39,3260,5336.49,3991
　　负债合计,227344.69,250561.52,294224.65000000002,348895.86,444526.86,537288.11,620523.59,774632.33,921402.43,1113093.24,1356306.09
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,2600,2600,2600,2600,2600,4234,4234,4234,4234,4704,5404
　　资本公积金,1376.43,1327.71,1125.6400000000001,2517.25,1956.37,3659.21,4003.06,3869.55,9333.06,15688.71,20392.7
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,NA,744.26,1887.02
　　盈余公积金,3267.03,3589.31,3627.03,4709.21,5632.35,6719.21,8227.66,9969.3799999999992,12219.38,15024.99,18402.91
　　未分配利润,3074.52,3334.08,4718.7,5273.66,7123.37,10114.67,12734.3,16651.060000000001,19683.09,24942.91,29635.75
　　一般风险准备,NA,1490,2690,3740,4200,4760,5930,7230,10485.92,12865.47,16668.11
　　外币报表折算差额,NA,NA,NA,NA,NA,NA,NA,NA,-0.62,NA,NA
　　归属于母公司所有者权益合计,10317.969999999999,12341.1,14761.36,18840.11,21512.09,29487.09,35129.01,41953.98,55954.83,73970.34,92390.5
　　少数股东权益,NA,NA,NA,NA,NA,NA,147.41,317.64,365.15,388.62,443.9
　　所有者权益合计,10317.969999999999,12341.1,14761.36,18840.11,21512.09,29487.09,35276.42,42271.62,56319.99,74358.960000000006,92834.4
负债及股东权益总计,237662.66,262902.62,308986.01,367735.97,466038.95,566775.19999999995,655800.01,816903.95,977722.41,1187452.2,1449140.49
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2009-11-10,2009-11-10,2008-05-22,2009-08-12,2010-04-29,2011-04-29,2014-06-30,2015-12-17,2015-12-17,2015-12-17,2016-04-29
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
