...1,2006-12-31,2007-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,532.25,1021.39,2061.0500000000002,2308.16,4925.07,6977.52,6693.3,6476.28,6168.33
　　存放同业和其它金融机构款项,119.25,36.909999999999997,720.24,543.1,1211.8699999999999,1892.65,5832.57,9682.3799999999992,3513.18
　　买入返售金融资产,NA,NA,NA,2031.01,709.81,1342.2,1476.33,6163.73,2369.6999999999998
　　应收利息,5.51,8.27,16.68,19.41,25.6,42.91,80.150000000000006,211.63,222.59
　　发放贷款及垫款,NA,NA,4863.93,6837.88,8588.7999999999993,10775.15,13402.78,17424.22,21318.65
NA,NA,NA,4880.6100000000006,6857.29,8614.4,10818.06,13482.93,17635.850000000002,21541.24
　　可供出售金融资产,NA,NA,NA,NA,2261.2199999999998,2470.65,2434.8200000000002,2612.41,3176.05
　　持有至到期投资,NA,NA,2205.4899999999998,2959.6,3815.65,1500,NA,NA,NA
　　应收款项类投资,NA,NA,NA,NA,NA,5880.52,7806.44,10327.48,27903
　　固定资产,NA,NA,200.89,239.61,269.08,292.89,339.63,439.05,503.99
　　无形资产,1.74,1.65,1.17,1.03,0.89,6.6,127.39,136.63,133.19999999999999
　　递延所得税资产,NA,NA,19.14,3.19,9.6,12.73,52.74,64.5,186.92
　　其他资产,NA,NA,120.61,141.46,83.97,118.27,253.74,228.32,263.27
资产总计,3609.19,4723.79,10209.209999999999,15084.46,21901.57,31312.09,38499.89,53766.63,65758.880000000005
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,NA,NA,NA,7.6,115.37,1383.89,4995.26,11409.03,11503.75
　　向中央银行借款,NA,NA,NA,40,30,60,50,430,800
　　卖出回购金融资产款,NA,NA,900,750,1330,1540,723,1789,NA
　　吸收存款,NA,NA,8155.75,11360.64,14867.92,21728.01,26306.97,31559.19,42914.14
NA,NA,NA,9055.75,12158.24,16343.29,24711.899999999998,32075.230000000003,45187.22,55217.89
　　应付职工薪酬,NA,NA,11.33,24.95,40.340000000000003,60.39,86.79,83.7,76.75
　　应交税费,8.57,11.96,72.819999999999993,71.36,99.5,80.06,106.94,126.03,172
　　应付利息,30.86,70.760000000000005,93.72,84.44,130.1,235.25,334.17,549.89,574.69000000000005
　　应付债券,NA,NA,NA,NA,NA,NA,NA,1500,4650
　　递延所得税负债,NA,NA,NA,NA,NA,4.79,NA,7.67,24.01
　　其他负债,NA,NA,86.21,1693.66,3190.2,2718.06,2087.84,1832.37,186.69
　　负债合计,3376.91,4463.22,9319.82,14032.66,19803.419999999998,27810.45,34690.959999999999,49286.89,60902.04
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,153.61000000000001,165.13,559.23,559.23,1086.1400000000001,1524.21,1524.21,1524.21,1524.21
　　资本公积金,5.78,6.4,71.75,71.75,378.63,787.26,693.44,767.81,767.81
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,9.3000000000000007,72.040000000000006
　　盈余公积金,20.99,26.52,58.64,78.5,108.8,162.09,228.01,298.20999999999998,348.7
　　未分配利润,27.01,35.11,132.16999999999999,233.35,335.78,751.69,811.8,883.17,937.89
　　一般风险准备,24.9,27.41,67.599999999999994,83.96,134.79,210.67,473.95,824.21,1008.6
　　归属于母公司所有者权益合计,232.28,260.57,889.38,1026.79,2044.14,3435.93,3731.41,4306.92,4659.25
　　少数股东权益,NA,NA,NA,25.01,54,65.709999999999994,77.510000000000005,172.82,197.59
　　所有者权益合计,232.28,260.57,889.38,1051.8,2098.15,3501.64,3808.92,4479.74,4856.84
负债及股东权益总计,3609.19,4723.79,10209.209999999999,15084.46,21901.57,31312.09,38499.89,53766.63,65758.880000000005
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-06-26,2008-06-26,2011-05-12,2011-05-12,2012-06-28,2013-05-18,2014-05-28,2015-06-26,2016-05-30
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA
