...1,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,29674.02,31561.97,35487.440000000002,37228.03,34328.81
　　存放同业和其它金融机构款项,7869.98,3794.76,6306.8,33475.11,6283.63
　　贵金属,NA,NA,NA,NA,100.1
　　拆出资金,NA,71.34,NA,NA,389.62
　　交易性金融资产,NA,NA,NA,1593.3,33446.92
　　买入返售金融资产,16475.189999999999,13324.95,14951,5784.3,4591.9799999999996
　　应收利息,511.17,723.88,831.67,1258.77,1720.87
　　发放贷款及垫款,71371.600000000006,82024.84,93527.86,105764.66,117947.54
NA,NA,NA,NA,NA,119668.40999999999
　　可供出售金融资产,12419.19,26840.36,25507.58,33223.5,51346.45
　　持有至到期投资,8806.8799999999992,10775.32,10028.280000000001,8973.48,23236.48
　　长期股权投资,55.01,55.01,55.01,NA,219.59
　　应收款项类投资,NA,NA,NA,11607,23049.22
　　固定资产,1247.83,1478.37,1661.63,1317.18,1236.43
　　无形资产,128.82,122.13,151.34,146.04,170.92
　　递延所得税资产,47.24,84.03,250.52,78.400000000000006,570.89
　　投资性房地产,33.96,32.51,31.08,29.85,27.44
　　其他资产,NA,166.04,8787.8799999999992,1037.19,958.61
资产差额(特殊报表科目),324.61,411.99,337.59,NA,NA
资产总计,148965.49,171467.51,197915.69,241516.79999999999,299625.51
负债：,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,234.19,606.84,4806,25296.26,33396.199999999997
　　向中央银行借款,NA,60,100,483.45,590
　　拆入资金,NA,450,NA,410,3220
　　交易性金融负债,NA,NA,NA,NA,23233.35
　　卖出回购金融资产款,7360.69,9866.0400000000009,14308.65,20932.72,24161.14
　　吸收存款,127246.69,142284.18,160267.03,172151.33,181652.06
NA,NA,NA,NA,NA,266252.75
　　应付职工薪酬,317.98,331.53,429.31,489.97,667.47
　　应交税费,434.5,466.74,312.08,399.5,567.32000000000005
　　应付利息,883.9,1366.86,1838.25,2519.9,2827.08
　　应付债券,NA,NA,NA,NA,6892.04
　　递延所得税负债,57.23,62.18,106.59,203.4,NA
　　其他负债,1778.46,2754.33,512.36,742.68,720.15
　　负债差额(特殊报表科目),125.38,407.34,362.77,NA,NA
　　负债合计,138439.01999999999,158656.03,183043.04,223629.21,277926.81
所有者权益(或股东权益)：,NA,NA,NA,NA,NA
　　股本,4744.18,5218.6000000000004,5740.45,5740.45,5740.45
　　资本公积金,59.75,-32.51,-531.9,NA,NA
　　其它综合收益,NA,NA,NA,127,684.62
　　盈余公积金,294.64999999999998,538.19000000000005,823.62,1141.46,1557.32
　　未分配利润,3545.74,5072.37,6798.74,7853.15,10106.68
　　一般风险准备,1690.26,1700.43,1701.97,2660.79,3218.13
　　归属于母公司所有者权益合计,10334.59,12497.06,14532.88,17522.84,21307.200000000001
　　少数股东权益,191.88,314.41000000000003,339.77,364.75,391.5
　　所有者权益合计,10526.47,12811.47,14872.65,17887.59,21698.7
负债及股东权益总计,148965.49,171467.51,197915.69,241516.79999999999,299625.51
显示币种,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2013-06-06,2013-06-06,2015-09-11,2015-09-11,2016-04-20
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA
