...1,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,NA,NA,NA,8674.02,8702.24,9012.84,9757.49,15189.92,19473.2,21832.49,23957.27,24667.95,23703.81
　　存放同业和其它金融机构款项,NA,NA,NA,1675.83,499.29,4125.1899999999996,3229.56,1701.83,1196.18,691.33,12725.79,6227.29,2215.4499999999998
　　贵金属,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　拆出资金,NA,NA,NA,NA,NA,NA,206.21,NA,NA,NA,550,NA,NA
　　交易性金融资产,1261.54,1687.49,2000.44,1995.09,5507.02,5123.87,2637.98,1178.5899999999999,995.69,1407.83,158.94999999999999,1102.1099999999999,448.96
　　衍生金融资产,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　买入返售金融资产,NA,NA,NA,2153.8000000000002,5354.44,5675.98,6377.61,15466.67,14041.78,2950.5,13971.31,10871.29,7685.23
　　应收利息,NA,72.73,51.25,192.04,191.19,250.45,361.6,342.08,323.36,320.85000000000002,610.80999999999995,697.83,646.74
　　发放贷款及垫款,NA,NA,NA,21093.57,25955.15,27312.240000000002,31689.33,38825.58,46778.54,56571.73,66000.03,75954.28,85399.73
NA,NA,NA,NA,21285.61,26146.34,27562.690000000002,32050.93,39167.660000000003,47101.9,56892.58,66610.84,76652.11,86046.47
　　代理业务资产,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
