...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,1976,3301.52,3335.35,3055.69,4011.97,5568.71,6735.08,7694.43,8554.7900000000009,8613.8700000000008
　　存放同业和其它金融机构款项,724.05,718.27,960.52,388.64,426.94,2027.57,740.55,424.66,623.20000000000005,1169.27
　　拆出资金,NA,NA,NA,NA,NA,NA,80,30,NA,NA
　　交易性金融资产,NA,NA,NA,NA,58.56,NA,NA,NA,NA,NA
　　买入返售金融资产,NA,NA,NA,NA,6130.3,NA,NA,2665.69,2160.39,1367.13
　　应收利息,0.12,12.35,37.65,59.28,108.21,62.03,110.05,156.27000000000001,251.84,338.73
　　发放贷款及垫款,NA,NA,8431.09,10176.219999999999,12800.05,15022.47,17362.16,20458.560000000001,24384.86,28097.88
　　可供出售金融资产,NA,NA,NA,NA,48.81,220.17,1615.82,2977.46,3220.18,5302.45
　　持有至到期投资,NA,NA,1150.3699999999999,975.15,643.73,1369.18,1668.95,2585.9299999999998,4760.82,8442.94
　　长期股权投资,NA,NA,10.02,20.02,20.02,20,30,30,NA,NA
　　应收款项类投资,NA,NA,NA,NA,NA,NA,1770,1001,1132.75,1371.76
　　固定资产,31.15,35.799999999999997,43.16,43.26,40.630000000000003,46.86,334,504.34,523.66999999999996,663.81
　　无形资产,59.25,62.74,62.33,61.35,57.5,58.55,90.72,96.27,108.14,98.3
　　递延所得税资产,NA,NA,27.73,34.590000000000003,38.659999999999997,66.61,81.33,119.59,117.46,131.94999999999999
　　其他资产,NA,NA,207.3,2427.75,1425.21,1282.58,127.37,204.56,319.51,368.99
资产总计,10046.43,12589.36,14265.52,17241.95,25810.6,25744.73,30746.03,38948.75,46157.599999999999,55967.09
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,NA,30.72,550.95000000000005,500,505.11,35.14,42.18,269.31,1.51,499.65
　　向中央银行借款,NA,NA,NA,NA,NA,NA,NA,NA,600,NA
　　拆入资金,NA,NA,NA,NA,NA,NA,NA,NA,209.4,549.36
　　卖出回购金融资产款,NA,NA,NA,376,4218.9799999999996,790.3,300,1687.1,1333,3030
　　吸收存款,NA,NA,11847.9,14810.53,18317.27,21959.74,26631.21,32602.73,38872.01,45028.28
　　应付职工薪酬,NA,NA,0.02,4.54,6.52,29.24,10.29,21.96,41.59,51.67
　　应交税费,36.61,10.07,12.93,43.03,34.47,103.69,45.34,166.18,186.21,148.66999999999999
　　应付利息,135.07,149.46,152.72,127.4,168.45,161.05000000000001,215.92,341.5,467.28,595.78
　　应付债券,NA,NA,NA,248.55,248.81,249.08,249.37,249.68,NA,1196.54
　　递延所得税负债,NA,NA,NA,NA,NA,0.03,NA,NA,1.43,NA
　　其他负债,NA,NA,823.43,148.26,1007.79,162.86000000000001,85.11,124.9,291.08,188.91
　　负债差额(合计平衡项目),NA,NA,0,NA,NA,NA,NA,NA,NA,NA
　　负债合计,9560.7000000000007,11983.1,13387.96,16258.3,24507.4,23491.119999999999,27579.43,35463.360000000001,42003.519999999997,51288.86
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,413.98,413.98,502.51,502.51,562.80999999999995,830.42,1213.47,1274.1400000000001,1783.8,1783.8
　　资本公积金,NA,NA,70.819999999999993,70.819999999999993,69.930000000000007,437.31,575.34,479.63,580.49,580.49
　　减：库存股,NA,NA,NA,3.1,3.1,3.1,3.1,3.1,3.1,3.1
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,4.3,44.22
　　盈余公积金,NA,NA,53.96,73.06,116.63,175.8,256.19,343.63,443.48,541.87
　　未分配利润,12.11,142.04,174.98,236.48,421.25,619.22,930.72,1049.22,902.14,1193.1600000000001
　　一般风险准备,35,35,75.3,103.87,135.68,193.97,193.97,341.87,442.97,537.78
　　外币报表折算差额,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
　　归属于母公司所有者权益合计,486.2,606.25,877.56,983.64,1303.2,2253.61,3166.59,3485.39,4154.08,4678.2299999999996
　　所有者权益合计,486.2,606.25,877.56,983.64,1303.2,2253.61,3166.59,3485.39,4154.08,4678.2299999999996
负债及股东权益总计,10046.91,12589.36,14265.52,17241.95,25810.6,25744.73,30746.03,38948.75,46157.599999999999,55967.09
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-05-23,2008-05-23,2009-04-30,2011-04-29,2011-04-29,2012-04-28,2013-04-27,2014-04-29,2015-04-30,2016-04-30
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
