...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,1182.8,2059.33,3061.53,4115.0200000000004,5843.96,7652.07,10219.709999999999,11695.08,11859.76,9806.7900000000009
　　存放同业和其它金融机构款项,206.77,457.44,803.46,475.75,694.28,983.89,2394.7600000000002,2389.0500000000002,1146.95,408.6
　　拆出资金,NA,NA,0.3,0.5,0.5,0.5,11.59,0.7,NA,NA
　　交易性金融资产,NA,NA,99.98,99.98,99.98,NA,250.36,NA,NA,116.15
　　买入返售金融资产,NA,NA,432,2014.96,1095.28,NA,500,266.17,1801.8,3842.5
　　应收利息,NA,NA,59.52,35.92,48.03,61.22,79.81,143.11000000000001,160.66,227.08
　　发放贷款及垫款,NA,NA,10116.200000000001,14007.29,17696.39,22340.21,27650.06,30938.95,38132.949999999997,40446.17
NA,NA,NA,NA,NA,17744.419999999998,22401.43,27729.870000000003,31082.06,38293.61,40673.25
　　可供出售金融资产,NA,NA,150,150.47999999999999,150,150,NA,NA,559.64,560.99
　　持有至到期投资,NA,NA,651.15,1730.52,2654.54,3430.28,3947.22,2543,1827.74,2457.4
　　长期股权投资,NA,NA,35.25,45.25,45.25,45.25,65.25,65.25,NA,NA
　　应收款项类投资,NA,NA,NA,NA,NA,NA,350,5958.79,5077.3,7599.26
　　固定资产,214.1,227.15,422.35,514.69000000000005,669.3,935.66,1514.71,1874.63,1868.31,1919.09
　　无形资产,342.78,179.77,14.79,664.15,668.59,517.19000000000005,513.88,518.75,663.59,655.61
　　递延所得税资产,NA,NA,95.85,53.86,28.23,49.87,120.39,177.62,233.38,318.89
　　其他资产,NA,NA,244.64,414.24,811.95,798.72,892.25,627.72,294.25,272.91000000000003
资产差额(特殊报表科目),NA,NA,887.71,1224.71,1070.3499999999999,958.42,813.26,NA,NA,NA
资产总计,13386.92,15232.51,17074.72,25547.33,31576.63,37923.279999999999,49323.24,57198.82,63626.34,68631.429999999993
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,398.96,255.02,330.85,346.77,242.45,143.91,707.32,813.48,1634.46,3164.45
　　向中央银行借款,180,343.63,150,150,150,155.4,150,NA,NA,500
　　拆入资金,NA,NA,NA,NA,NA,NA,62.85,82.86,60.58,403.58
　　卖出回购金融资产款,549,397,NA,NA,NA,591,3469.13,2400.1999999999998,734,NA
　　吸收存款,NA,NA,14761.82,22353.81,27359.7,32789.85,39364.300000000003,48336.49,53301.52,56184.79
NA,NA,NA,NA,NA,27752.15,33680.159999999996,43753.600000000006,51633.03,55730.559999999998,60252.82
　　应付职工薪酬,NA,NA,42.02,33.54,29,45.68,52.11,70.28,82.05,94.61
　　应交税费,65.62,27.37,15.2,-32.369999999999997,-71.930000000000007,-33.74,108.79,112.59,196.44,165.72
　　应付利息,NA,NA,149.69,133.86000000000001,196.41,203.04,314.08999999999997,466.66,612.71,684.79
　　应付债券,NA,NA,NA,NA,NA,NA,NA,NA,1393.88,1394.35
　　其他负债,NA,NA,257.58999999999997,461.34,759.8,862.33,860.67,210.08,290.33,274.14999999999998
　　负债差额(特殊报表科目),NA,NA,36.9,48.35,25.37,69.78,56.04,NA,NA,NA
　　负债合计,12434.52,13966.17,15744.06,23495.3,28690.81,34827.24,45145.29,52492.65,58305.98,62866.45
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,744.5,1011.04,1011.04,1712.04,2058.59,2129.09,2514.25,2514.25,2639.97,2824.76
　　资本公积金,61.43,61.43,61.43,61.43,306.88,306.88,786.88,786.88,786.88,786.88
　　盈余公积金,58.86,108.29,71.39,73.430000000000007,97.61,127.44,168,220.82,281.95,326.33999999999997
　　未分配利润,87.61,85.58,126.81,125.13,241.75,304.66000000000003,267.86,550.97,862.58,973.77
　　一般风险准备,NA,NA,60,80,181,227.97,440.95,633.25,748.98,853.24
　　归属于母公司所有者权益合计,952.4,1266.3399999999999,1330.66,2052.02,2885.82,3096.04,4177.95,4706.17,5320.36,5764.98
　　所有者权益合计,952.4,1266.3399999999999,1330.66,2052.02,2885.82,3096.04,4177.95,4706.17,5320.36,5764.98
负债及股东权益总计,13386.92,15232.51,17074.72,25547.33,31576.63,37923.279999999999,49323.24,57198.82,63626.34,68631.429999999993
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,带强调事项段的无保留意见,标准无保留意见,NA,NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-04-17,2008-04-17,2009-04-30,2011-04-29,2011-04-29,2014-11-21,2014-11-21,2014-11-21,2015-04-30,2016-04-27
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
