...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,NA,NA,2407.66,6901.79,6522.03,13132.99,21276.82,18851.669999999998,16219.64,14875.78
　　存放同业和其它金融机构款项,1932.8,865.75,1219.1400000000001,1125.72,6402.83,3219.99,9687.6,13225.99,7160.84,4925.12
　　贵金属,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91
　　拆出资金,NA,NA,NA,NA,NA,NA,NA,NA,NA,697.4
　　交易性金融资产,NA,NA,NA,NA,291.10000000000002,801.82,791.76,1103.71,5712.94,5432.78
　　衍生金融资产,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　买入返售金融资产,NA,NA,NA,400,992.27,6457.65,NA,31317.58,22739.45,29388.33
　　应收利息,1.46,6.31,20.46,43.18,95.01,225.65,410.32,777.08,679.44,916.69
　　发放贷款及垫款,NA,NA,7031.98,11228.35,13866.24,17666.52,26392.92,31563.85,40365.54,48405.120000000003
NA,NA,NA,7052.44,11271.53,13961.25,17892.170000000002,26803.239999999998,32340.93,41044.980000000003,49321.810000000005
　　代理业务资产,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　可供出售金融资产,NA,NA,1157.02,1160.1300000000001,2807.84,4228.66,4110.3500000000004,3574.97,5284.46,11044.52
　　持有至到期投资,NA,NA,1443.51,1906.97,3699.79,5244.51,4629.1099999999997,4102.46,2755.77,3705.22
　　长期股权投资,NA,NA,15.1,15,15,15,90.51,89.98,78.42,79.67
　　应收款项类投资,NA,NA,NA,NA,6318.68,12153.75,12671.51,17144.599999999999,30938.27,52030.17
　　固定资产,31.6,29.57,122.63,186.51,333.72,574.16,775.31,970.96,1082.52,1462.84
　　无形资产,0.64,0.99,1.0900000000000001,8.52,10.92,12.45,12.19,10.31,8.4499999999999993,15.3
　　商誉,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　递延所得税资产,NA,NA,6.18,5.95,29.03,126.55,255.89,360.18,434.55,468.43
　　投资性房地产,NA,NA,NA,NA,27.75,26.19,24.68,23.17,21.66,20.149999999999999
　　其他资产,NA,NA,18.559999999999999,26.37,37.71,293.7,88.63,116.93,167.75,1407.9
资产差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
资产差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
资产总计,6715.4,8623.5300000000007,13443.33,23008.49,41449.94,64179.61,81217.600000000006,123233.46,133649.71,174876.32
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,3.8,60,360,345.03,602.04,398.03,3077.3,15816.93,18326.810000000001,25144.15
　　向中央银行借款,NA,NA,NA,20,60,70,55,59,599,899
　　拆入资金,NA,NA,NA,NA,NA,NA,133,NA,NA,NA
　　交易性金融负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　衍生金融负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　卖出回购金融资产款,810.95,715,1260,995,2764,5156.3999999999996,2021.43,11015.08,11584.35,20340.21
　　吸收存款,NA,NA,9521.15,16235.56,34242.019999999997,51155.06,65366.92,83895.66,88039.73,100488.35
NA,NA,NA,11141.15,NA,NA,NA,NA,NA,NA,NA
　　应付职工薪酬,NA,NA,22.05,61.48,129.15,221.38,283.89,371.69,487.2,455.77
　　应交税费,21.7,41.7,27.78,43.21,81.430000000000007,328.43,680.18,649.51,521.70000000000005,537.03
　　应付利息,NA,NA,76.97,50.02,127.15,261.77999999999997,596.71,1099.57,1349.97,1341.24
　　代理业务负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　应付债券,NA,NA,NA,NA,NA,NA,1000,996.27,996.74,12398.03
　　递延所得税负债,NA,NA,20.86,9.0500000000000007,0.26,4.17,NA,NA,NA,NA
　　预计负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　其他负债,NA,NA,680.51,3626.91,30.39,306.22000000000003,370.49,179.5,912.72,698.02
　　负债差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　负债差额(合计平衡项目),NA,NA,NA,NA,0,NA,NA,NA,NA,NA
　　负债合计,6421.84,8121.54,11969.32,21386.25,38036.44,57901.47,73584.929999999993,114083.22,122818.22,162301.79
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,201.96,310.95999999999998,510.96,715.34,1116,1516,1516,1516,1516,1516
　　其它权益工具,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　　　其它权益工具：优先股,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　资本公积金,14.79,41.69,485.75,245.94,1118.48,2189.5500000000002,2210.23,2110.21,2178.94,2178.94
　　减：库存股,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,25.2,145.62
　　盈余公积金,12.96,21.78,52.83,99.27,189.67,407.23,1037.21,1378.91,1730.92,2084.37
　　未分配利润,63.85,101.99,151.65,286.75,604.04,1565.9,1642.08,2406.2399999999998,3468.8,4080.59
　　一般风险准备,NA,18.23,79.569999999999993,81.2,130.53,164.43,960.7,1424.04,1570.07,2155.42
　　外币报表折算差额,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　未确认的投资损失,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股东权益差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股权权益差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　归属于母公司所有者权益合计,293.56,494.64,1280.76,1428.51,3158.72,5843.1,7366.22,8835.41,10489.93,12160.94
　　少数股东权益,NA,NA,193.25,193.72,254.78,435.03,266.45999999999998,314.83,341.56,413.59
　　所有者权益合计,293.56,494.64,1474.01,1622.24,3413.5,6278.14,7632.68,9150.24,10831.49,12574.53
负债及股东权益差额(特殊报表项目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
负债及股东权益差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
负债及股东权益总计,6715.4,8623.5300000000007,13443.33,23008.49,41449.94,64179.61,81217.600000000006,123233.46,133649.71,174876.32
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
审计意见(境外),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-05-22,2008-05-22,2009-06-22,2012-07-03,2011-05-19,2012-04-20,2013-06-01,2014-06-03,2015-05-20,2016-04-26
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
