...1,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,2244.33,2620.19,2870.97,3959.96,5400.56,5714.21,8685.77,9165.92,8470.76
　　存放同业和其它金融机构款项,2221.84,4867.32,2925.04,1679.63,3103.77,7745.92,13676.55,11234.12,6507.08
　　拆出资金,41.13,41.13,35.51,34.92,0.47,0.47,0.39,0.39,0.39
　　买入返售金融资产,NA,NA,NA,NA,NA,NA,297,382.6,1114.3800000000001
　　应收利息,NA,NA,NA,37.869999999999997,76.569999999999993,111.16,279.14999999999998,237.55,262.08999999999997
　　发放贷款及垫款,12403.14,13587.91,16060.8,19475.830000000002,22000,24636.61,27641.919999999998,30836.86,33208.49
NA,NA,NA,NA,19513.7,NA,NA,NA,NA,33470.579999999994
　　可供出售金融资产,NA,NA,NA,NA,NA,NA,NA,611.5,611.5
　　持有至到期投资,NA,NA,NA,NA,NA,419.83,3510.85,4256.88,5588.21
　　长期股权投资,6.25,8.5,2262.54,8.5,706.19,611.69000000000005,611.5,NA,NA
　　应收款项类投资,NA,NA,NA,4942.3100000000004,4668.66,2173.31,886.04,NA,7663.55
　　固定资产,149.09,178.52,124.15,115.91,122.85,442.29,416.37,391.18,372.99
　　无形资产,4.1900000000000004,NA,NA,NA,NA,NA,NA,NA,NA
　　递延所得税资产,NA,NA,NA,NA,82.25,99.74,115.05,150.28,284.83
　　投资性房地产,NA,NA,38.44,35.17,28.54,83.07,75.19,68.459999999999994,62.35
　　其他资产,NA,NA,NA,NA,14.09,21.61,36,3363.21,484.62
资产差额(特殊报表科目),2133.8000000000002,1920.38,1363.17,49.06,NA,NA,NA,NA,138.86000000000001
资产总计,19203.77,23223.96,25680.62,30339.16,36203.94,42059.89,56231.77,60698.95,64770.11
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,190.32,9.66,NA,462.16,280,2269.86,7475,7901.55,7375.69
　　卖出回购金融资产款,NA,NA,NA,NA,NA,158.80000000000001,NA,959.68,NA
　　吸收存款,11665.23,13116.73,15802.67,28234.97,31762.34,34324.300000000003,42877.89,45366.11,50010.63
NA,11855.55,13126.39,15802.67,28697.13,32042.34,36752.960000000006,50352.89,54227.34,57386.32
　　应付职工薪酬,6.48,1.71,0.81,NA,34.31,29.05,24.45,0.54,23.8
　　应交税费,45.44,23.9,2.33,15.08,99.05,101.82,92.06,88.93,72.040000000000006
　　应付利息,NA,NA,NA,193.89,259.7,412.49,691.84,810.13,923.16
　　递延所得税负债,NA,NA,NA,NA,8.69,105.45,100.51,95.73,91.09
　　预计负债,217.79,171.76,713.32,NA,NA,NA,NA,NA,NA
　　其他负债,NA,NA,NA,83.87,73.260000000000005,95.72,41.77,48.54,999.09
　　负债差额(特殊报表科目),6564.42,8725.34,7862.1,15.61,NA,NA,NA,NA,36.67
　　负债合计,18689.669999999998,22049.1,24381.23,29005.58,32517.34,37497.480000000003,51303.519999999997,55297.02,59552.66
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,102.69,601.4,601.4,649.51,1291.46,1290.46,1290.46,1548.55,1548.55
　　资本公积金,NA,50,50,1.89,1732.89,2040.88,2040.88,1782.79,1782.79
　　盈余公积金,24.81,36.96,54.24,63.57,58.57,111.84,187.14,273.22000000000003,301.23
　　未分配利润,11.06,50.23,156.49,172,254.81,558.69000000000005,651.66,824.06,704.87
　　一般风险准备,375.53,436.27,437.27,446.61,348.87,560.54,758.11,973.31,880.02
　　归属于母公司所有者权益合计,514.1,1174.8499999999999,1299.4000000000001,1333.58,3686.6,4562.41,4928.25,5401.93,5217.46
　　所有者权益合计,514.1,1174.8499999999999,1299.4000000000001,1333.58,3686.6,4562.41,4928.25,5401.93,5217.46
负债及股东权益总计,19203.77,23223.96,25680.62,30339.16,36203.94,42059.89,56231.77,60698.95,64770.11
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,带强调事项段的无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2009-04-30,2009-04-30,2010-04-30,2011-04-30,2012-04-30,2013-04-30,2014-04-30,2015-04-30,2016-04-30
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA
