...1,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31
报告期,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,829.26,1345.8,1772.33,1669.65,2448.67,2860.35,NA
　　存放同业和其它金融机构款项,147.88,13.84,9.3000000000000007,70.33,65.31,340.56,NA
　　交易性金融资产,NA,NA,NA,NA,NA,552.79999999999995,NA
　　买入返售金融资产,NA,NA,NA,593,698.2,1422.21,NA
　　应收利息,NA,NA,2.25,5.34,2.34,3.26,NA
　　发放贷款及垫款,2221.5100000000002,2394.31,2988.93,3809.89,4663.05,6283.47,NA
NA,2221.5100000000002,2394.31,2991.18,3815.23,4665.3900000000003,6286.7300000000005,NA
　　持有至到期投资,NA,NA,NA,NA,110,NA,NA
　　长期股权投资,NA,NA,NA,12.4,30,NA,NA
　　固定资产,61.32,83.15,45.2,127.78,120.64,130.22999999999999,NA
　　无形资产,166.34,40.619999999999997,39.89,38.58,37.700000000000003,47.89,NA
　　递延所得税资产,NA,NA,28.04,25.29,54.15,30.33,NA
　　其他资产,NA,NA,129.87,75.34,121.24,121.68,NA
资产差额(特殊报表科目),130.56,72.069999999999993,NA,NA,NA,NA,NA
资产总计,3556.86,3949.8,5015.8100000000004,6427.61,8351.31,11792.77,14305.09
负债：,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,NA,230.01,360.56,160.53,422.45,638.19000000000005,NA
　　向中央银行借款,NA,NA,NA,NA,NA,30,NA
　　吸收存款,3325.77,3401.6,4202.95,5431.35,6797.25,9317.4,NA
NA,3325.77,3631.6099999999997,4563.51,5591.88,7219.7,9985.59,NA
　　应付职工薪酬,3.94,3.3,4.03,11.45,38.97,58.26,NA
　　应交税费,13.78,10.17,38.619999999999997,67.31,87.07,91.42,NA
　　应付利息,NA,NA,16.760000000000002,24.55,63.39,111.31,NA
　　其他负债,NA,7.02,85.88,14.16,20.09,410.72,NA
　　负债差额(特殊报表科目),28.12,99.7,NA,NA,NA,NA,NA
　　负债合计,3371.6,3751.79,4708.8100000000004,5709.34,7429.23,10657.32,NA
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA
　　股本,160.47,160.47,160.47,400.53,500.2,500.2,NA
　　资本公积金,NA,NA,NA,121.2,152.80000000000001,152.80000000000001,NA
　　盈余公积金,4.22,6.31,17.38,26.84,37.79,59.04,NA
　　未分配利润,15.2,22.19,120.11,128.83000000000001,179.23,326.04000000000002,NA
　　一般风险准备,5.36,9.0399999999999991,9.0399999999999991,40.869999999999997,52.06,64.61,NA
　　归属于母公司所有者权益合计,185.26,198,307,718.27,922.08,1102.68,1474.95
　　少数股东权益,NA,NA,NA,NA,NA,32.770000000000003,NA
　　所有者权益合计,185.26,198,307,718.27,922.08,1135.46,NA
负债及股东权益总计,3556.86,3949.8,5015.8100000000004,6427.61,8351.31,11792.77,14305.09
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,NA
转换汇率,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,NA,标准无保留意见,标准无保留意见,NA
原始报表,NA,点击浏览,点击浏览,NA,点击浏览,点击浏览,NA
公告日期,2009-06-26,2009-06-26,2010-04-28,2012-04-28,2012-04-28,2013-04-25,2014-04-10
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA
