...1,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,53149.56,57894.52,120638.58,100284.46,137372.17000000001,185744.69,228665.75,285478,312643,354185,326735
　　存放同业和其它金融机构款项,29346.71,16674.32,15376.39,59404.99,100583.05,53274.79,105262.95,47019,67153,40316,86311
　　贵金属,2.25,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　拆出资金,6325.17,13127.85,12646.58,19552.48,9061.31,23833.09,81745.62,135979,124291,132733,132361
　　交易性金融资产,6688.04,1205.6300000000001,7508.61,12668.17,10401.469999999999,22397.119999999999,22726.63,29453,12490,4377,5637
　　衍生金融资产,82.6,31.4,1619.25,3758.83,2584.58,3025.04,2261.79,1677,1870,1082,1625
　　买入返售金融资产,26698.26,38107.85,52654.97,49582.39,121295.1,170037,206940.91,230726,169182,286682,153045
　　应收利息,2082.1,1944.49,2691.45,3403.42,3341.33,4138.63,6099.91,10140,13074,14621,18546
　　发放贷款及垫款,285503.95,334247.3,395103.85,450520.67,632151.29,760555.24,868782.23,997331,1142138,1271430,1475424
NA,287586.05,336191.79,397795.3,453924.08999999997,635492.62,764693.87,874882.14,1007471,1155212,NA,NA
　　可供出售金融资产,20830.14,53757.42,44923.23,57661.62,54617.8,77142.16,54402.76,91801,111849,138559,222495
　　持有至到期投资,73141.77,63730.7,69544.09,61187.13,73530.02,87792.74,83984.5,95824,105920,111697,152312
　　长期股权投资,71.55,102.44,121.69,97.9,99.13,99.13,99.13,99,99,NA,NA
　　应收款项类投资,NA,NA,NA,NA,NA,NA,NA,261207,262699,333911,523427
　　固定资产,3654.2,3597.74,3748.3,8022.07,8827.24,10141.459999999999,10810.27,11869,12629,13043,12646
　　无形资产,1559.22,1561.19,285.14,327.24,371.11,392.08,530.13,660,763,922,946
　　商誉,NA,NA,1281,1281,1281,1281,1281,1281,1281,1281,1281
　　递延所得税资产,4372.4399999999996,2586.65,2240.9499999999998,736.34,575.78,1306.24,1856.71,2454,4015,3034,3923
　　其他资产,2048.7399999999998,7544.87,8802.3799999999992,23349.439999999999,41603.71,82789.929999999993,57895.3,76297,72990,29137,50996
资产总计,515556.7,596116.62,739186.46,851838.14,1197696.1100000001,1483950.34,1733345.61,2279295,2415086,2737010,3167710
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,40839.29,47582.41,89721.63,121694.43,231260.07,197214.47,270627.08,527561,438604,507187,541066
　　向中央银行借款,NA,NA,NA,NA,NA,NA,NA,NA,NA,30040,14840
　　拆入资金,312.44,545.05999999999995,326.33999999999997,3099.38,23090.51,18213.91,27361.98,23205,50817,36744,60305
　　交易性金融负债,22450.41,22722.080000000002,20041.46,20682.46,8059.23,33469.550000000003,46477.97,NA,NA,NA,NA
　　衍生金融负债,237.41,111.78,1082.74,3871.26,2235.75,2960.43,3062.49,1861,2465,781,1391
　　卖出回购金融资产款,2575.89,6309.85,38786.639999999999,6956.78,14641.53,12678.72,40608.97,74285,63164,51772,58873
　　吸收存款,433403.66,502871.48,540661.24,605170.17000000004,799643.63,1029710.61,1178800.33,1426941,1605278,1785337,1993843
NA,499819.1,580142.66,690620.05,761474.48,1078930.72,1294247.69,1566938.82,2053853,NA,NA,NA
　　应付职工薪酬,1184.1600000000001,1282.1199999999999,1641.67,2909.62,3420.3,5186.99,6256.83,7405,8149,9668,11217
　　应交税费,355.6,381.46,3669.61,847.73,752.56,1662.98,2534.11,3174,2605,3829,6392
　　应付利息,2513.12,3425.39,4025.97,6599.08,6283.76,8536.09,12625.22,18414,20949,29950,30612
　　应付债券,5550,5550,5550,18550,21550,16000,16000,52700,42247,89676,210061
　　递延所得税负债,207.89,144.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　预计负债,91.92,84.85,197.44,61,60.42,42.52,17.12,17,326,424,446
　　其他负债,8617.5300000000007,5288.3,8792.6,28164.16,38576.910000000003,76811.360000000001,32823.879999999997,29410,27430,12119,14617
　　负债合计,518339.32,596299.04,714497.36,818606.06,1149574.6499999999,1402487.64,1637195.97,2164973,2262034,2557527,2943663
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,8216.89,8216.89,28216.89,28216.89,33434.79,40434.79,40434.79,40435,46277,46679,46679
　　其它权益工具,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19965
　　　　其它权益工具：优先股,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19965
　　资本公积金,2869.36,25.34,-142.30000000000001,1084.3900000000001,6433.68,19901.23,20328.169999999998,20258,28707,33365,33365
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,3929
　　盈余公积金,NA,NA,NA,393.08,1157.48,2433.69,4225.63,6560,9199,12050,14964
　　未分配利润,-13868.87,-8424.65,-3385.49,2161.94,1595.56,6963.19,17168.93,18862,38795,52756,64320
　　一般风险准备,NA,NA,NA,1375.78,5485.18,11631.57,13876.65,28063,29861,33903,40271
　　归属于母公司所有者权益合计,-2782.63,-182.42,24689.09,33232.080000000002,48106.69,81364.47,96034.16,114178,152839,178975,223493
　　少数股东权益,NA,NA,NA,NA,14.77,98.23,115.47,144,213,508,554
　　所有者权益合计,-2782.63,-182.42,24689.09,33232.080000000002,48121.46,81462.7,96149.63,114322,153052,179483,224047
负债及股东权益总计,515556.7,596116.62,739186.46,851838.14,1197696.1100000001,1483950.34,1733345.61,2279295,2415086,2737010,3167710
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
审计意见(境外),NA,NA,NA,NA,NA,NA,NA,NA,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-04-22,2008-04-22,2010-07-30,2010-07-30,2010-07-30,2011-04-12,2012-04-19,2013-04-02,2014-03-31,2015-03-28,2016-03-30
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
