...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,4336.74,4634.96,5308.23,5636.74,10163.56,13252.81,16953.91,21386.26,29024.38,26912.080000000002
　　存放同业和其它金融机构款项,178.01,198.32,1555.42,4133.6899999999996,4017.43,5699.87,2765.31,3853.22,5507.72,5291.53
　　贵金属,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　拆出资金,NA,NA,3.5,3.5,3.5,NA,NA,NA,NA,NA
　　交易性金融资产,NA,NA,NA,316.77999999999997,1005.31,1464.91,985.87,803.98,676.26,331.68
　　买入返售金融资产,NA,NA,613.63,1458.61,3060.51,3620.3,2589.06,7827.84,2953.18,1027.3699999999999
　　应收利息,NA,NA,NA,43.01,117.47,140.33000000000001,438.73,578.91,854.76,1508.28
　　发放贷款及垫款,NA,NA,18745.39,24143.68,30011.759999999998,38129.32,48885.69,64458.14,84268.77,104556.18
NA,NA,NA,18745.39,24186.69,30129.23,38269.65,49324.420000000006,65037.05,85123.53,106064.45999999999
　　可供出售金融资产,NA,NA,NA,NA,NA,NA,452.57,1009.43,3698.66,4112.87
　　持有至到期投资,NA,NA,NA,4612.96,4317.22,5686.5,9129.01,12456.71,19025.54,25950.94
　　长期股权投资,NA,NA,NA,11.25,8.25,20.65,44.64,51.92,57.01,79.52
　　应收款项类投资,NA,NA,NA,NA,3418.27,3204,10132.65,10503.21,5642.8,31871.05
　　固定资产,NA,NA,381.88,376.68,422.67,513.91999999999996,862.26,1308.27,1895.95,2337.54
　　无形资产,NA,0.52,0.5,0.49,0.48,10.33,29.26,101.43,126.34,163.83000000000001
　　递延所得税资产,NA,NA,NA,NA,5.5,38.479999999999997,183.73,242.29,446.14,676.45
　　投资性房地产,NA,NA,NA,773.61,738.22,446.49,444.05,307.23,480.58,71.010000000000005
　　其他资产,NA,NA,1056.03,2518.3000000000002,1538.3,3181.61,743.46,499.71,504.31,683.59
资产差额(特殊报表科目),NA,NA,6139.91,NA,NA,NA,NA,NA,NA,NA
资产总计,26751.89,29326.67,33804.49,44029.29,58828.46,75409.509999999995,94640.19,125388.55,155162.41,205573.93
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,33.590000000000003,1180.4100000000001,1613.04,1119.3599999999999,2532.02,5543.87,1133.7,898.27,1172.6400000000001,1860.56
　　向中央银行借款,67.5,61,61,61,20,70,60.39,773.25,903.27,1274.72
　　拆入资金,NA,NA,30,30,7,NA,NA,NA,192.2,NA
　　卖出回购金融资产款,NA,NA,NA,1893.7,NA,2245.14,6013.28,4511.82,380,1251.3
　　吸收存款,NA,NA,29051.77,36251.81,50812.09,58638,75021.8,101898.29,132501.78,176398.73
NA,NA,NA,30755.81,39355.869999999995,53371.109999999993,66497.009999999995,82229.17,108081.62999999999,135149.88999999998,180785.31
　　应付职工薪酬,NA,NA,2.73,6.26,11.18,25,61.75,40.97,33.67,111.28
　　应交税费,12.01,18.05,20.309999999999999,38.479999999999997,57.84,205.09,269.51,387.53,524.49,539.96
　　应付利息,NA,NA,NA,843.33,817.72,988.15,1540.27,1870.64,1839.45,2281.2800000000002
　　应付债券,NA,NA,NA,NA,NA,995.38,3983.67,5983.93,5989.46,4193.7
　　递延所得税负债,NA,NA,NA,0.44,NA,1.74,NA,2.9,64.77,61.54
　　预计负债,NA,NA,NA,NA,NA,NA,NA,NA,9.14,9.61
　　其他负债,NA,NA,24.69,1285.31,1009.43,2455.75,2114.14,797.89,2134.4899999999998,3333.13
　　负债差额(特殊报表科目),NA,NA,1367.24,NA,NA,NA,NA,NA,NA,NA
　　负债合计,25462.58,27960.25,32170.78,41529.69,55267.27,71168.11,90198.52,117165.5,145745.35999999999,191315.8
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,1195.0899999999999,1212.96,1406.76,1968.66,2330.96,2330.96,2330.96,3623.38,3623.38,5126.13
　　资本公积金,0.01,0.01,7.89,137.13,499.44,499.43,499.43,2118.31,2106.04,4159.1499999999996
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,194.3,183.11
　　盈余公积金,15.87,43.69,51.01,80.17,113.64,179.05,259.02,375.72,521.55999999999995,696.5
　　未分配利润,78.349999999999994,109.75,107.79,233.99,299.66000000000003,815.03,448.68,785.11,1183.76,1455.25
　　一般风险准备,NA,NA,60.25,79.650000000000006,306.27999999999997,376.28,903.58,1320.53,1788,2638
　　归属于母公司所有者权益合计,1289.32,1366.41,1633.71,2499.6,3549.98,4200.7700000000004,4441.68,8223.0499999999993,9417.0400000000009,14258.13
　　少数股东权益,NA,NA,NA,NA,11.21,40.64,NA,NA,NA,NA
　　所有者权益合计,1289.32,1366.41,1633.71,2499.6,3561.19,4241.3999999999996,4441.68,8223.0499999999993,9417.0400000000009,14258.13
负债及股东权益总计,26751.89,29326.67,33804.49,44029.29,58828.46,75409.509999999995,94640.19,125388.55,155162.41,205573.93
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-06-30,2008-06-30,2011-12-27,2011-12-27,2011-04-27,2012-04-27,2013-04-28,2014-04-30,2015-04-30,2016-04-29
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
