...1,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,47262.68,49699.44,39537.68,76478.740000000005,93863.21,127823.85,171904.29,288641.17,296591,391631,422871,491169,417911
　　存放同业和其它金融机构款项,8475.74,14272.22,18506.91,11127.75,42289.89,96725.119999999995,42364.55,39867.26,69425,164642,62845,100816,42347
　　贵金属,NA,NA,NA,1203.7,1817.95,NA,126.38,684.62,1520,4976,276,7543,42010
　　拆出资金,NA,NA,NA,NA,4016.67,13197.71,13684.32,21099.360000000001,228899,214812,87091,51149,56336
　　交易性金融资产,NA,NA,NA,9186.32,8525.07,6691.21,3363.48,5536.95,8101,21540,42295,44435,128685
　　衍生金融资产,NA,NA,168.6,106.54,1257.43,3764.64,1399.03,2301.37,2907,3266,6414,5142,13933
　　买入返售金融资产,14831.6,17698.27,50514.04,56469.47,169955.56,117275.48,195884.15,374004.54,526979,792797,921090,712761,225924
　　应收利息,483.7,789.04,1964.07,2115.31,2919.9,4202.71,4354.33,6655.34,12924,19535,23249,24760,21743
　　发放贷款及垫款,153220.19,198595.01,237459.95,318236.25,393028.78,489985.77,691962.54,842567.64,968940,1204542,1320682,1549252,1724822
NA,153703.89000000001,199384.05000000002,239424.02000000002,320351.56,395948.68000000005,494188.48000000004,696316.87,849222.98,981864,1224077,1343931,1574012,1746565
　　可供出售金融资产,27944.78,50366.33,119998.74,70282.210000000006,43364.87,77167.990000000005,111148.15,147231.85,147505,192057,263681,408066,426634
