...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,1408.79,3211.91,3389.93,3503.66,5815.37,6693.34,10750.9,11104.41,14158.63,18783.080000000002
　　存放同业和其它金融机构款项,36.93,35.270000000000003,32.880000000000003,30.99,1351.02,6053.5,13636.5,10974.06,9490.91,3905.33
　　贵金属,NA,NA,NA,NA,NA,NA,NA,4.74,4.74,4.74
　　买入返售金融资产,NA,NA,1014,2129.5700000000002,4477.63,6662.28,2620.98,936.58,200,160.19999999999999
　　应收利息,4.55,0.54,23.57,28.06,36.369999999999997,92.59,142.87,142.07,297.36,484.14
　　发放贷款及垫款,NA,NA,7991.91,10464.56,12898.31,15426.99,19947.53,27427.31,36227.9,42805.15
NA,NA,NA,8015.48,10492.619999999999,12934.68,15519.58,20090.399999999998,27569.38,36525.26,43289.29
　　可供出售金融资产,NA,NA,240.9,744.09,1842.64,701.99,2022.94,3437.09,5945.82,13253.3
　　持有至到期投资,NA,NA,1737.24,1612.7,1618.7,1408.38,1043.08,231.84,128.77000000000001,NA
　　长期股权投资,NA,NA,0.25,2.4500000000000002,199.44,429.53,616.16999999999996,709.24,786.86,784.85
　　应收款项类投资,NA,NA,NA,NA,NA,6230.77,6359.53,5053.76,10658.87,21519.439999999999
　　固定资产,NA,NA,224.53,279.85000000000002,314.85000000000002,1856.54,2013.21,2382.69,2596.85,2877.9
　　递延所得税资产,NA,NA,NA,NA,NA,115.56,186.1,256.5,275.91000000000003,269.31
　　其他资产,NA,NA,0,0,0,1266.1600000000001,1738.22,2649.22,2788.1,1926.23
资产差额(特殊报表科目),NA,NA,1140.1300000000001,1845.97,2417.2800000000002,NA,NA,NA,NA,NA
资产总计,9880.84,14231.47,15795.34,20641.89,30971.62,46937.61,61078.03,65309.52,83560.73,106773.68
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,10.24,8.01,21.18,211.09,378.05,3631.47,3649.11,5737.57,9635.5,12609.24
　　向中央银行借款,NA,NA,NA,NA,NA,NA,NA,658,1358.24,2453.67
　　拆入资金,NA,NA,NA,NA,NA,NA,NA,NA,500,330
　　卖出回购金融资产款,NA,NA,NA,150,NA,1158.1300000000001,NA,201.6,3025.4,12271.57
　　吸收存款,NA,NA,14794.53,17598.09,27266.38,34640.980000000003,49116.58,49749.07,59518.99,68114.679999999993
NA,NA,NA,14815.710000000001,17959.18,27644.43,39430.58,52765.69,56346.239999999998,74038.13,95779.159999999989
　　应付职工薪酬,NA,NA,32.83,50.62,62.73,123.72,178.13,146.97999999999999,160.55000000000001,151.19
　　应交税费,27.64,59.52,57.36,26.14,56.72,189.31,100.57,27.45,105.59,146.44
　　应付利息,27.32,46.42,95.97,83.34,87.57,156.9,258.47000000000003,328.62,585.5,819.17
　　递延所得税负债,NA,NA,0.7,0.17,1.21,1.86,3.93,NA,13.57,38.42
　　其他负债,NA,NA,2.85,18.440000000000001,32.9,81.510000000000005,208.25,522.51,239.86,809
　　负债差额(特殊报表科目),NA,NA,9.94,13.44,240.17,NA,NA,NA,NA,NA
　　负债合计,9571.3700000000008,13665.93,15015.35,18151.330000000002,28125.73,39983.879999999997,53515.05,57371.8,75143.22,97743.38
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,213.75,363.75,563.75,1500,1500,3000,3000,3000,3000,3000
　　资本公积金,0.2,0.2,-1.1299999999999999,624.34,622.91,2642.01,2651.94,2518.27,2569.33,2728.07
　　盈余公积金,14.88,14.88,40.81,57.61,120.98,265.25,478.06,773.38,1069.9100000000001,1340.07
　　未分配利润,49.38,114.4,176.55,219.77,422,678.37,858.68,856.58,857.07,778.1
　　一般风险准备,31.25,72.290000000000006,NA,88.84,180,296.26,491.2,697.03,811.72,1049.9100000000001
　　归属于母公司所有者权益合计,309.47000000000003,565.53,779.99,2490.5700000000002,2845.89,6881.89,7479.88,7845.27,8308.02,8896.15
　　少数股东权益,NA,NA,NA,NA,NA,71.84,83.1,92.45,109.49,134.13999999999999
　　所有者权益合计,309.47000000000003,565.53,779.99,2490.5700000000002,2845.89,6953.73,7562.98,7937.72,8417.51,9030.2999999999993
负债及股东权益总计,9880.84,14231.47,15795.34,20641.89,30971.62,46937.61,61078.03,65309.52,83560.73,106773.68
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),带强调事项段的无保留意见,NA,NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-06-25,2008-06-25,2010-04-28,2010-04-28,2011-04-30,2012-04-25,2013-04-26,2014-04-30,2015-04-29,2016-04-30
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
