...1,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,2265.3200000000002,3683.48,3373.6,8308.26,10091.16,16759.8,16293.62,24507.96,25025.17,27936.79,36360.53,31690.83
　　存放同业和其它金融机构款项,91.94,230.31,270.94,1800.64,487.84,3720.6,3024.04,13224.42,22920.28,10513.47,26047.81,33259.08
　　贵金属,NA,NA,NA,NA,NA,NA,NA,NA,1082.75,984.55,NA,NA
　　拆出资金,NA,NA,NA,250,NA,NA,NA,1463.01,2231.35,1550.24,1495.13,2591.75
　　交易性金融资产,NA,NA,NA,NA,3951.99,3767.26,1127.22,1703.88,2425.86,4260.8599999999997,4541.83,3392.73
　　买入返售金融资产,NA,NA,NA,NA,3905.93,6167.61,15178.49,17707.560000000001,6889.38,12702.53,12100.07,3475.7
　　应收利息,NA,NA,NA,NA,51.34,41.55,223.36,921.58,1297.1199999999999,1287.45,1337.44,3030.69
　　发放贷款及垫款,NA,NA,NA,NA,22891.83,27619.23,34609.279999999999,47741.11,57320.92,72203.19,92296.69,118437.12
NA,NA,NA,NA,NA,22943.170000000002,27660.78,34832.639999999999,48662.69,58618.04,73490.64,93634.13,121467.81
　　可供出售金融资产,NA,NA,NA,NA,9851.57,7786.83,10566.78,12485.45,17252.740000000002,12759.3,14138.41,29782.19
　　持有至到期投资,NA,NA,NA,NA,9401.4599999999991,13103.35,16111.27,15383.05,13267.03,10798.84,10547.03,9442.07
　　长期股权投资,NA,NA,NA,NA,14,64,162.1,631.5,649.51,1462.21,516.65,568.86
　　应收款项类投资,NA,NA,NA,NA,60.64,725.29,14891.05,34920.480000000003,46653.02,76003.210000000006,99092.800000000003,105578.8
　　固定资产,NA,NA,NA,295.58,1036.5899999999999,1562.53,1923.7,3128.26,5300.08,6483.32,7433.04,7648.94
　　无形资产,7.69,7.51,0.34,24.04,26.37,42.61,79.87,111.3,161.09,414.95,417.92,430.91
　　递延所得税资产,NA,NA,NA,NA,NA,22.22,55.44,NA,24.57,257.89,121.77,263.66000000000003
　　其他资产,NA,NA,NA,NA,164.87,265.70999999999998,598.17999999999995,8011.01,4959.38,2766.99,6165.52,2714.91
资产差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA,158.05000000000001,170.57,252.1,287.11
资产总计,13192.1,21812.35,38988.26,52666.8,61935.6,81648.58,114844.4,181940.56,207618.29,242556.37,312864.71999999997,352595.34
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,6.5,15.57,45.67,1610.48,3636.08,5412.81,4295.4399999999996,32062.79,49110.8,62355.7,78746.759999999995,58870.59
　　向中央银行借款,170,NA,NA,NA,NA,20,40,160,285,626.78,2316,1903.94
　　拆入资金,0.1,0.1,0.1,2.6,19.600000000000001,0.1,0.1,475.71,6509.77,3979.39,10586.18,7076.56
　　交易性金融负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30487.26
　　卖出回购金融资产款,400,900,9605.1,7110.5,5623.4,3378.3,7380.19,13078.36,6897.3,3691.37,2466.6,492.48
　　吸收存款,NA,NA,NA,NA,47768.04,67604.34,94216.41,117067.95,122974.24,148561.81,169525.74,177612.95
NA,NA,NA,NA,NA,57047.12,76415.55,105932.14,162844.81,185777.11000000002,219215.05,263641.28000000003,276443.78000000003
　　应付职工薪酬,NA,NA,NA,NA,37.47,26.76,45.11,202.29,420.4,535.48,570.36,774.82
　　应交税费,23.87,54.94,20.190000000000001,55.04,46.83,35.19,96.35,263.92,291.89999999999998,262.23,373.6,597.44000000000005
　　应付利息,NA,NA,NA,NA,312.14,289.86,543.24,1093.77,1772.73,2459.04,4453.68,3878.82
　　应付债券,NA,NA,NA,NA,1000,1000,1000,1000,1000,NA,247.2,39963.57
　　递延所得税负债,NA,NA,NA,NA,133.91999999999999,NA,NA,5.99,NA,NA,16.11,134.75
　　其他负债,NA,NA,NA,NA,326.42,316.81,307.26,561.1,365.96,754.14,21105.34,4567.0600000000004
　　负债合计,12940.63,20289.310000000001,37212.07,50456.45,58903.9,78084.160000000003,107924.09,165971.88,189628.11,223225.95,290407.58,326360.24
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,179.67,1332.53,1333.36,1359.13,1612.91,1612.91,2511.7399999999998,3911.74,3911.74,3911.74,3911.74,4300.7700000000004
　　资本公积金,NA,NA,NA,NA,288.41000000000003,-90.02,1241.18,6536.51,6492.39,5992.55,6532.84,6532.84
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,381.96
　　盈余公积金,32.57,72.42,97.86,192.24,285.99,471.78,731.42,1121.6600000000001,1499.9,1954.44,2495.85,3144.7
　　未分配利润,39.229999999999997,48.47,205.74,448.95,555.25,1227.53,1896.36,2915.26,4127.38,4789.42,5558,6684.43
　　一般风险准备,NA,69.62,139.24,208.85,278.47000000000003,329.5,398.92,1024.8,1462.81,2198.44,3304.39,4465.07
　　归属于母公司所有者权益合计,251.47,1523.04,1776.19,2209.19,3021.03,3551.69,6779.62,15509.96,17494.23,18846.59,21821.01,25509.78
　　少数股东权益,NA,NA,NA,1.17,10.67,12.74,140.68,458.72,495.95,483.83,636.13,725.32
　　所有者权益合计,251.47,1523.04,1776.19,2210.36,3031.7,3564.42,6920.3,15968.68,17990.18,19330.419999999998,22457.14,26235.1
负债及股东权益总计,13192.1,21812.35,38988.26,52666.8,61935.6,81648.58,114844.4,181940.56,207618.29,242556.37,312864.71999999997,352595.34
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-11-14,2008-11-14,2008-11-14,2008-05-31,2009-05-05,2010-04-29,2011-04-27,2012-04-13,2013-04-27,2014-06-23,2015-06-20,2016-05-26
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
