...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,12885.32,31039.57,38436.85,46476.5,61794.03,73753.63,74255.899999999994,77594.820000000007,84512.21,77906.48
　　存放同业和其它金融机构款项,1849.32,1500.4,17696.509999999998,23895.75,41618.730000000003,51479.64,45028.79,38276.78,32946.550000000003,62853.8
　　贵金属,NA,NA,NA,NA,NA,42.43,NA,4.82,8.74,38.25
　　拆出资金,NA,241.16,NA,95.59,291.39999999999998,3903.83,10473.08,11448.29,8163.57,17265.95
　　交易性金融资产,NA,NA,NA,1346.95,9.89,862.79,716.18,394.43,3061.79,12935.87
　　买入返售金融资产,NA,2000,5587.47,17719.47,24920.98,15132.03,14101.13,17550.830000000002,35457.64,50569.5
　　应收利息,NA,NA,NA,140.94,811.26,1038.73,1027.46,1526.07,1865.95,2523.06
　　发放贷款及垫款,69524.09,94551.33,113766.76,116181.92,131930.22,160177.19,193044.35,226049.6,254262.94,257875.84
NA,69524.09,94551.33,113766.76,116322.86,132741.48000000001,161215.92000000001,194071.81,227575.67,256128.89,260398.9
　　可供出售金融资产,NA,NA,NA,30759.86,11347.52,12688.64,19493.39,19860.330000000002,16962.849999999999,21927.279999999999
　　持有至到期投资,NA,NA,NA,39066.839999999997,42895.71,49230.559999999998,51029.25,56244.3,61466.84,73617.89
　　长期股权投资,NA,43869.57,NA,19.98,23.24,25.93,58,98.62,132.29,154.30000000000001
　　应收款项类投资,NA,NA,NA,1339.34,8589.51,2373.3000000000002,7369.58,3868.27,8253.4599999999991,41348.379999999997
　　固定资产,2052.6799999999998,2295.67,2141.5500000000002,2031.6,2202.92,2198.92,3807.22,3688.75,5904.04,6065.88
　　无形资产,3.14,7.09,4.84,3.4,9.9,16.34,30.43,36.700000000000003,40.29,126.27
　　递延所得税资产,NA,NA,NA,712.04,1221.8699999999999,1791.94,2216.36,2409.02,2545.61,2392.65
　　投资性房地产,NA,NA,NA,6.49,2.31,2.14,1.97,1.8,NA,NA
　　其他资产,NA,NA,NA,NA,NA,2597.52,1705.17,6936.63,7361.42,681.28
资产差额(特殊报表科目),65487.39,7181.89,49982.48,4515.3900000000003,3727.21,NA,NA,NA,NA,NA
资产总计,151801.95000000001,182686.68,227616.46,284312.05,331396.7,377315.58,424358.26,465990.07,522946.18,628282.68000000005
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,2698.51,2155.63,2516.62,2404.4699999999998,1397.86,1285.18,2877.43,30633.54,25518.61,25635.82
　　向中央银行借款,NA,NA,NA,NA,NA,7.8,8.5,15,553.89,7624.36
　　拆入资金,NA,NA,NA,NA,3000,63.01,1565.69,642.02,7787.19,11845.79
　　交易性金融负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,9560.8799999999992
　　卖出回购金融资产款,6400,NA,2655.5,4920,9541.43,14005.2,28821,14397.5,10514.86,31105.25
　　吸收存款,97028.19,120406.91,143771.26,262244.21000000002,297007.13,336070.58,355056.42,382326.93,422053.52,463418.31
NA,106126.7,122562.54000000001,148943.38,269568.68,310946.42,351431.77,388329.04,428014.99,466428.07,549190.41
　　应付职工薪酬,600.82000000000005,631.64,829.46,949.94,565.91,1145.55,1603.2,1867.95,2881.19,3150.75
　　应交税费,228.56,455.55,294.47000000000003,286.64,757.92,1408.61,1111.49,733.8,861.81,698.31
　　应付利息,NA,NA,NA,2572.69,2898.43,3580.93,5706.4,7287.19,8606.07,10268.35
　　应付债券,NA,NA,2500,2500,2500,2500,7600,5100,11036.09,27663.62
　　递延所得税负债,NA,NA,NA,0.32,NA,NA,NA,NA,49.08,NA
　　其他负债,NA,NA,NA,59.57,412.51,980.89,1124.3900000000001,1644.37,1443.21,1415.34
　　负债差额(特殊报表科目),38026.129999999997,52008.43,67592.27,488.3,504.28,NA,NA,NA,NA,NA
　　负债合计,144982.22,175658.16,220159.59,276426.13,318585.46999999997,361047.74,405474.53,444648.31,491305.53,592386.78
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,5075.05,5075.05,5075.05,5075.05,9552.25,9552.25,9552.25,9552.25,12148.48,12148.48
　　资本公积金,NA,NA,NA,-91.06,-274.07,1181.03,1028.81,326.58,4037.14,4037.14
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,127.48,402.82
　　盈余公积金,393.89,427.76,491.07,568.71,651.63,874.75,1198.48,1580.21,2084.58,2604.9
　　未分配利润,304.5,304.89,253.75,253.75,297.33999999999997,1778.24,2293.42,4568.04,7105.7,9090.84
　　一般风险准备,1046.3,1220.81,1613.32,2056.16,2559.39,2853.95,4779.75,5279.8,5995.51,7472.73
　　归属于母公司所有者权益合计,6819.74,7028.52,7433.19,7862.62,12786.53,16240.23,18852.71,21306.89,31498.880000000001,35756.92
　　少数股东权益,NA,NA,23.69,23.3,24.7,27.61,31.02,34.869999999999997,141.77000000000001,138.99
　　所有者权益合计,6819.74,7028.52,7456.88,7885.92,12811.23,16267.83,18883.73,21341.759999999998,31640.65,35895.9
负债及股东权益总计,151801.95000000001,182686.68,227616.46,284312.05,331396.7,377315.58,424358.26,465990.07,522946.18,628282.68000000005
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,保留意见,保留意见,保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2010-11-24,2010-11-24,2010-11-24,2010-11-24,2011-04-30,2012-05-15,2013-04-28,2014-05-05,2015-04-29,2016-05-03
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
