...1,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,32015.01,25855.040000000001,35459.949999999997,45608.12,49286.82,68132.83,104196.88,125984.46,146923.01,170686.72,188007,153182
　　存放同业和其它金融机构款项,10100.86,17176.07,10178.030000000001,14177.45,13928.48,13810.87,41436.839999999997,114193.38,60889.43,117840.34,99626,265953
　　贵金属,NA,NA,NA,NA,NA,NA,NA,NA,16.670000000000002,NA,NA,55
　　拆出资金,2353.11,4619.32,5846.78,11508.36,14977.76,10721.55,22556.67,96732.85,74099.820000000007,56388.36,74505,88953
　　交易性金融资产,6603.94,14852.72,6648.74,6254.85,16811.310000000001,11515.7,16717.669999999998,5360.63,7040.69,13221.22,13360,16522
　　衍生金融资产,5.89,1.05,1.61,12.83,51.72,18.61,26.6,22.23,30.32,89.88,53,137
　　买入返售金融资产,7320.5,10024.6,10499.25,27895.29,42704.37,42746.68,65114.66,23228.639999999999,88487.95,123747.71,133179,138722
　　应收利息,182.94,187.13,250.15,1480,1723.24,1997.39,2838.96,5073.16,7005.35,7619.51,8981,10967
　　发放贷款及垫款,104893.3,107771.33,125527.05,153324.13,187690.32,267450.11,327602.8,396076.92,483445.29,568852.23,654718,747917
NA,105076.24,107958.46,125777.2,154804.13,189413.56,269447.5,330441.76,401150.07999999996,NA,NA,NA,NA
　　可供出售金融资产,7466.19,9635.8799999999992,73298.64,82945.929999999993,80979.06,63595.86,78388.3,86303.5,94983.05,96430.79,109706,127941
　　持有至到期投资,26844.26,37886.720000000001,NA,NA,NA,44723.62,64108.1,88572.96,97055.039999999994,108331.26,120099,147562
　　长期股权投资,NA,NA,NA,30.6,216.73,310.82,1177.56,1206.3399999999999,1355.16,1906.38,1779,2124
　　应收款项类投资,NA,NA,1440.66,3921.61,4254.51,4315.9399999999996,4676.9399999999996,8576.74,50311.21,58921.03,105876,127079
　　固定资产,1468.12,1660.23,1915.53,1433.95,1519.11,1734.82,1935.53,2119.27,3689.44,5200.42,6046,7133
　　无形资产,NA,NA,NA,NA,NA,NA,NA,NA,NA,547.12,623,608
　　递延所得税资产,1402.49,1178.58,1091.7,861.83,85.44,782.01,996.62,1420.85,2156.5300000000002,3855.96,3620,5073
　　投资性房地产,NA,NA,NA,247.57,255.5,243.8,232.1,220.4,345.63,358.75,341,240
　　其他资产,1387.47,1133.22,810.81,4520.41,2536.65,1368.7,1204.3,1406.35,2134.33,2766.15,3918,4741
资产差额(特殊报表科目),895.9,1061.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
资产总计,202939.98,233043.82,272968.89,354222.94,417021.02,533469.31999999995,733210.5,956498.68,1119968.93,1336763.8400000001,1524437,1844909
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,11056.24,13564.61,10419.799999999999,16717.78,36271.81,25528.5,55085.27,168043.87,241199.74,315098.46000000002,313203,389709
　　向中央银行借款,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20115,10035
　　拆入资金,373.24,194.2,862.34,2525.9499999999998,1912.62,1617.28,16024.69,20397.77,21489.24,21896.57,24083,38469
　　衍生金融负债,7.7,33,17.68,59.18,26.76,8.52,11.92,19.54,32.86,103.87,31,96
　　卖出回购金融资产款,10843.52,4700,8796.25,32684.5,11426.78,3500,39741.75,72094.649999999994,38935.99,29852.7,59527,46608
　　吸收存款,173526.78,198546.91,233090.26,259686.76,315840.11,446938.7,557724.34,614241.18000000005,713772.46,834479.87,922813,1022300
NA,195807.48,217038.72,253186.33000000002,311674.17000000004,365478.07999999996,477593,668587.97,874797.01,NA,NA,NA,NA
　　应付职工薪酬,137.66999999999999,121.73,0.76,237.56,385.38,119.66,398.32,596.75,496.82,332.93,389,1151
　　应交税费,540.75,628.86,1015.35,688.13,499.42,346.63,237.91,1140.69,1239.8,1217.55,1529,2224
　　应付利息,558.26,749.9,1034.23,1482.47,2139.4499999999998,2368.48,3463,5831.24,7903.54,11009.83,13775,14274
　　应付债券,NA,3500,3500,3500,13460.39,13468.82,16470.740000000002,19962.169999999998,19972.25,39898,56783,174639
　　递延所得税负债,NA,NA,NA,NA,NA,NA,0.02,0.01,NA,NA,NA,NA
　　预计负债,64.69,32.24,79.91,156.78,78.89,41.32,40.409999999999997,39.31,39.42,39.11,23,23
　　其他负债,2356.09,3130.69,4312.0200000000004,9815.89,1165.77,1953.63,1445.24,3697.98,3196.1,4528.8500000000004,16022,28567
　　负债合计,199464.94,225202.14,263128.59999999998,327555,383207.39,495891.55,690643.62,906065.15,1048278.21,1258457.74,1428293,1728095
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,3538.86,5027.5600000000004,5027.5600000000004,6227.56,6227.56,6227.56,6227.56,6227.56,8800.16,8800.16,10560,12672
　　其它权益工具,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4872
　　　　其它权益工具：优先股,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4872
　　资本公积金,751.91,2058.4699999999998,2058.4699999999998,14656.05,17112.46,16364.77,15669.27,15905.07,25824.5,22382.48,26128,26128
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1587
　　盈余公积金,2433.2800000000002,1182.76,1266.18,1601.01,2142.75,2706.19,3386.91,4282.38,5445.45,6810.73,8370,10045
　　未分配利润,-3070.59,-659.12,706,2105.33,5333.44,8615.41,12300.16,17123.39,18197.75,24135.07,32699,38252
　　一般风险准备,NA,314.32,765.61,2078,2978,3645.49,4962.09,6844.93,13348.92,15985.57,18136,22995
　　股东权益差额(特殊报表科目),-178.42,-82.31,16.48,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　归属于母公司所有者权益合计,3475.04,7841.68,9840.2900000000009,26667.94,33794.21,37559.42,42545.98,50383.34,71616.789999999994,78114.009999999995,95903,116551
　　少数股东权益,NA,NA,NA,NA,19.420000000000002,18.36,20.9,50.18,73.930000000000007,192.1,241,263
　　所有者权益合计,3475.04,7841.68,9840.2900000000009,26667.94,33813.629999999997,37577.769999999997,42566.879999999997,50433.52,71690.710000000006,78306.11,96144,116814
负债及股东权益总计,202939.98,233043.82,272968.89,354222.94,417021.02,533469.31999999995,733210.5,956498.68,1119968.93,1336763.8400000001,1524437,1844909
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2007-09-03,2007-09-03,2007-09-03,2008-04-07,2009-04-28,2010-04-28,2011-04-09,2012-04-24,2013-04-26,2014-04-29,2015-04-28,2016-04-27
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
