...1,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,6629.08,9752.02,11591.65,16860.5,21128.03,26930.76,24975.38
　　存放同业和其它金融机构款项,1240.25,1286.8499999999999,1535.36,3034.19,6416.44,11494.69,16109.85
　　贵金属,NA,NA,NA,NA,NA,NA,NA
　　拆出资金,NA,NA,NA,150,170.71,428.33,498.71
　　交易性金融资产,1031.6600000000001,NA,901.68,2456.5,10428.73,8314.08,3430.98
　　衍生金融资产,NA,NA,NA,NA,NA,NA,NA
　　买入返售金融资产,150.02000000000001,3377.96,36010.15,39460.29,38601.379999999997,14078.72,15651.85
　　应收利息,85.8,138.58000000000001,407.43,497.04,453.07,1069.29,1283.8800000000001
　　发放贷款及垫款,14472.16,21041.71,29096.080000000002,37573.65,46518.02,59572.5,77591.179999999993
NA,14557.96,21180.29,29503.510000000002,38070.69,46971.09,60641.79,78875.06
　　代理业务资产,NA,NA,NA,NA,NA,NA,NA
　　可供出售金融资产,1066.6099999999999,1813.12,3384.27,3163.15,4185.6000000000004,9605.73,10573.8
　　持有至到期投资,3133.83,6502.76,13548.44,21634.77,13023.76,19272.89,35024.47
　　长期股权投资,5.2,5.2,5.2,5.2,5.2,NA,NA
　　应收款项类投资,819.55,NA,NA,NA,2059.5,10489.84,21159.31
　　固定资产,697.05,782.44,769.49,989.58,932.81,870.62,1802.72
　　无形资产,3405.86,27.12,35.799999999999997,44.81,69.7,96.84,117.67
　　商誉,NA,NA,NA,NA,NA,NA,NA
　　递延所得税资产,NA,8.42,160.04,83.37,188.43,216.21,275.57
　　投资性房地产,261.58,186.37,186.37,NA,NA,NA,NA
　　其他资产,2302.0100000000002,6542.66,4324.75,6261.18,1204.01,2868.38,2629.16
资产差额(特殊报表科目),NA,NA,2343.08,1041.75,2722.31,NA,NA
资产差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA
资产总计,35300.65,51465.24,104299.79,133255.98000000001,148107.70000000001,165308.89000000001,211124.52
负债：,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,1257.1099999999999,2430.5500000000002,8376.34,10908.66,16017.92,13660.01,15650.63
　　向中央银行借款,90,NA,50,40,52.3,80,20
　　拆入资金,NA,NA,NA,NA,2328.0300000000002,1161.02,364.94
　　交易性金融负债,NA,NA,NA,NA,NA,NA,NA
　　衍生金融负债,NA,NA,NA,NA,NA,NA,NA
　　卖出回购金融资产款,1055,2261.5,33295.43,40077.67,28443.57,17188.330000000002,21785.07
　　吸收存款,29485.09,40546.18,54647.07,70954.14,87925.66,117401.97,140072.53
NA,31887.200000000001,45238.23,96368.84,121980.47,134767.48000000001,149491.33000000002,177893.16999999998
　　应付职工薪酬,98.1,84.19,239.2,243.79,425.81,543.6,612.1
　　应交税费,69.97,87.76,127.21,141.09,177.56,363.21,414.37
　　应付利息,166.62,173.83,379.15,550.32000000000005,956.45,1499.7,2240.48
　　代理业务负债,NA,NA,NA,NA,NA,NA,NA
　　应付债券,NA,NA,NA,1492.5,1493.25,1494,14317.2
　　递延所得税负债,NA,4.46,146.71,79.650000000000006,97.14,NA,NA
　　预计负债,NA,NA,NA,NA,NA,NA,NA
　　其他负债,976.45,1643.53,953.78,1927.03,218.5,826.16,2768.1
　　负债差额(特殊报表科目),NA,NA,273.44,146.6,503.14,NA,NA
　　负债差额(合计平衡项目),NA,0,NA,NA,NA,NA,NA
　　负债合计,33198.32,47231.99,98488.320000000007,126561.46,138639.32999999999,154217.99,198245.42
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA
　　股本,1413.98,4080,4928.91,4928.91,6161.13,6161.13,6161.13
　　其它权益工具,NA,NA,NA,NA,NA,NA,NA
　　　　其它权益工具：优先股,NA,NA,NA,NA,NA,NA,NA
　　资本公积金,3671.41,7.24,17.93,16.77,317.69,438.52,438.52
　　减：库存股,NA,NA,NA,NA,NA,NA,NA
　　其它综合收益,NA,NA,NA,NA,NA,-1.45,119.11
　　盈余公积金,36.5,11.76,81.86,194.52,346.09,548.22,775.32
　　未分配利润,-3100.37,101.62,646.46,1038.28,1387.49,1879.27,2110.0100000000002
　　一般风险准备,53.23,1.64,98.02,466.13,1195.9000000000001,1994.86,3198.41
　　外币报表折算差额,NA,NA,NA,NA,NA,NA,NA
　　未确认的投资损失,NA,NA,NA,NA,NA,NA,NA
　　股东权益差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA
　　股权权益差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA
　　归属于母公司所有者权益合计,2074.75,4202.26,5773.18,6644.61,9408.2999999999993,11020.54,12802.49
　　少数股东权益,27.57,30.99,38.29,49.91,60.07,70.36,76.61
　　所有者权益合计,2102.3200000000002,4233.24,5811.47,6694.52,9468.3700000000008,11090.89,12879.1
负债及股东权益差额(特殊报表项目),NA,NA,NA,NA,NA,NA,NA
负债及股东权益差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA
负债及股东权益总计,35300.65,51465.24,104299.79,133255.98000000001,148107.70000000001,165308.89000000001,211124.52
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
审计意见(境外),NA,NA,NA,NA,NA,NA,NA
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2012-11-26,2012-11-26,2012-04-28,2013-04-22,2014-04-29,2015-04-30,2016-04-29
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA
