...1,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,NA,NA,2555.96,2669.5,3929.91,7471.21,8834.01,15189.79,23958.33,32840.61,42228.88,49593.79,71767.570000000007,78780.240000000005
　　存放同业和其它金融机构款项,NA,NA,1249.1500000000001,781.8,1018.8,1691.73,1780.09,4484.05,4156.53,20861.72,17479.22,17484.490000000002,20109.62,27644.25
　　贵金属,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53,6.74
　　拆出资金,NA,NA,28.97,8.07,NA,306.05,610,600,2198.16,8682.56,9534.5499999999993,1996.55,7001.2,3947.4
　　交易性金融资产,300,409.11,3358.1,10037.459999999999,9129.7800000000007,6740.64,7815.78,7986.11,9519.77,6995.06,5830.23,3454.61,8269.5300000000007,19551.59
　　衍生金融资产,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.430000000000007,50.03,399.4,763.81,2329.58
　　买入返售金融资产,NA,NA,3853.11,3870.79,4451.8500000000004,6154.95,6277.2,18863.349999999999,39376.29,40836.239999999998,53846.12,60388.77,14497.98,8966.91
　　应收利息,146.18,98.8,163.51,188.04,221.8,452.75,666.08,779.84,1250.24,1960.65,2433.17,3480,5090.63,6740.86
　　发放贷款及垫款,NA,NA,15127.91,19433.599999999999,24829.79,29823.64,39057.379999999997,65607.77,81989.47,100203.83,121962.19,143057.81,169346.25,242226.64
NA,NA,NA,15291.42,19621.64,25051.59,30276.39,39723.46,66387.61,83239.710000000006,102164.48,124395.36,146537.81,174436.88,NA
　　可供出售金融资产,NA,NA,10311.61,9419.31,11867.52,8532.83,10455.48,11668.68,15337.34,24186.63,27932.66,45062.76,55363.97,110546.28
　　持有至到期投资,NA,NA,NA,NA,NA,10188.280000000001,12343.22,14156.47,19496.150000000001,25303.84,27354.15,39319.300000000003,67056.149999999994,85577.33
　　长期股权投资,8.6,8.6,8.6,8.6,147.65,199.16,258.88,801.37,908.1,1486.97,1721.4,2181.8000000000002,2429.9699999999998,2765.82
　　应收款项类投资,NA,NA,NA,NA,1309.5999999999999,2585.61,2546.6799999999998,7903,20963.32,15777.52,30191.58,63527.02,145451.29999999999,208474.18
　　固定资产,324.42,318.05,391.27,407.66,432.21,495.03,913.18,1112.03,1746.51,1901.63,2172.9899999999998,2188.06,3652.78,4499.68
　　无形资产,7.58,12.19,11.69,11.31,15.57,17.91,44.21,60.26,59.05,80.38,96.67,120.04,118.87,179.44
　　递延所得税资产,NA,NA,158.80000000000001,127.78,102.59,158.69,213.16,220.73,323.79000000000002,362.11,534.46,1092.3900000000001,1091.8499999999999,1474.19
