...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,1006.37,2217.04,3598.24,5694.83,6506.49,9118.1200000000008,16391.41,19050.09,18253.93,18346.46
　　存放同业和其它金融机构款项,358.3,216.43,303.39,568.33000000000004,5139.49,28244.43,14777.33,24220.81,10585.97,13280.11
　　拆出资金,NA,NA,0.09,NA,25,50,NA,151.02000000000001,25,20
　　交易性金融资产,NA,NA,799.74,147.83000000000001,144.75,269.56,675.65,371.73,2059.59,1890.91
　　买入返售金融资产,NA,NA,495.6,710,8030.56,7001.48,20630.37,25026.41,23531.439999999999,11981.98
　　应收利息,7.19,2.79,67.56,72.290000000000006,128.01,386.76,772.3,818.65,913.91,1424.59
　　发放贷款及垫款,NA,NA,6349.09,9878.35,12711.67,15505.08,26491.55,28539.79,37410.01,49851.25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51275.839999999997
　　可供出售金融资产,NA,NA,2413.09,1274.76,2447.11,834.58,1130.3499999999999,1249.98,3370.95,11042.94
　　持有至到期投资,NA,NA,2199.46,5553.79,7187.2,8364.19,23724.63,22436.87,19870.41,19722.5
　　长期股权投资,NA,NA,0.16,0.16,8.82,9.49,11.36,17.98,NA,NA
　　应收款项类投资,NA,NA,NA,NA,460,3280,2660,6477.24,12692.12,24538.27
　　固定资产,4.4400000000000004,73.66,74.94,81.06,85.75,130.47999999999999,166.73,301.91000000000003,429.48,461.72
　　无形资产,NA,NA,NA,1.28,34.75,34.020000000000003,33.28,32.89,34.68,43.01
　　递延所得税资产,NA,NA,16.79,20.59,34.450000000000003,56.51,67.209999999999994,130.38,226.92,303
　　投资性房地产,NA,NA,12.44,11.54,10.64,9.74,8.83,7.93,7.03,6.13
　　其他资产,NA,NA,87.87,140.26,158.62,2460.12,1204.97,1271.53,1240.22,1534.49
资产总计,5872.96,10743.77,16418.46,24155.06,43113.33,75754.55,108745.98,130105.21,130651.65,154447.35999999999
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,210.86,199.21,3140.05,2894.78,9722.06,24410.22,26097.119999999999,38188.629999999997,21248.71,24677.65
　　向中央银行借款,NA,NA,NA,NA,NA,50,387.5,711.76,1312.77,1480.54
　　拆入资金,NA,NA,NA,NA,NA,132.32,5283.47,256.07,12.24,142.86000000000001
　　卖出回购金融资产款,NA,NA,1720,2820,2620,1298.51,5023.2,9244.41,15149,18454.68
　　吸收存款,NA,NA,10038.34,17267.27,27940.18,44911.95,63819.59,73147.509999999995,82381.56,92683.520000000004
NA,NA,NA,14898.39,22982.050000000003,40282.239999999998,70803,100610.88,121548.37999999999,120104.28,137439.25
　　应付职工薪酬,NA,NA,3.49,2.58,3.12,3.88,13.36,50.75,112.99,156.91999999999999
　　应交税费,37.130000000000003,56.99,34.58,54.93,78.5,165.26,175.59,274.42,278.91000000000003,361.43
　　应付利息,22.59,32.69,77.099999999999994,99.05,134.99,478.96,595.16,1142.3499999999999,1175.1600000000001,873.2
　　应付债券,NA,NA,NA,NA,NA,NA,NA,NA,NA,3969.32
　　递延所得税负债,NA,NA,36.26,13.51,10.94,14.76,12.99,10.94,17.13,12.98
　　其他负债,NA,NA,620.15,39.770000000000003,1110.47,580.88,2307.61,349.21,414.65,990.67
　　负债差额(合计平衡项目),NA,NA,0,NA,NA,NA,NA,NA,NA,NA
　　负债合计,5454.42,10269.93,15669.97,23191.88,41620.26,72046.73,103715.58,123376.07,122103.1,143803.78
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,300,300,300,300,600,1001.21,1001.21,1001.21,1001.21,1001.21
　　资本公积金,7.97,7.97,75.31,15.67,3.75,820.76,812.52,743.94,809.7,809.7
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,-1.26,1.87
　　盈余公积金,13.37,22.66,42.68,72.81,129.03,231.91,366.4,551.85,725.65,940.57
　　未分配利润,73.930000000000007,91.15,231.52,434.94,560.17999999999995,1250.07,1981.08,3281.92,4538.96,6315.43
　　一般风险准备,23.26,51.18,84.07,123.4,178.9,368.97,674.58,924.87,1127.6400000000001,1153.23
　　归属于母公司所有者权益合计,418.54,472.97,733.59,946.82,1471.86,3672.92,4835.79,6503.79,8201.89,10222.01
　　少数股东权益,NA,0.87,14.91,16.36,21.21,34.9,194.6,225.36,346.66,421.58
　　所有者权益合计,418.54,473.84,748.49,963.18,1493.06,3707.82,5030.3900000000003,6729.15,8548.5499999999993,10643.58
负债及股东权益总计,5872.96,10743.77,16418.46,24155.06,43113.33,75754.55,108745.98,130105.21,130651.65,154447.35999999999
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-06-05,2008-06-05,2009-04-30,2011-04-27,2011-04-27,2012-04-28,2013-05-20,2014-04-30,2015-04-30,2016-04-30
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
