...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,4646.38,5676.18,6967.66,7749.54,12767.05,22762.76,21174.33,21649.56,21311.98,27126.01
　　存放同业和其它金融机构款项,293.64,106.3,1910.11,3254.53,5163.1400000000003,13296.99,14360.68,14764.22,7696.56,7249.83
　　贵金属,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11
　　拆出资金,70.02,71.09,NA,NA,NA,NA,320,NA,870.5,612.54
　　交易性金融资产,NA,NA,618.38,2484.17,2063.4699999999998,373.7,387.84,732.63,1941.32,5367.68
　　衍生金融资产,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　买入返售金融资产,NA,500,NA,NA,8660.68,6164.09,11675.19,10499.27,15539.14,10093.5
　　应收利息,NA,NA,113.71,119.78,168.08,182.41,362.98,680.72,1279.82,915.69
　　发放贷款及垫款,10088.280000000001,15040.01,16953.46,21662.23,27026.34,32840.42,39497.519999999997,47825.13,58795.89,83612.11
NA,10088.280000000001,15040.01,17067.169999999998,21782.01,27194.420000000002,33022.83,39860.5,48505.85,60075.71,84527.8
　　代理业务资产,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　可供出售金融资产,NA,NA,102.75,97.9,206.14,1138.21,1005.84,1905.07,2562.75,3604.98
　　持有至到期投资,NA,NA,3442.64,3075.99,3312.69,2525.5100000000002,6473.28,9738.26,12385.54,16611.2
　　长期股权投资,2317.9499999999998,2613.67,10.53,10.53,10.53,10.53,10.25,10.25,NA,NA
　　应收款项类投资,NA,NA,3819.09,4301.62,3867.82,7398.17,9289.52,16878.18,30256.61,53216.97
　　固定资产,418.82,397.23,371.79,670.52,743.8,933.72,819.23,1277.25,1848.12,2455.14
　　无形资产,2005.75,170.41,21.71,18.54,58.27,53.45,57.13,57.39,54.97,159.51
　　商誉,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.19
　　递延所得税资产,NA,NA,117.08,187.01,195.61,299.2,465.51,578.23,706.39,898.96
　　投资性房地产,NA,NA,163.47999999999999,160.87,1.28,1.1200000000000001,NA,NA,NA,14.27
　　其他资产,382.99,369.5,477.66,471.57,89.62,98.05,242.21,432.36,625.1,1122.05
资产差额(特殊报表科目),3132.04,2059.8000000000002,NA,NA,NA,NA,NA,NA,NA,NA
资产差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
资产总计,23355.87,27004.19,35090.06,44264.78,64334.54,88078.33,106141.52,127028.55,155874.66,213087.75
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,50.69,10.79,1558.97,1231.83,2175.73,7463.04,8288.64,16714.86,13384.56,8928.5300000000007
　　向中央银行借款,NA,NA,NA,NA,NA,NA,39.96,50,207.42,685
　　拆入资金,NA,100,NA,NA,NA,NA,189.55,NA,NA,149.16
　　交易性金融负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　衍生金融负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　卖出回购金融资产款,NA,NA,NA,2983.09,2474.66,NA,8613.6200000000008,3379.33,14743.02,12705.62
　　吸收存款,19449.669999999998,22529.46,28651.919999999998,34947.11,54135.55,72252.179999999993,76189.52,89017.88,106274.85,149359.64000000001
NA,19500.359999999997,22640.25,30210.89,39162.03,58785.94,79715.219999999987,93321.290000000008,109162.07,134609.85,171827.95
　　应付职工薪酬,24.97,92.77,193.06,217.24,189.5,286.92,272.13,282.69,269.27,340.58
　　应交税费,70.7,127.35,112.66,87.43,153.37,372.48,203.82,553.01,551.79,276.93
　　应付利息,NA,NA,148.25,154.77000000000001,171.5,296.2,512.89,915.25,1243.1199999999999,1510.41
　　代理业务负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　应付债券,NA,NA,NA,NA,NA,993.5,996.88,5989.8,6983.4,17362.189999999999
　　递延所得税负债,NA,NA,4.49,NA,NA,5.33,0.42,NA,NA,49.42
　　预计负债,NA,NA,0.19,0.17,NA,7.0000000000000007E-2,NA,0.31,NA,0.27
　　其他负债,98.05,267.76,733.13,426.05,177.43,482.89,2950.52,491.67,1429.69,1511.4
　　负债差额(特殊报表科目),2158.35,689.7,NA,NA,NA,NA,NA,NA,NA,NA
　　负债差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　负债合计,21852.43,23817.85,31402.67,40047.69,59477.73,82152.61,98257.94,117394.79,145087.12,192879.16
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,1182.07,2382.0700000000002,2382.0700000000002,2382.0700000000002,2382.0700000000002,2382.0700000000002,2634.07,2782.07,2782.07,4678.78
　　其它权益工具,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　　　其它权益工具：优先股,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　资本公积金,0.23,360.23,364.77,360.14,359.66,376.21,872.5,1146.24,1190.2,7633.63
　　减：库存股,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,-3.77,42.62
　　盈余公积金,136.99,176.76,276.63,412.08,565.76,810.75,1105.1600000000001,1427.64,1731.28,1827.13
　　未分配利润,64.069999999999993,92.12,406.13,713.51,1157.08,1697.75,1899.6,2520.9499999999998,2905.68,2576.2199999999998
　　一般风险准备,124.77,184.88,257.79000000000002,349.29,353.42,555.17999999999995,1218.28,1542.86,1958.17,2610.3200000000002
　　外币报表折算差额,-4.68,-9.7200000000000006,NA,NA,NA,NA,NA,NA,NA,NA
　　未确认的投资损失,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股东权益差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股权权益差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　归属于母公司所有者权益合计,1503.44,3186.34,3687.39,4217.09,4817.99,5821.96,7729.61,9419.76,10563.64,19368.689999999999
　　少数股东权益,NA,NA,NA,NA,38.82,103.77,153.97,214,223.9,839.9
　　所有者权益合计,1503.44,3186.34,3687.39,4217.09,4856.8100000000004,5925.72,7883.58,9633.76,10787.54,20208.59
负债及股东权益差额(特殊报表项目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
负债及股东权益差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
负债及股东权益总计,23355.87,27004.19,35090.06,44264.78,64334.54,88078.33,106141.52,127028.55,155874.66,213087.75
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
审计意见(境外),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-06-28,2008-06-28,2009-04-30,2011-12-27,2011-04-30,2012-04-25,2013-04-27,2014-04-30,2015-04-30,2016-04-27
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
