...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,729.96,1454.65,1509.8,1668.77,2124.98,3660.56,4505.3599999999997,5392.71,6670.33,8097.01
　　存放同业和其它金融机构款项,498.68,330.18,2591.38,3029.81,4050.4,5828.93,3723.32,5763.19,7224.95,6712.03
　　拆出资金,NA,NA,NA,NA,NA,NA,NA,NA,67.31,1003.26
　　交易性金融资产,NA,NA,NA,NA,NA,NA,NA,NA,5800.32,5289.39
　　买入返售金融资产,NA,617.29999999999995,NA,150,392.7,345.5,160,2962.47,4003.71,4892.68
　　应收利息,NA,NA,NA,NA,NA,NA,NA,164.66,456.86,687.88
　　发放贷款及垫款,5644.86,6599.17,6537.45,7608.31,9218.65,11000.11,12765.24,15461.89,19372.84,25844.71
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26532.59
　　可供出售金融资产,NA,NA,NA,NA,NA,NA,NA,5214,11755.7,25070.41
　　持有至到期投资,NA,NA,NA,NA,NA,NA,NA,1632.95,2327.16,3638.93
　　长期股权投资,32.04,63.66,156.1,528.1,528.1,488.1,1461.42,60.8,60.8,45
　　应收款项类投资,NA,NA,NA,NA,NA,NA,NA,NA,NA,10270.23
　　固定资产,212.58,212.14,203.06,207.44,199.66,210.21,247.73,233.62,212.07,114.05
　　无形资产,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.32
　　递延所得税资产,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.02
　　投资性房地产,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.65
　　其他资产,NA,NA,NA,NA,NA,NA,NA,1521.58,3819.17,139.72
资产差额(特殊报表科目),2259.7199999999998,1641.31,109.55,429.02,32.340000000000003,232.17,1409.76,NA,NA,NA
资产总计,9377.83,10918.41,11107.34,13621.45,16546.830000000002,21765.58,24272.82,38407.870000000003,61771.22,91911.26
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,NA,NA,NA,NA,NA,0.05,720.13,4534.76,5548.71,1857.3
　　向中央银行借款,NA,30,NA,NA,NA,NA,NA,NA,NA,400
　　拆入资金,NA,NA,NA,NA,NA,NA,NA,2710,2495.94,2135.0300000000002
　　卖出回购金融资产款,NA,NA,NA,338.7,NA,NA,NA,300,7383.3,17293.45
　　吸收存款,5813.72,6636.01,6543.37,8003.3,10507.14,15087.65,15315.7,27632.97,37153.21,50877.66
NA,5813.72,6666.01,6543.37,8342,10507.14,15087.699999999999,16035.83,35177.730000000003,52581.16,72563.44
　　应付职工薪酬,1.24,NA,NA,NA,NA,NA,NA,8.69,11.4,185.53
　　应交税费,27.97,47.55,28.04,16.600000000000001,29.11,80.239999999999995,34.369999999999997,59.92,81.7,125.32
　　应付利息,NA,NA,NA,NA,7.0000000000000007E-2,NA,NA,425.26,531.64,488.82
　　应付债券,NA,NA,NA,NA,NA,NA,NA,NA,632.66999999999996,10522.42
　　递延所得税负债,NA,NA,NA,NA,NA,NA,NA,NA,7.11,63.59
　　其他负债,NA,NA,NA,NA,NA,NA,NA,64.349999999999994,3556.69,1794.32
　　负债差额(特殊报表科目),3276.21,3904.48,3726.48,4292.26,4812.59,5205.92,5989.63,NA,NA,NA
　　负债合计,9119.14,10618.04,10297.89,12650.86,15348.91,20373.849999999999,22059.83,35735.949999999997,57402.37,85743.45
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,123.7,131.55000000000001,452.07,501.73,601.73,600.13,850.13,1028.3499999999999,1492.46,1961.72
　　资本公积金,NA,NA,77.5,77.5,77.5,116.19,602.61,636.99,1402.94,2228.4
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,0,120.06
　　盈余公积金,23.12,24.85,32.770000000000003,52.1,77.33,152.47999999999999,223.44,268.48,335.43,339.08
　　未分配利润,NA,13.83,63.26,153.47,253.04,309.16000000000003,228.84,241.7,453.51,428.81
　　一般风险准备,111.87,130.15,183.86,185.79,188.31,213.78,307.97000000000003,496.4,684.51,1089.73
　　外币报表折算差额,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
　　归属于母公司所有者权益合计,258.69,300.37,809.45,970.59,1197.92,1391.73,2212.9899999999998,2671.93,4368.8500000000004,6167.81
　　所有者权益合计,258.69,300.37,809.45,970.59,1197.92,1391.73,2212.9899999999998,2671.93,4368.8500000000004,6167.81
负债及股东权益总计,9377.83,10918.41,11107.34,13621.45,16546.830000000002,21765.58,24272.82,38407.870000000003,61771.22,91911.26
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2009-06-19,2009-06-19,2009-04-30,2010-04-09,2014-03-12,2014-03-12,2014-03-12,2014-04-24,2015-04-30,2016-04-29
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
