...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,1272.1500000000001,3366.76,4236.1499999999996,4449.4799999999996,6651.96,10300.01,16710.02,21884.240000000002,34616.959999999999,41698.47
　　存放同业和其它金融机构款项,1716.01,538.21,2126.27,1656.95,1926.13,12307.83,1959.07,22192.11,12188.92,19547.59
　　拆出资金,2620.37,2515.41,2121.75,1036.27,556.16999999999996,152.76,15217.12,2714.86,2687.34,6783.79
　　交易性金融资产,NA,NA,642.29,422.72,348.6,616.98,19582.96,904.22,735.13,521.96
　　衍生金融资产,NA,NA,16.97,73.459999999999994,157.54,99.76,56.54,38.78,55.23,64.08
　　买入返售金融资产,139.4,1813.75,437.01,3012,4783.53,NA,100,4521.1000000000004,7219,NA
　　应收利息,87.35,136.35,147.18,85.57,146.47,284.51,1073.98,1254.22,1559.93,1702.97
　　发放贷款及垫款,14801.73,25547.75,27605.63,28305.42,43800.69,52455.67,65210.58,79924.240000000005,109259.19,150198.57999999999
NA,14889.08,25684.1,27752.81,28390.989999999998,43947.16,52740.18,66284.56,81178.460000000006,110819.12,151901.54999999999
　　可供出售金融资产,NA,NA,2228.0500000000002,3724.9,3954.8,4587.47,15007.51,26972.23,32527.35,32307.360000000001
　　持有至到期投资,NA,NA,3770,3493.04,3958.54,1399.38,1035.8399999999999,784.26,1031.6199999999999,4040.02
　　长期股权投资,2834.52,4449.0600000000004,3.65,3.65,3.65,3.65,3.65,3.65,NA,NA
　　应收款项类投资,NA,NA,NA,NA,NA,NA,67185.45,97742.16,145072.87,197573.27
　　固定资产,202.54,188.96,153.6,144.44999999999999,140.16999999999999,131.28,132.03,150.05000000000001,186.28,257.22000000000003
　　无形资产,NA,NA,NA,NA,NA,NA,NA,NA,34.090000000000003,235.67
　　递延所得税资产,NA,NA,113.9,NA,NA,7.41,52.35,569.72,272.82,428.37
　　投资性房地产,NA,NA,23.3,22.29,6.72,6.25,NA,NA,NA,NA
　　其他资产,0.02,0.23,265.24,228.55,4118.0200000000004,1202.6099999999999,2726.07,584.62,779.24,464.17
资产差额(特殊报表科目),6920.54,4264.8900000000003,197.69,233.79,348.74,21540.32,511.41,597.42999999999995,714.93,3381.18
资产总计,30594.62,42821.38,44088.68,46892.53,70901.740000000005,105095.9,206564.57,260837.88,348940.89,459204.69
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,359.04,1665.5,2786.31,1012.74,8215.11,24381.01,80878.86,89871.38,76688.39,101447.96
　　向中央银行借款,NA,NA,NA,NA,NA,NA,NA,NA,430,NA
　　拆入资金,NA,NA,205.48,NA,96.23,628.57000000000005,2653.42,3519.65,7421.76,8086.74
　　交易性金融负债,NA,NA,80.95,237.04,73.510000000000005,9.6199999999999992,5.36,14.92,5.67,11.71
　　衍生金融负债,NA,NA,20.059999999999999,14.78,64.05,31.78,119.38,28.53,76.27,5.24
　　卖出回购金融资产款,586.20000000000005,581.25,NA,198,2750,2145.79,14690.04,14428.68,15148.69,2273.52
　　吸收存款,27091.15,36867.660000000003,37524.42,41930.18,55071.68,72075.649999999994,96285.97,136383.57,224185.22,310342.15000000002
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320719.36000000004
　　应付职工薪酬,35.22,62.02,147.43,95.92,180.96,319.7,381.67,744.9,941.39,1155.46
　　应交税费,73.33,88.8,230.92,116.91,117.99,216.94,276.06,605.88,464.01,814.29
　　应付利息,163.15,207.97,289.52,181.52,313.07,865.52,1660.17,2420.96,3874.23,3356.26
　　应付债券,NA,NA,NA,NA,NA,NA,NA,608.13,3601.8,3640.47
　　递延所得税负债,NA,NA,103.17,84.24,16.39,NA,NA,NA,NA,NA
　　其他负债,NA,NA,290.44,207.8,670.46,540.08000000000004,410.07,1444.08,635.77,278.79000000000002
　　负债差额(特殊报表科目),431.03,1153.68,NA,NA,NA,NA,NA,99.73,21.6,NA
　　负债合计,28739.119999999999,40626.879999999997,41678.699999999997,44079.12,67569.440000000002,101214.67,197361,250170.42,333494.8,431412.6
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,1068.96,1068.96,1068.96,1068.96,1068.96,1068.96,1807.8,2004.3,2293.13,6386.26
　　资本公积金,NA,NA,3.18,-3.47,11.73,22.29,4871.53,4899.55,7445.95,10204.790000000001
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,-48.29,384.28
　　盈余公积金,NA,NA,919.41,979.21,1103.8,1200.44,1302.55,NA,166.82,722.16
　　未分配利润,211.46,437.39,373.44,726.61,950.52,1283.21,156.91999999999999,2497.7199999999998,3168.69,4030.75
　　一般风险准备,NA,NA,190,190,380,541,1300,1530,2419.7800000000002,3652.49
　　外币报表折算差额,-40.98,-75.319999999999993,-145.01,-147.91,-182.71,-234.67,-235.24,-264.11,NA,NA
　　股东权益差额(特殊报表科目),578.35,720.11,NA,NA,NA,NA,NA,NA,NA,NA
　　归属于母公司所有者权益合计,1817.79,2151.13,2409.98,2813.4,3332.3,3881.23,9203.57,10667.46,15446.09,25380.73
　　少数股东权益,37.72,43.37,NA,NA,NA,NA,NA,NA,NA,2411.36
　　所有者权益合计,1855.51,2194.5100000000002,2409.98,2813.4,3332.3,3881.23,9203.57,10667.46,15446.09,27792.09
负债及股东权益总计,30594.62,42821.38,44088.68,46892.53,70901.740000000005,105095.9,206564.57,260837.88,348940.89,459204.69
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-04-30,2008-04-30,2009-04-30,2010-06-09,2011-08-18,2012-04-30,2013-06-21,2014-04-30,2015-04-28,2016-04-29
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
