...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,1330.15,2591.83,8190.76,9193.81,9716.61,11740.81,14658.26,17449.759999999998,18875.5,17936.14
　　存放同业和其它金融机构款项,775.33,643.19000000000005,519.30999999999995,905.3,2696.09,5006.29,2268.34,2686.38,2877.49,3805.92
　　交易性金融资产,NA,NA,NA,NA,NA,NA,241.34,NA,186.85,1305.99
　　买入返售金融资产,NA,NA,NA,601.69000000000005,3888.19,205.02,2343.9699999999998,4369.8100000000004,1105.82,385.25
　　应收利息,106.07,170.39,100.45,133.16999999999999,190.86,261.72000000000003,273.81,344.49,420.01,593.16999999999996
　　发放贷款及垫款,NA,NA,15052.19,20802.849999999999,28161.78,34834.720000000001,43041.7,52189.27,65691.66,75858.66
NA,NA,NA,15152.640000000001,NA,NA,NA,NA,NA,NA,NA
　　可供出售金融资产,NA,NA,NA,NA,190,1141.5999999999999,3150.48,5636.38,3749.21,7868.28
　　持有至到期投资,NA,NA,1122.25,1851.73,3293.43,3473.56,3473.77,4083.82,5673.18,8354.0400000000009
　　长期股权投资,NA,NA,0.25,0.25,0.25,0.25,0.25,0.25,NA,NA
　　应收款项类投资,NA,NA,NA,NA,NA,NA,NA,NA,2623.49,5929.83
　　固定资产,NA,NA,145.41,133.97999999999999,150.68,260.33999999999997,372.11,457.01,644.75,668.13
　　无形资产,99.26,98.45,28.13,32.78,54.96,55.46,72.099999999999994,91.51,93.58,98.08
　　递延所得税资产,NA,NA,NA,NA,2.64,49.66,110.87,199,248.13,324.95
　　其他资产,NA,NA,56.24,67.900000000000006,148.27000000000001,162.38999999999999,192.11,203.35,264.58999999999997,271.20999999999998
资产总计,14219.17,18095.88,25215,33723.480000000003,48493.77,57191.82,70199.08,87711.03,102454.27,123399.65
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,1.55,31.58,1340,1184.58,81.84,2933.13,745.18,1149.26,665.54,33.549999999999997
　　向中央银行借款,NA,NA,NA,NA,30,350,125.29,180.07,506.88,204
　　拆入资金,NA,NA,NA,NA,NA,NA,NA,7.88,43.18,272.44
　　卖出回购金融资产款,NA,NA,NA,NA,NA,NA,1198,887,1942.08,988.8
　　吸收存款,NA,NA,21812.32,29646.97,43610.92,47420.639999999999,57913.37,73700.37,83295.28,101493.22
NA,NA,NA,23152.32,NA,NA,NA,NA,NA,NA,NA
　　应付职工薪酬,NA,NA,37.17,2.35,61.85,74.959999999999994,98.98,139.83000000000001,155.87,182.29
　　应交税费,79.290000000000006,105.83,89.6,101.23,131.6,178.9,245.59,378.99,313.02,256.89999999999998
　　应付利息,20.149999999999999,46.17,86.18,117.63,192.51,288.17,486.9,831.3,1368.83,2025.01
　　应付债券,NA,NA,NA,NA,600,600,2096.04,2097.54,4087.32,6444.9
　　递延所得税负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.04
　　其他负债,NA,NA,153.43,249.96,236.88,394.32,743.29,218.3,754.1,1044.32
　　负债合计,13470.4,17001.43,23518.69,31302.720000000001,44945.61,52240.13,63652.63,79590.53,93132.09,112950.47
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,300,300,900,900,1800,1800,1800,1800,1800,1800
　　资本公积金,2.09,2.09,2.09,2.09,2.09,2.09,1.9,0.91,NA,NA
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65
　　盈余公积金,101.21,135.77000000000001,147.52000000000001,219.96,328.74,460.02,599.28,752.07,900,900
　　未分配利润,280.06,550.28,486.45,1073.45,935.07,2045.96,3322.85,4521.3900000000003,4881.46,5451.86
　　一般风险准备,65.41,106.31,160.25,225.26,320.75,409.57,481.05,586.72,962.59,1405.18
　　归属于母公司所有者权益合计,748.77,1094.45,1696.31,2420.7600000000002,3386.65,4717.6400000000003,6205.08,7661.09,8544.0499999999993,9558.69
　　少数股东权益,NA,NA,NA,NA,161.51,234.06,341.37,459.41,778.12,890.5
　　所有者权益合计,748.77,1094.45,1696.31,2420.7600000000002,3548.16,4951.7,6546.45,8120.5,9322.17,10449.19
负债及股东权益总计,14219.17,18095.88,25215,33723.480000000003,48493.77,57191.82,70199.08,87711.03,102454.27,123399.65
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-06-26,2008-06-26,2012-08-16,2012-08-16,2012-08-16,2012-08-16,2013-05-03,2014-04-22,2015-04-29,2016-04-29
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
