...1,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,3923.7,6547.37,11269.67,15605.85,19333.599999999999
　　存放同业和其它金融机构款项,1958.96,3491.02,3309.33,11972.8,18640.150000000001
　　拆出资金,NA,90,147,140,390
　　交易性金融资产,NA,297.14,19.27,1282.93,12101.53
　　买入返售金融资产,1777.66,2065.96,11102.9,7131,17297.439999999999
　　应收利息,21.89,26.97,134.69,164.01,316.61
　　发放贷款及垫款,6783.32,12528.25,21253.29,33417.040000000001,46477.43
NA,NA,NA,NA,NA,46794.04
　　可供出售金融资产,200.15,260.93,0.15,1394.48,9047.85
　　持有至到期投资,433.2,1289.8,2225.41,774.57,1376.07
　　长期股权投资,171.15,276.89999999999998,379.96,NA,121.98
　　应收款项类投资,NA,NA,2866.68,6441.28,12487.55
　　固定资产,338.97,674.64,1001.92,1486.48,2038.1
　　无形资产,NA,0.99,1.94,44.29,39.090000000000003
　　商誉,NA,NA,833.14,859.19,1170.4000000000001
　　递延所得税资产,8.57,29.52,95.27,155.4,197.82
　　其他资产,382.37,957.08,572.52,985.63,917.71
资产总计,15999.93,28536.58,55213.14,81854.960000000006,141953.32999999999
负债：,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,141.91999999999999,892.7,4581.5,6511.83,1868.32
　　向中央银行借款,34.31,44.31,35.880000000000003,203.02,293.57
　　拆入资金,2.5,2.5,8.57,594.63,52.5
　　卖出回购金融资产款,NA,944,7365.71,4677.6000000000004,23063.5
　　吸收存款,13924.01,22633.81,36620.61,59771.65,93302.78
NA,NA,NA,NA,71758.73000000001,118580.67
　　应付职工薪酬,8.9600000000000009,17.12,60.17,111.42,139.97
　　应交税费,49.92,64.36,192.01,196.13,348.9
　　应付利息,143.54,314.49,657.16,1020.22,1429.9
　　应付债券,NA,697,697.3,697.6,9074.18
　　递延所得税负债,NA,0,NA,4.33,NA
　　其他负债,168.64,254.57,271.77999999999997,236.91,522.52
　　负债合计,14473.8,25864.85,50490.69,74025.350000000006,130096.13
所有者权益(或股东权益)：,NA,NA,NA,NA,NA
　　股本,870.5,1481.98,1950.06,2406.0700000000002,3294.8
　　资本公积金,275.68,627.41,1313.9,1682.86,3309.13
　　其它综合收益,NA,NA,NA,0.87,76.98
　　盈余公积金,69.62,111.64,146.59,234.01,354.74
　　未分配利润,138.59,203.54,440.8,930.79,1087.3599999999999
　　一般风险准备,171.74,247.15,279.13,477.04,1025.28
　　归属于母公司所有者权益合计,1526.13,2671.73,4130.4799999999996,5731.63,9148.2999999999993
　　少数股东权益,NA,NA,591.97,2097.98,2708.9
　　所有者权益合计,1526.13,2671.73,4722.45,7829.61,11857.2
负债及股东权益总计,15999.93,28536.58,55213.14,81854.960000000006,141953.32999999999
显示币种,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2015-04-03,2015-04-03,2015-04-03,2015-04-03,2016-04-29
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA
