...1,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,9729.6,15003.37,16813.46,23742.28,32594.86,36912.639999999999,42099.95,46336.15,45456.25
　　存放同业和其它金融机构款项,17.559999999999999,514.85,225.55,747.82,7170.3,13896,6440.41,5102.25,9587.24
　　贵金属,NA,NA,4.28,6.94,6.94,6.94,6.94,6.94,6.94
　　拆出资金,80.22,0.42,0.2,0.2,NA,1107.26,1636.58,1385.15,310.04000000000002
　　交易性金融资产,1086.08,4624.47,8307.1200000000008,2817.04,4441.1000000000004,2967.99,2067.11,2320.33,2597.77
　　买入返售金融资产,1913.97,3911.21,344.05,17162.36,14876.25,16323.59,4724.3,3404.91,13942.35
　　应收利息,96.41,128.06,351.28,510.66,794.62,925.24,869.58,1007.48,1600.98
NA,NA,NA,NA,NA,NA,NA,NA,138371.04,156283.74000000002
　　发放贷款及垫款,32122.95,45782.46,62658.71,77405.3,92201.600000000006,107627.53,121643.47,137363.56,154682.76
　　可供出售金融资产,600.70000000000005,3701.47,5964.17,9829.65,10551.7,18997.939999999999,61045.97,67131.39,112695.09
　　持有至到期投资,1478.66,1645.68,3838.57,5611.4,11457.56,10034.09,9446.65,7365.58,8304.57
　　长期股权投资,20.88,21.33,23.25,73.7,375.22,391.85,491.96,460.56,NA
　　固定资产,1327.19,1914.84,1956.23,2241.35,2650.52,3000.73,2939.45,2986.32,3071.97
　　无形资产,2920.83,5194.6899999999996,5098.05,5001.75,4906.3500000000004,4810.62,5045.99,3988.25,360.35
　　递延所得税资产,357.78,556.83000000000004,506.7,579.17999999999995,823.79,1098.0899999999999,1242.43,1315.63,1316.64
　　投资性房地产,234.76,229.96,236.89,235.79,244.15,265.69,257.27999999999997,261.18,256.12
　　其他资产,356.19,1016.12,10.55,22.72,1323.96,52.86,54.82,55.63,3344.55
资产差额(特殊报表科目),1046,1418.78,1798.98,2092.44,2009.12,2338.1799999999998,2229.9499999999998,3291.89,NA
资产总计,53389.79,85664.55,108138.05,148080.56,186428.03,220757.26,262242.84000000003,283783.2,357533.63
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA
