...1,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,2374.19,3575.01,6083.8,9139.31,11951.18,23413.22,30935.73,51858.51,51552.09,53871.040000000001,54566.09
　　存放同业和其它金融机构款项,214.01,227.02,376.44,2233.86,8147.72,9447.94,15407.04,17058.310000000001,29471.19,24733.49,30035.06
　　拆出资金,NA,NA,NA,NA,NA,310,500,2888.5,4400,3473.75,NA
　　交易性金融资产,NA,NA,NA,115.72,2776.96,5318.63,4780.8100000000004,7878.96,2512.2600000000002,1912.55,2840.04
　　衍生金融资产,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.29
　　买入返售金融资产,NA,NA,NA,9696.26,8741.65,17863.46,49973.57,51745.65,51110.95,37267.47,51027.89
　　应收利息,NA,NA,442.25,543.80999999999995,644.57000000000005,817.41,1788.24,2075.61,1893.1,2414.0500000000002,NA
　　发放贷款及垫款,NA,NA,NA,32979.279999999999,42844.58,53200.49,63973.03,85298.08,103515.01,121014.26,145061.51999999999
NA,NA,NA,NA,33523.089999999997,43489.15,54017.9,65761.27,87373.69,105408.11,123428.31,NA
　　可供出售金融资产,NA,NA,NA,18.87,6,2838.34,5326.54,8244.2999999999993,7914.11,15934.6,NA
　　持有至到期投资,NA,NA,NA,5878.62,5949.1,5862.04,12286.78,12323.53,17080.810000000001,19655.689999999999,NA
　　长期股权投资,NA,NA,NA,24.84,24.84,24.84,1026.52,1017.01,963.96,1045.49,NA
　　应收款项类投资,NA,NA,NA,813.27,1008.77,4205.58,13635.51,22733.33,43528.67,49144.61,NA
　　固定资产,430.6,434.56,463.02,701.12,919.66,1621.64,3427.52,2397.33,2816.19,3449.98,8735.4599999999991
　　无形资产,4,4.84,11.72,13.68,27.92,29.33,35.6,71.680000000000007,54.35,79.540000000000006,NA
　　递延所得税资产,NA,NA,NA,93.18,63.38,93.2,190.17,258.31,333.86,460.37,649.44000000000005
　　其他资产,NA,650.49,NA,1063.54,1499.49,2123.9699999999998,352.31,4241.04,5028.88,5024.29,4171.84
资产差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA,NA,4160.43,147744.63
资产总计,30796.89,43705.13,52193,63315.38,84605.8,127170.08,203639.4,270090.15000000002,322175.44,343641.62,444851.27
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,1812.02,2993.37,3246.22,1765.99,3091.23,2651.89,15003.67,32861.980000000003,49879.74,54611.54,NA
　　向中央银行借款,NA,NA,NA,16.420000000000002,NA,NA,174.76,594.86,787.2,1716.91,764.25
　　拆入资金,NA,NA,NA,2.34,2.34,2.34,2.34,2204.8200000000002,679.62,3412.3,NA
　　衍生金融负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,23.91
　　卖出回购金融资产款,1300.42,5219.0200000000004,5706.59,3717.14,0.14000000000000001,2871.73,27972.52,22832.65,19091.169999999998,6002.52,12145
　　吸收存款,NA,NA,NA,53079.519999999997,74996.89,112891.63,145962.43,188099.14,224229.63,233793.79,306817.67
NA,NA,NA,NA,58581.409999999996,78090.600000000006,118417.59000000001,189115.72,246593.45,294667.36,NA,NA
　　应付职工薪酬,0.56999999999999995,0.95,0.86,15.43,23.76,29.03,238.72,336.14,420.78,453.84,NA
　　应交税费,20.11,NA,71.22,287.3,-25.74,181.34,306.72000000000003,448.81,452.16,709.97,507.73
　　应付利息,NA,NA,163.79,268.25,299.26,396.88,1014.42,1601.19,2493.21,3485.07,NA
　　应付债券,NA,NA,NA,NA,1000,1000,1000,3500,3500,4498.1899999999996,23269.88
　　递延所得税负债,NA,NA,NA,0.16,2.2000000000000002,0.93,23.16,NA,NA,NA,NA
　　其他负债,NA,NA,NA,985.94,1335.14,1900.34,410.28,673.59,714.64,1394.26,7308.01
　　负债差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA,NA,3400,60166.86
　　负债合计,29917.13,41694.800000000003,49798.47,60138.5,80725.22,121926.1,192109.03,253153.17,302248.15000000002,313479,411003.31
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,572.32000000000005,1615.64,1615.64,1615.64,2100.33,2100.33,6187.82,7560.2,8246.9,10995.6,10995.6
　　资本公积金,4.09,4.09,4.09,0.98,1.74,-23.92,2267.11,4222.1000000000004,4220.3500000000004,7637.33,NA
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,-16.649999999999999,-230.77,17.559999999999999,NA
　　盈余公积金,240.46,296.86,202.06,293.52999999999997,373.55,504.8,675.91,869.69,1190.02,1547.37,NA
　　未分配利润,72.25,103.1,194.83,864.83,839.08,1898.67,1304.46,3179.09,4030.71,5487.06,8183.05
　　一般风险准备,NA,NA,377.9,401.89,565.88,694.54,950.33,950.33,2270.34,3845.36,NA
　　归属于母公司所有者权益合计,889.13,2019.69,2394.52,3176.88,3880.58,5174.43,11385.62,16764.740000000002,19727.54,29530.28,33099.599999999999
　　少数股东权益,NA,NA,NA,NA,NA,69.55,144.75,172.24,199.75,632.35,748.36
　　所有者权益合计,889.13,2019.69,2394.52,3176.88,3880.58,5243.98,11530.37,16936.98,19927.29,30162.62,33847.96
负债及股东权益总计,30796.89,43705.13,52193,63315.38,84605.8,127170.08,203639.4,270090.15000000002,322175.44,343641.62,444851.27
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2009-12-01,2009-12-01,2009-12-01,2009-12-01,2010-04-28,2011-04-20,2012-04-24,2015-11-13,2015-11-13,2015-11-13,2016-03-22
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
