...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,1265.99,1737.21,2042.14,2219.7399999999998,4204.8,4948.16,6389.7,7261.35,7237.42,6455.52
　　存放同业和其它金融机构款项,848.56,1118.46,826.35,534.61,142.86000000000001,438.33,1102.44,556.54999999999995,1009.81,739.25
　　拆出资金,NA,NA,NA,NA,NA,215,244.86,135.6,NA,NA
　　交易性金融资产,NA,NA,NA,107.07,NA,NA,NA,NA,40.409999999999997,1952.59
　　买入返售金融资产,NA,NA,NA,NA,503.25,962.25,102.6,286.52,637.53,417.73
　　应收利息,NA,NA,0.4,85.15,89.97,145.79,172.65,218.52,230.71,213.34
　　发放贷款及垫款,NA,NA,8755.7000000000007,10973.99,13566.33,16659.47,19562.72,22426.78,23205.64,25342.13
NA,NA,NA,8756.1,11059.14,13656.3,16805.260000000002,19735.370000000003,22645.3,23436.35,25555.47
　　可供出售金融资产,NA,NA,30,1110.97,149.96,1685.46,2120.5100000000002,2172.33,3034.04,8015.87
　　持有至到期投资,NA,NA,1671.81,2265.7600000000002,3665.74,2533.4299999999998,2632.57,2957.12,2856.72,2698.43
　　长期股权投资,NA,NA,NA,NA,0.25,58.08,61.46,0.25,NA,NA
　　应收款项类投资,NA,NA,NA,NA,NA,NA,200,970,1524.89,3421.19
　　固定资产,NA,NA,156.02000000000001,166.88,173.17,190.19,217.23,230.81,252.5,254.33
　　无形资产,7.06,6.85,6.65,6.45,60.74,58.95,56.1,53.54,55.22,51.41
　　递延所得税资产,NA,NA,61.47,44.49,67.709999999999994,111.7,139.35,156.25,227.98,147.63999999999999
　　其他资产,NA,NA,554.72,305.43,456.65,765.35,215.54,477.33,420.59,348.74
资产差额(合计平衡项目),NA,NA,NA,0,NA,NA,NA,NA,NA,NA
资产总计,9138.08,11770.04,14105.27,17820.54,23081.42,28772.17,33217.730000000003,37902.949999999997,40733.449999999997,50058.16
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,5.28,0.14000000000000001,0.39,0.27,148.75,34.1,653.32000000000005,958.97,1777.49,7659.2
　　向中央银行借款,NA,NA,NA,NA,NA,NA,NA,325,25,50
　　拆入资金,NA,NA,NA,NA,NA,NA,427.34,34.049999999999997,100,NA
　　交易性金融负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,253.03
　　卖出回购金融资产款,NA,NA,NA,NA,NA,1307.6199999999999,500,419.5,1927.5,1255.5
　　吸收存款,NA,NA,12638.59,15943.57,20000.27,24205.17,27937.22,32130.95,31884.22,33804.33
NA,NA,NA,12638.98,15943.84,20149.02,25546.89,29517.88,33868.47,35714.21,43022.06
　　应付职工薪酬,NA,NA,49.52,49.75,67.8,144.84,163.02000000000001,151.28,171.26,239.23
　　应交税费,43.24,NA,84.93,59.17,105.12,132.22999999999999,157.9,32.49,71.72,-34.409999999999997
　　应付利息,NA,NA,200.84,201.92,202.04,232.67,356.74,574.64,678.99,870.64
　　应付债券,NA,NA,NA,350,350,349.7,349.82,349.93,999.05,2582.63
　　递延所得税负债,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA
　　其他负债,NA,NA,192.64,148.52000000000001,911.45,69.5,76.959999999999994,100.89,88.37,88.44
　　负债合计,8610.83,10929.21,13166.91,16753.29,21785.42,26475.84,30622.31,35077.699999999997,37723.599999999999,46768.59
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,375,525,525,525,525,1015.27,1015.27,1015.27,1015.27,1421.38
　　资本公积金,78.180000000000007,138.18,138.18,116.46,138.18,403.41,436.07,380.45,419.56,13.45
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,31.2,96.82
　　盈余公积金,25.04,38.07,67.78,80.47,100.78,187.53,243.99,293.44,320.5,345.97
　　未分配利润,49.03,59.08,126.9,247.19,395.91,527.12,685.53,682.79,703.82,825.35
　　一般风险准备,NA,80.5,80.5,98.13,136.13,163,214.57,351.32,418.28,473.35
　　归属于母公司所有者权益合计,527.25,840.83,938.36,1067.25,1296,2296.33,2595.4299999999998,2723.28,2908.64,3176.34
　　少数股东权益,NA,NA,NA,NA,NA,NA,NA,101.96,101.21,113.24
　　所有者权益合计,527.25,840.83,938.36,1067.25,1296,2296.33,2595.4299999999998,2825.25,3009.85,3289.58
负债及股东权益总计,9138.08,11770.04,14105.27,17820.54,23081.42,28772.17,33217.730000000003,37902.949999999997,40733.449999999997,50058.16
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-04-25,2008-04-25,2009-05-23,2010-05-20,2011-06-16,2012-05-25,2013-08-13,2014-10-31,2015-04-21,2016-04-29
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
