...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,1685.24,3684.7,4225.6499999999996,5060.41,5480.44,5995.02,10880.17,10892.27,7900.21
　　存放同业和其它金融机构款项,753,257.83999999999997,1489.26,1054.53,1567.24,3193.48,116.54,141.36000000000001,1210.2
　　拆出资金,NA,NA,33.700000000000003,33.700000000000003,33.700000000000003,33.700000000000003,NA,NA,NA
　　买入返售金融资产,NA,NA,NA,1077.55,NA,NA,NA,NA,NA
　　应收利息,NA,NA,NA,67.33,66.61,34.94,48.15,46.69,91.75
　　发放贷款及垫款,NA,5302.55,5309.33,6308.53,7335.86,8332.3700000000008,9730.24,11465.77,13096.36
NA,NA,NA,5309.33,6375.86,NA,NA,NA,NA,NA
　　可供出售金融资产,NA,NA,NA,1287.82,874.27,775.18,689.45,847.24,1383.07
　　持有至到期投资,NA,NA,NA,500,500,NA,NA,NA,NA
　　长期股权投资,NA,1994.08,2077.48,25.25,25.25,25.25,25.25,25.25,NA
　　应收款项类投资,NA,NA,NA,NA,NA,NA,3421.7,3285,NA
　　固定资产,NA,207.37,205.14,201.16,217.25,238.82,91.63,133.47,181.31
　　无形资产,1.93,1.64,2.61,1.06,1.19,1.86,4.12,2.2999999999999998,3.22
　　递延所得税资产,NA,NA,NA,0.35,3.53,3.09,152.91,159.58000000000001,160.41
　　其他资产,NA,23.4,17.43,1380.59,3745.28,3597.72,481.58,470.27,4040.72
资产差额(特殊报表科目),NA,21.09,600.38,NA,NA,NA,NA,NA,NA
资产总计,11057.87,11492.67,13960.98,16998.259999999998,19850.63,22231.439999999999,25641.73,27469.19,28067.24
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,140.35,4.88,429.39,405.74,405.06,404.77,403.99,403.77,NA
　　卖出回购金融资产款,1476.2,NA,NA,NA,NA,NA,NA,NA,NA
　　吸收存款,NA,10683.77,12664.43,15741.31,18447.68,20741.03,23797.15,25312.66,25954.68
NA,NA,NA,13093.82,16147.05,NA,NA,NA,NA,NA
　　应付职工薪酬,NA,0.11,0.05,0.47,7.0000000000000007E-2,0.04,14.35,15.09,0
　　应交税费,5.12,17.39,17.16,7.11,24.47,8.49,16.989999999999998,1.35,10.96
　　应付利息,NA,NA,NA,155.22,178.74,259.5,392.45,556.24,689.78
　　递延所得税负债,NA,NA,NA,NA,NA,NA,NA,NA,4.49
　　其他负债,NA,NA,1.24,39.049999999999997,26.35,39,32.950000000000003,52.59,42.65
　　负债差额(特殊报表科目),NA,154.43,211.75,NA,NA,NA,NA,NA,NA
　　负债合计,10863.97,10860.58,13324.03,16348.89,19082.37,21452.82,24657.88,26341.69,26717.919999999998
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,164.29,564.29,564.29,564.29,649.04,649.04,649.04,649.04,649.04
　　资本公积金,0.89,0.89,0.89,-0.17,5.54,6.86,14.68,-1.62,16.14
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,13.47
　　盈余公积金,32.369999999999997,39.270000000000003,43.63,49.71,59.87,67.510000000000005,81.23,106.21,147.26
　　未分配利润,-3.64,27.63,28.14,35.54,53.82,45.21,78.900000000000006,213.87,280.01
　　一般风险准备,NA,NA,NA,NA,NA,10,160,160,243.4
　　归属于母公司所有者权益合计,193.9,632.08000000000004,636.95000000000005,649.37,768.26,778.61,983.85,1127.5,1349.32
　　所有者权益合计,193.9,632.08000000000004,636.95000000000005,649.37,768.26,778.61,983.85,1127.5,1349.32
负债及股东权益总计,11057.87,11492.67,13960.98,16998.259999999998,19850.63,22231.439999999999,25641.73,27469.19,28067.24
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,NA,NA,NA,NA,NA,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-05-24,2008-05-24,2009-07-03,2010-08-06,2011-08-25,2012-08-29,2013-08-20,2014-07-02,2015-06-03
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA
