...1,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,NA,3927.41,6603.25,7900.21,8936.52,13907.36,13501.77,14286.09
　　存放同业和其它金融机构款项,NA,1236.57,727.4,713.71,873.14,3061.02,3539.95,22415.09
　　贵金属,NA,NA,NA,NA,NA,NA,NA,NA
　　拆出资金,NA,NA,NA,680,NA,NA,1610,1200
　　交易性金融资产,NA,2046.51,2393.96,3273.39,2080.8200000000002,2963.49,2347.5,319.54000000000002
　　衍生金融资产,NA,NA,NA,NA,NA,NA,NA,NA
　　买入返售金融资产,NA,NA,450,1024.4000000000001,NA,4420,4203.09,300
　　应收利息,NA,132.27000000000001,186.88,209.06,248.79,366.71,320.64999999999998,352.63
　　发放贷款及垫款,NA,18989.080000000002,23015.8,27704.21,31411.98,38684.74,44434.01,53385.46
NA,NA,19121.350000000002,23202.68,27913.27,31660.77,39051.449999999997,44754.66,53738.09
　　代理业务资产,NA,NA,NA,NA,NA,NA,NA,NA
　　可供出售金融资产,NA,2545.4499999999998,3819.51,2737.54,1606.16,1592.9,996.51,916.58
　　持有至到期投资,NA,3159.61,2910.47,2580.71,6732.4,6587.19,10268.06,8896.3700000000008
　　长期股权投资,NA,NA,50,50,50,105,NA,NA
　　应收款项类投资,NA,NA,NA,NA,6207.44,15249.13,15349.44,26568.55
　　固定资产,NA,382.79,404.25,373.95,493.21,548.69000000000005,544.37,663.51
　　无形资产,NA,7.52,8.7799999999999994,14.92,13.75,12.09,16.559999999999999,18.09
　　商誉,NA,NA,NA,NA,NA,NA,NA,NA
　　递延所得税资产,NA,60.7,128.88999999999999,141.77000000000001,175.37,297.14,368.34,452.01
　　投资性房地产,NA,NA,NA,NA,NA,NA,NA,NA
　　其他资产,NA,0,0,51.4,52.67,7.07,660.83,142.91
资产差额(特殊报表科目),NA,127.93,106.15,122.86,138.79,139.38999999999999,NA,NA
资产差额(合计平衡项目),NA,NA,NA,NA,0,NA,NA,NA
资产总计,21493.01,32615.82,40805.339999999997,47578.13,59021.02,87941.92,98161.09,129916.83
负债：,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,NA,203.19,148.53,2651.78,1992.15,14555.36,13370.5,31079.59
　　向中央银行借款,NA,NA,80,80,90,170,250,1085.5
　　拆入资金,NA,NA,NA,70,500,110,960.19,900
　　交易性金融负债,NA,NA,NA,NA,NA,NA,NA,NA
　　衍生金融负债,NA,NA,NA,NA,NA,NA,NA,NA
　　卖出回购金融资产款,NA,1220,NA,NA,1818,3570.3,7074.99,2353.6
　　吸收存款,NA,27266.799999999999,35250.57,38682.639999999999,45772.3,57054.46,62453.9,75169.8
NA,NA,28689.989999999998,35479.1,41484.42,50172.450000000004,75460.12,84109.58,110588.48999999999
　　应付职工薪酬,NA,92.24,125.88,101.6,99.62,163.52000000000001,144.26,143.84
　　应交税费,NA,17.47,126.58,78.44,74.569999999999993,184.07,121.43,211.19
　　应付利息,NA,206.96,259.44,362.4,624.92999999999995,856.29,1338.47,1807.47
　　代理业务负债,NA,NA,NA,NA,NA,NA,NA,NA
　　应付债券,NA,NA,NA,NA,NA,2500,4000,5500
　　递延所得税负债,NA,6.67,NA,5.63,5.36,NA,1.41,4.99
　　预计负债,NA,NA,NA,NA,NA,NA,NA,NA
　　其他负债,NA,39.869999999999997,69.52,74.78,1739.91,1700,835.87,992.37
　　负债差额(特殊报表科目),NA,89.1,90.12,129.13,151.41,264.36,112.07,0.1
　　负债差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA
　　负债合计,NA,29142.28,36150.65,42236.4,52868.25,81128.36,90663.1,119248.46
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,NA,2821.08,3796.28,4046.28,4447.59,4447.59,4447.59,5460.2
　　其它权益工具,NA,NA,NA,NA,NA,NA,NA,NA
　　　　其它权益工具：优先股,NA,NA,NA,NA,NA,NA,NA,NA
　　资本公积金,NA,13.61,-31.1,14.68,2.8,-54.36,3.09,1337.1
　　减：库存股,NA,NA,NA,NA,NA,NA,NA,NA
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA
　　盈余公积金,NA,106.67,155.75,216.65,282.77,368.69,445.97,526.26
　　未分配利润,NA,153.09,324.44,507.72,676.74,1011.64,715.87,1437.31
　　一般风险准备,NA,332.45,354.83,437.51,484.12,752.54,1348.82,1372.56
　　外币报表折算差额,NA,NA,NA,NA,NA,NA,NA,NA
　　未确认的投资损失,NA,NA,NA,NA,NA,NA,NA,NA
　　股东权益差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA
　　股权权益差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA
