...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,9713.92,15207.63,18057.14,24312.240000000002,33647.89,41823.26,47558.080000000002,56774.01,62689.2,62107.21
　　存放同业和其它金融机构款项,379.5,474.72,1171,3134.52,14765.4,12434.18,37025.03,16453.009999999998,31685,30817.89
　　拆出资金,NA,NA,310,2266.52,3182.41,8111.48,2391.8000000000002,3803.62,9574.69,13421.17
　　交易性金融资产,NA,NA,7388.35,7912.9,8061.23,5445.78,5448.99,4764.3500000000004,7512.18,5952.09
　　买入返售金融资产,NA,NA,5444.91,5324.2,5758.7,4043.3,9582.07,71893.179999999993,80050.67,70328.37
　　应收利息,NA,NA,833.46,814.41,897.45,1150.56,1088.3900000000001,1413.42,2233.39,NA
　　发放贷款及垫款,NA,NA,48153.15,61793.23,75764.259999999995,92938.72,118767.29,144139.04,166461.32999999999,179570.91
　　可供出售金融资产,NA,NA,29989.72,28093.08,18849.240000000002,16106.64,11356.14,13482.37,13575.52,17864.41
　　持有至到期投资,NA,NA,8226.92,11914.89,25258.3,25095.74,22607.439999999999,21360.61,26233.88,31683.99
　　长期股权投资,NA,NA,8.6,8.6,58.6,58.6,58.6,58.6,NA,NA
　　应收款项类投资,NA,NA,1840.76,2277.41,15486.62,25885.29,44003.7,68389.48,76078.63,147958.62
　　固定资产,NA,NA,1209.04,853.51,1052.1500000000001,1159.9100000000001,1324.09,1520.67,1532.85,1739.65
　　无形资产,0.39,7.65,NA,NA,NA,29.44,56.98,63.42,65.75,NA
　　递延所得税资产,NA,NA,45.57,418.63,714.49,722.2,919.82,1029.1600000000001,915.72,1144.44
　　投资性房地产,NA,NA,NA,NA,110.39,170.42,NA,NA,NA,NA
　　其他资产,NA,12.6,156.51,545.79999999999995,242.62,184.47,157.6,542.09,250.26,3078.98
资产总计,81163.66,102711.53,122835.13,149669.95000000001,203849.76,235359.98,302346.02,405687.01,478859.08,565667.73
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,353.7,705.39,65.97,84.12,7750.31,26247.97,47043.75,110363.74,122321.75,148732.65
　　向中央银行借款,NA,NA,NA,NA,NA,56.63,160,350,405.91,237.36
　　拆入资金,NA,NA,8200.2199999999993,6988.28,11176.35,11309.38,11071.22,5477.46,10905.08,4283.63
　　卖出回购金融资产款,NA,NA,4516,1692.8,14985.4,13233.03,16749.3,11080.7,13856,14557.25
　　吸收存款,NA,NA,99810.76,128334.98,153451.73000000001,164724.64000000001,201316.2,246213.86,283413.62,334691.03000000003
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,502501.92000000004
　　应付职工薪酬,NA,NA,356.5,265.27999999999997,221.86,260.57,296.94,361.44,424.3,NA
　　应交税费,NA,144.33000000000001,227.98,227.61,259.87,388.82,385.71,466.17,680.64,701.1
　　应付利息,NA,NA,1005.16,851.52,951.38,1750.52,2329.3200000000002,4544.41,6165.13,NA
　　应付债券,NA,NA,NA,1496.83,1516.26,1536.99,4259.1099999999997,4279.2700000000004,2697.11,13903.77
　　预计负债,NA,NA,141.57,225.28,434.3,359.92,366.24,481.17,580.57000000000005,NA
　　其他负债,NA,NA,503.73,1176.6600000000001,2189.02,1169.74,1608.44,2619.3200000000002,8519.0300000000007,15313.24
　　负债合计,76034.149999999994,97170.57,114827.89,141343.35999999999,192936.5,221038.22,285586.25,386237.54,449969.14,532420.03
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,2478.13,2478.13,2725.94,2725.94,3248.93,3768.39,4123.2700000000004,4123.2700000000004,5126.05,5126.05
　　资本公积金,979.54,979.54,1711.45,993.55,1326.26,2096.41,1730.05,1384.31,5990.76,5990.76
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,29.25,NA
　　盈余公积金,1181.71,1321.6,795.76,926.57,1098.8499999999999,1310.75,1573.96,1914.62,2356.35,2563.02
　　未分配利润,490.13,761.69,1753.26,2548.92,3993.65,5588.36,7710.7,8939.5,10290.030000000001,13358.2
　　一般风险准备,NA,NA,969.19,1079.19,1189.19,1499.05,1560.48,2872.52,4879.7299999999996,NA
　　股东权益差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA,NA,5985.62
　　归属于母公司所有者权益合计,5129.5,5540.96,7955.59,8274.17,10856.88,14262.96,16698.46,19234.21,28672.17,33023.65
　　少数股东权益,NA,NA,51.65,52.42,56.38,58.81,61.31,215.26,217.77,224.05
　　所有者权益合计,5129.5,5540.96,8007.24,8326.59,10913.26,14321.77,16759.77,19449.48,28889.94,33247.699999999997
负债及股东权益总计,81163.66,102711.53,122835.13,149669.95000000001,203849.76,235359.98,302346.02,405687.01,478859.08,565667.73
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,NA
原始报表,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2009-11-10,2008-07-01,2009-11-10,2010-04-29,2011-04-28,2012-04-19,2013-04-24,2014-04-21,2015-04-27,2016-03-15
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
