...1,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,119.05,77.92,84.78,1957.95,3636.55,5203.93,5533.39
　　存放同业和其它金融机构款项,1035.98,742,476.75,3765,2697.94,1244.04,1584.6
　　拆出资金,528.07000000000005,630.79,818.86,1523.95,1448.72,1744,1520.96
　　交易性金融资产,22.06,20.73,NA,176.15,855.07,1257.3599999999999,1088.47
　　买入返售金融资产,NA,NA,NA,142.5,1103.75,NA,329
　　应收利息,5.58,4.79,8.9600000000000009,64.290000000000006,344.62,404.13,366.3
　　发放贷款及垫款,414.76,660.43,389.11,2866.69,9719.74,15517.5,18516.689999999999
NA,420.34,665.21999999999991,398.07,2930.98,10064.36,15921.63,18882.989999999998
　　可供出售金融资产,NA,NA,NA,NA,346.02,1119.7,1126.08
　　持有至到期投资,NA,NA,NA,80.209999999999994,3117.26,2747.81,2649.73
　　应收款项类投资,NA,NA,NA,6779.7,14907,13987.36,16973.580000000002
　　固定资产,5.78,4.33,4.66,273.74,272.02,261.8,246.58
　　无形资产,1.05,1.1000000000000001,0.82,17.72,25.53,37.380000000000003,36.93
　　递延所得税资产,NA,NA,NA,22.24,12.15,61.39,161.15
　　其他资产,1.45,7.84,64.83,383.14,378.26,111.42,162.19999999999999
资产总计,2133.7800000000002,2149.9299999999998,1848.75,18053.27,38864.620000000003,43697.83,50295.67
负债：,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,5.0999999999999996,4.4400000000000004,19.41,7116.53,16655.63,12511.07,8216.9500000000007
　　向中央银行借款,NA,NA,NA,NA,NA,229.76,NA
　　拆入资金,NA,NA,NA,NA,150,250.64,712
　　卖出回购金融资产款,NA,NA,NA,NA,2035.2,1703.7,3372.51
　　吸收存款,1283.1099999999999,1196.1300000000001,1000.97,6004.44,14290.7,22812.13,27293.68
NA,1288.2099999999998,1200.5700000000002,1020.38,13120.97,33131.53,37507.300000000003,39595.14
　　应付职工薪酬,0.76,0.47,1.17,44.56,99.89,152.03,236.71
　　应交税费,1.99,4.26,4.04,1.04,17.420000000000002,74.23,55.36
　　应付利息,0.24,0.25,0.22,59.26,199.75,203.39,176.9
　　递延所得税负债,0.39,0.22,NA,NA,NA,14.41,29.08
　　预计负债,NA,NA,NA,NA,2.6,2.9,2.2999999999999998
　　其他负债,1.48,10.08,47.15,4127.58,17.899999999999999,29.3,56.6
　　负债差额(特殊报表科目),NA,NA,NA,NA,NA,NA,3973.6
　　负债差额(合计平衡项目),NA,NA,NA,NA,NA,0,NA
　　负债合计,1293.06,1215.8399999999999,1072.96,17353.419999999998,33469.089999999997,37983.57,44125.69
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA
　　股本,839.33,839.33,639.22,639.22,5220,5220,5220
　　资本公积金,NA,NA,119.65,120.74,109.83,112.18,111.43
　　其它综合收益,NA,NA,NA,NA,NA,33,52.07
　　盈余公积金,NA,NA,NA,NA,4.88,33.22,76.959999999999994
　　未分配利润,117.11,225.44,NA,-77.03,43.9,298.94,402.61
　　一般风险准备,19.79,20.34,16.920000000000002,16.920000000000002,16.920000000000002,16.920000000000002,306.92
　　外币报表折算差额,-196.13,-223.5,NA,NA,NA,NA,NA
　　股东权益差额(特殊报表科目),60.62,72.48,NA,NA,NA,NA,NA
　　归属于母公司所有者权益合计,840.72,934.09,775.8,699.85,5395.53,5714.26,6169.98
　　所有者权益合计,840.72,934.09,775.8,699.85,5395.53,5714.26,6169.98
负债及股东权益总计,2133.7800000000002,2149.9299999999998,1848.75,18053.27,38864.620000000003,43697.83,50295.67
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,NA,NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,NA,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2011-04-30,2011-04-30,2013-09-04,2013-09-04,2014-04-30,2015-07-06,2016-05-06
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA
