...1,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,4115.26,4507.75,7527.71,12375.87,13346.73,21106.69,31560.560000000001,41582.44,45493.81,62194.82,70953.94,66189.440000000002
　　存放同业和其它金融机构款项,902.88,1510.64,970.79,2390.64,6444.37,8818.77,7996.16,38932.78,33222.959999999999,38964.589999999997,30447.599999999999,14199.98
　　贵金属,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.159999999999997,NA,1540.47
　　拆出资金,14,7,NA,NA,880.17,536.54999999999995,300,1000,6667.51,548,2866.6,1381.14
　　交易性金融资产,NA,NA,NA,NA,1575.56,622.41,353.29,1980.19,1784.41,1178.9100000000001,8878.98,7039.89
　　衍生金融资产,NA,NA,NA,28.35,225.57,1029.47,2249.56,1687.63,3375.27,7193.45,1293.1400000000001,3537.56
　　买入返售金融资产,NA,NA,3337.54,4258.45,9718.4599999999991,8227.17,83021.55,3355.32,35712.11,39537.85,17079,10980.6
　　应收利息,155.09,174.51,251.16,345.47,427.81,477.1,599.39,1327.84,1552.77,2474.31,3015.05,2765.14
　　发放贷款及垫款,16961.07,19284.91,27762.61,36034.18,48466.38,80767.83,100194.45,120741.93,142564.63,167302.17000000001,204749.88,248399.11
NA,17116.16,19459.419999999998,28013.77,36379.65,48894.189999999995,81244.930000000008,100793.84,122069.76999999999,144117.4,NA,NA,NA
　　代理业务资产,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　可供出售金融资产,1360.15,2008.15,470.91,593.16,113.78,1814.76,4324.76,26518.21,57201.9,90355.46,120109.03,249257.94
　　持有至到期投资,9275.33,13447.63,13715.87,16633.47,14103,11735.11,9838.34,17555.34,16987.7,15949.96,16569.099999999999,32671.51
　　长期股权投资,8.25,8.25,8.25,8.25,13.25,13.25,13.25,NA,13.25,13.25,NA,NA
　　应收款项类投资,NA,NA,NA,NA,1000,25628,19316.54,2137.75,22306.41,36083.54,71554.84,71231.13
　　固定资产,502.73,529.48,572.84,673,835.96,926.72,1281.22,1365.96,2397.8200000000002,2392.0700000000002,3352.02,5018.3
　　无形资产,14.88,14.67,10.98,19.809999999999999,85.9,97.89,92.22,88.64,87.9,147.6,208.64,244.25
　　商誉,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　递延所得税资产,104.21,57.28,41.36,43.5,107.21,314.63,644.54999999999995,628.35,1225.1300000000001,867.71,769.25,751.25
　　投资性房地产,190.6,159.47999999999999,163.74,197.59,197.05,456.07,224.14,22.05,14.74,16.61,16.600000000000001,16.559999999999999
　　其他资产,633.54999999999995,719.61,1712.49,1909.04,5722,779.43,1264.3599999999999,1573.2,2928.27,2519.16,2248.9699999999998,1240.3800000000001
资产差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
资产差额(合计平衡项目),NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
资产总计,34238,42429.35,56546.23,75510.77,103263.19,163351.87,263274.33,260497.64,373536.59,467772.6,554112.62,716464.65
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,50.29,38.83,138.58000000000001,1688.84,594.02,18864.310000000001,7368.05,16175.46,44543.62,89986.91,86634.34,68632.509999999995
　　向中央银行借款,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,1700
　　拆入资金,NA,36.770000000000003,NA,702.17,133.05000000000001,9035.02,8805.39,11924.13,22203.24,13015,14071.98,20200.61
　　交易性金融负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1272.0999999999999,182.68
　　衍生金融负债,NA,NA,NA,27.35,152.27000000000001,1028.3499999999999,2246,1883.33,3357.49,7228.84,1303.49,3355.3
　　卖出回购金融资产款,2028.5,1600,5000,6989.87,10621.1,6952.57,72772.02,23067.79,55458.49,37139.83,28155.13,46497.69
　　吸收存款,29755.06,37521.24,46191.4,55514.04,76221.740000000005,110752.46,145827.98000000001,176736.66,207577.27,255278.33,306531.83,355685.63
NA,31833.850000000002,39196.839999999997,51329.98,64922.270000000004,87722.180000000008,146632.71000000002,237019.44,229787.37,333140.11,402848.91000000003,437968.87,NA
　　应付职工薪酬,35.11,111.17,129.09,120.97,120.97,121.37,284.01,423.91,624.03,1018.89,1098.77,1495.98
　　应交税费,17.239999999999998,150.25,88.94,114.29,151.93,270.22000000000003,360.34,655.1,599.69000000000005,683.91,795.13,899.81
　　应付利息,63.3,109.59,169.79,234.35,461.33,671.54,1107.08,1790.99,3055.74,4961.45,5587.63,6195.88
　　代理业务负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　应付债券,NA,NA,NA,NA,NA,4971.34,7467.9,7474.22,10474.15,18466.25,50655.39,144056.76999999999
　　递延所得税负债,17.899999999999999,17.07,21.01,47.83,88.97,314.93,592.44000000000005,471.07,839.24,0,3.87,6.12
　　预计负债,NA,NA,NA,NA,19.07,NA,NA,NA,NA,NA,NA,NA
　　其他负债,526.97,657.25,1611.25,2048.7399999999998,5893.76,627.77,566.49,1180.9000000000001,2686.66,14271.31,23809.25,22175.279999999999
　　负债差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,283.08
　　负债差额(合计平衡项目),0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　负债合计,32494.37,40242.18,53350.05,67488.45,94458.19,153609.88,247397.69,241783.57,351419.63,442250.71,519948.41,671367.33
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,1800,1800,2050,2500,2500,2500,2883.82,2883.82,2883.82,2883.82,3249.83,3899.79
　　其它权益工具,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4824.6899999999996
　　　　其它权益工具：优先股,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　资本公积金,-2.78,-0.02,336.91,3967.72,3918.67,3898.2,7827.05,7889.13,7889.13,7162.87,10598.2,9948.24
　　减：库存股,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,98.61,10.130000000000001,NA,309.13,1312.88
　　盈余公积金,25.82,84.7,147.91,243.02,376.19,521.94000000000005,754.14,1079.49,1486.3,1970.84,2531.96,3181.12
　　未分配利润,-79.41,302.49,590.39,1240.5999999999999,1620.97,2263.67,3440.57,5518.17,8347.65,10629.24,13347.26,16778.919999999998
　　一般风险准备,NA,NA,70.97,70.97,389.17,558.16999999999996,971.05,1244.8499999999999,1499.93,2859.91,4054.72,5055.8
　　外币报表折算差额,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　未确认的投资损失,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股东权益差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股权权益差额(合计平衡项目),0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　归属于母公司所有者权益合计,1743.63,2187.17,3196.18,8022.32,8805,9741.98,15876.64,18714.07,22116.959999999999,25506.69,34091.1,45001.45
　　少数股东权益,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,73.11,95.87
　　所有者权益合计,1743.63,2187.17,3196.18,8022.32,8805,9741.98,15876.64,18714.07,22116.959999999999,25521.89,34164.21,45097.32
负债及股东权益差额(特殊报表项目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
负债及股东权益差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
负债及股东权益总计,34238,42429.35,56546.23,75510.77,103263.19,163351.87,263274.33,260497.64,373536.59,467772.6,554112.62,716464.65
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
审计意见(境外),NA,NA,NA,标准无保留意见,标准无保留意见,标准无保留意见,NA,NA,NA,NA,NA,NA
原始报表,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2007-07-04,2007-07-04,2007-07-04,2008-04-23,2009-04-28,2010-02-26,2011-04-27,2012-04-26,2013-04-24,2014-04-26,2015-04-28,2016-04-26
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
