...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,1923.55,3861.66,4848.51,6997.85,9516.74,15046.74,16493.91,16980.57,20952.490000000002,19559.09
　　存放同业和其它金融机构款项,1107.3499999999999,364.37,485.85,601.07000000000005,1784.62,470.88,6737.16,6019.4,4536.88,1765.64
　　拆出资金,NA,NA,1864.38,894.66,1063.24,NA,NA,200,NA,300
　　交易性金融资产,NA,NA,1388.56,712.34,943.98,989.87,2556.4299999999998,5315.96,2836.25,2532.73
　　衍生金融资产,NA,NA,58.94,31.87,NA,NA,NA,NA,NA,NA
　　买入返售金融资产,NA,NA,3265.73,6992.48,11857.28,8739.4599999999991,14029.35,15662.61,18445.830000000002,3675.18
　　应收利息,NA,NA,116.47,175,208.45,314.2,368.66,514.1,640.55999999999995,972.51
　　发放贷款及垫款,NA,NA,19923.84,27617.16,35129.339999999997,41027.51,48564.67,57192.61,67231.37,76832.95
NA,NA,NA,20040.310000000001,27792.16,35337.789999999994,41341.71,48933.33,57706.71,67871.929999999993,77805.459999999992
　　可供出售金融资产,NA,NA,4542.99,6510.58,5192.22,8416.43,8217.94,8915.49,12896.33,13611.93
　　持有至到期投资,NA,NA,390.16,696.49,3055.55,5781.86,5356.78,5204.84,7747.33,17129.7
　　长期股权投资,NA,NA,12.05,18.350000000000001,27.26,35.35,40.11,48.61,45.8,175.68
　　应收款项类投资,NA,NA,1073.08,1209.6199999999999,1151.17,847.53,1307.04,3139.48,8084.67,14462.25
　　固定资产,NA,NA,469.96,556.38,608.26,620.25,910.09,956.71,1005.52,1974.09
　　无形资产,0.56999999999999995,0.56999999999999995,NA,23.43,30.32,25.57,28.37,35.520000000000003,40.32,56.05
　　商誉,NA,NA,19.829999999999998,19.829999999999998,19.829999999999998,19.829999999999998,19.829999999999998,19.829999999999998,19.829999999999998,19.829999999999998
　　递延所得税资产,NA,30.96,171.53,225.56,322.67,350.85,390.4,521.71,417.36,430.63
　　投资性房地产,NA,NA,NA,29.72,27.88,26.03,23.48,NA,NA,NA
　　其他资产,NA,NA,440.89,302.51,338.08,298.3,287.63,280.25,230.64,537.16
资产总计,29493.98,35911.46,39072.76,53614.9,71276.89,83010.66,105331.85,121007.67999999999,145131.18,154035.43
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,1237.53,802.31,4400.26,6240.84,7618.77,7972.49,14856.34,13260,16220.62,14626.45
　　向中央银行借款,NA,NA,NA,NA,120,580,290,NA,800,500
　　拆入资金,NA,NA,966.13,230.73,243.25,NA,2171.4299999999998,492.42,3932.55,943.9
　　卖出回购金融资产款,NA,NA,1848.63,3210.77,9150.4500000000007,6219.13,8693.08,14943.11,13970.48,3417.73
　　吸收存款,NA,NA,28317.94,39782.1,49528.99,61667.4,71874.12,83980.92,93130.76,104274.35
NA,NA,NA,35532.959999999999,49464.44,66661.459999999992,76439.02,97884.97,112676.45,128054.41,123762.43000000001
　　应付职工薪酬,NA,NA,108.51,180.96,262.52,235.71,223.05,201.08,208.28,226.88
　　应交税费,52.95,120.46,185.41,205.07,267.68,277.37,262.22000000000003,284.24,217.3,184.05
　　应付利息,NA,NA,125.1,127.7,188.66,292.7,508.31,675.59,982.84,1411.45
　　应付债券,NA,NA,NA,NA,NA,NA,NA,NA,2490.23,13518.14
　　递延所得税负债,NA,NA,15.1,0.71,NA,NA,NA,NA,NA,NA
　　预计负债,NA,NA,11.75,11.75,11.75,11.75,11.75,11.75,NA,NA
　　其他负债,NA,NA,156.66999999999999,452.2,356.24,197.12,253.44,222.5,252.03,857.39
　　负债合计,28117.15,33722.07,36135.5,50442.83,67748.320000000007,77453.679999999993,99143.73,114071.61,132205.07999999999,139960.32000000001
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,1000,1800,2399.94,2476.94,2476.94,3076.94,3076.94,3076.94,4749.9399999999996,4749.9399999999996
　　资本公积金,123.35,123.35,165.63,131.47999999999999,92.52,1028.79,1059.01,982.79,3975.66,3975.66
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,20.399999999999999,302.99
　　盈余公积金,133.53,151.03,26.45,52.84,104.25,280.88,524.13,695.5,982.84,1464.1
　　未分配利润,129.37,134.51,87.53,181.73,431.79,640.78,559.19000000000005,966.53,1529.84,1483.92
　　一般风险准备,NA,NA,233.49,304.83999999999997,396.27,498.75,932.89,1177.5999999999999,1509.79,1884.79
　　外币报表折算差额,-9.42,-19.5,NA,NA,NA,NA,NA,NA,NA,NA
　　股权权益差额(合计平衡项目),9.42,19.5,NA,NA,NA,NA,NA,NA,NA,NA
　　归属于母公司所有者权益合计,1386.25,2208.89,2913.04,3147.82,3501.76,5526.15,6152.15,6899.36,12768.48,13861.41
　　少数股东权益,NA,NA,24.22,24.25,26.82,30.84,35.96,36.71,157.62,213.71
　　所有者权益合计,1386.25,2208.89,2937.26,3172.07,3528.57,5556.98,6188.12,6936.07,12926.09,14075.11
负债及股东权益差额(合计平衡项目),-9.42,-19.5,NA,NA,NA,NA,NA,NA,NA,NA
负债及股东权益总计,29493.98,35911.46,39072.76,53614.9,71276.89,83010.66,105331.85,121007.67999999999,145131.18,154035.43
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,NA,NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-08-28,2008-08-28,2009-06-30,2010-05-13,2011-04-29,2012-04-28,2013-04-30,2014-04-29,2015-04-27,2016-04-28
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
