...1,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31
报告期,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,3221.58,4838.24,5254.51,6983.12,6704.83
　　存放同业和其它金融机构款项,4627.71,3219.87,1781.06,4584.1899999999996,4656.92
　　拆出资金,60,60,60,NA,300
　　交易性金融资产,104.16,1614.71,2913.55,1207.55,16964.669999999998
　　买入返售金融资产,14812.66,6819.81,7047.18,5767.57,1845
　　应收利息,88.65,131.55000000000001,223.66,289.27,275.20999999999998
　　发放贷款及垫款,15369.87,15545.55,18825.53,21056.63,23405.57
　　可供出售金融资产,NA,166.62,NA,NA,0.49
　　持有至到期投资,2791.97,3968.08,4335.6400000000003,8092.35,5049.16
　　长期股权投资,0.49,0.49,55.49,55.49,175.89
　　应收款项类投资,NA,NA,143.16,3910.83,1412.71
　　固定资产,428.91,634.65,760.54,847.22,1070.08
　　无形资产,72.34,71.14,72.209999999999994,69.83,70.8
　　递延所得税资产,117.18,190.93,62.77,40.090000000000003,63.29
　　其他资产,872.51,532.99,159.43,722.78,812.95
资产总计,42568.03,37794.620000000003,41694.75,53626.91,62807.59
负债：,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,6648.49,5245.85,5160.21,9325.5,15923.35
　　向中央银行借款,NA,NA,30,NA,545
　　拆入资金,1800,NA,NA,NA,NA
　　交易性金融负债,NA,NA,NA,NA,1145.28
　　卖出回购金融资产款,8762.0499999999993,5323.19,5650.56,7516.5,3814.3
　　吸收存款,21485.4,23505.22,26779.4,30976.080000000002,34577.18
　　应付职工薪酬,120.49,174.99,149.25,143.13,180.69
　　应交税费,72.2,204.61,87.23,85.44,52.38
　　应付利息,228.22,325.33,494.12,747.85,938.2
　　应付债券,NA,NA,NA,NA,700
　　递延所得税负债,55.89,53.09,51.16,49.4,105.35
　　其他负债,1810.63,898.62,1002.28,789.89,419.56
　　负债合计,40983.379999999997,35730.910000000003,39404.21,49633.8,58401.29
所有者权益(或股东权益)：,NA,NA,NA,NA,NA
　　股本,1550,1550,1550,2350,2350
　　资本公积金,NA,-1.56,NA,200,200
　　盈余公积金,NA,36.04,79.790000000000006,142.88999999999999,205.58
　　未分配利润,11.2,310.05,307.63,395.6,362.07
　　一般风险准备,23.45,48.98,167.75,337.95,545.89
　　归属于母公司所有者权益合计,1584.65,1943.51,2105.16,3426.44,3663.54
　　少数股东权益,NA,120.21,185.38,566.67999999999995,742.76
　　所有者权益合计,1584.65,2063.7199999999998,2290.54,3993.12,4406.3
负债及股东权益总计,42568.03,37794.620000000003,41694.75,53626.91,62807.59
显示币种,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,带强调事项段的无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2014-09-18,2014-09-18,2014-09-18,2014-09-18,2015-04-30
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA
