...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,2562.38,4067.91,4340.25,6621.58,8505.68,10757.84,13817.43,14501.02,14650.25,12219.11
　　存放同业和其它金融机构款项,1363.68,904.61,1600.74,2530.5500000000002,3306.6,13534.32,5842.72,3879.13,4667.17,3068.84
　　　　拆出资金,NA,NA,NA,NA,NA,NA,NA,100,1000,990
　　交易性金融资产,110.81,408.88,685.39,1581.64,564.9,1195.25,675.83,2372.56,1587.66,1239.21
　　买入返售金融资产,1389.83,720.29,823.12,NA,3315.27,2453.13,4234.51,3697.62,4301.3999999999996,200
　　应收利息,185.89,207.31,231.73,166.81,222.6,397.21,340.43,482.7,659.27,793.88
　　发放贷款及垫款,11689.56,14787.75,17714.09,21328,26187.55,30667.5,35136.050000000003,40785.47,47194.02,55803.09
NA,11875.449999999999,14995.06,17945.82,21494.81,26410.149999999998,31064.71,35476.480000000003,41268.17,47853.289999999994,56596.969999999994
　　可供出售金融资产,1733.42,965.09,2744.68,2261.31,2615.3200000000002,5566,8137.65,10718.24,11630.15,13569.62
　　持有至到期投资,7237.01,7705.47,6947.77,4909.3999999999996,6088.02,5213.8100000000004,4354.1099999999997,5994.35,10415.07,10892.7
　　长期股权投资,0.6,0.6,13.1,247.94,362.06,445.35,91.03,111.41,140.30000000000001,166.71
　　应收款项类投资,NA,NA,NA,NA,NA,346.45,333.33,350.85,3719.84,7669.23
　　固定资产,92.54,138.97999999999999,206.16,465.78,527.01,589.45000000000005,628.17999999999995,653.29999999999995,914.74,981.63
　　无形资产,49.43,163.05000000000001,158.77000000000001,154.6,150.44,137.22999999999999,133.41,126.65,150.03,160.12
　　递延所得税资产,34.68,50.68,62.25,43.28,86.03,144.55000000000001,217.98,383.91,295.52999999999997,371.36
　　其他资产,129.94999999999999,66.150000000000006,175.37,59.68,157.52000000000001,200.08,208.55,255.98,344.54,378.38
资产总计,26579.78,30186.75,35703.42,40370.57,52089.02,71648.160000000003,74151.210000000006,84413.2,101669.98,108503.87
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,90.46,840.25,950.38,551.39,1047.8900000000001,11351.51,3926.91,1079.0899999999999,3614.34,4896.12
　　　　向中央银行借款,NA,NA,NA,NA,NA,12,135,30,179,734
　　　　拆入资金,NA,7.3,418.03,NA,NA,NA,NA,NA,NA,460
　　　　卖出回购金融资产款,4508.71,2631.57,2940.26,1499.45,1496,2901.3,4023.36,8360.5400000000009,13715.1,5987.23
　　吸收存款,20385.59,24356.86,28455.84,35002.239999999998,44622.76,51373.29,58920.89,66840.17,74287.23,82291.360000000001
NA,24984.760000000002,27835.98,32764.510000000002,37053.08,47166.65,65638.100000000006,67006.16,76309.8,91795.67,94368.709999999992
　　应付职工薪酬,32,66.11,40.93,59.77,106.78,169.04,244.06,256.62,193.87,137.69999999999999
　　应交税费,95.21,52.74,42,26.7,161.97,157.54,157.5,108.43,193.6,209.41
　　应付利息,262.2,323.49,442.24,412.77,464.44,694.78,888.41,1297.82,1748.16,1994.34
　　应付债券,NA,NA,NA,NA,NA,NA,NA,NA,NA,2987.92
　　递延所得税负债,3.48,NA,35.5,1.67,1.87,22.81,0.64,6.66,52.4,111.41
　　其他负债,29.78,39.49,45.41,223.19,74.010000000000005,82.27,124.06,380.93,317.92,267.24
　　负债合计,25407.43,28317.82,33370.589999999997,37777.19,47975.73,66764.55,68420.84,78360.27,94301.61,100076.74
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,345.44,575.6,575.6,575.6,1013.4,1520.1,1520.1,1520.1,1520.1,2000.46
　　资本公积金,6.51,293.17,394.72,302.89,929.98,523.55999999999995,477.8,477.8,477.8,3.96
其它综合收益,NA,NA,NA,NA,NA,NA,-3.95,-397.21,63.1,239.92
　　盈余公积金,141.97,176.82,479.44,766.57,935.07,1131.4000000000001,1389.58,1682.12,2247.92,2540.31
　　未分配利润,201.33,289.52,251.04,236.24,376.93,725.64,1081.95,1098.01,1039.28,1230.49
　　一般风险准备,477.09,529.37,596.45000000000005,673.93,768.76,901.28,1167.05,1464.39,1769.92,2062.31
　　股权权益差额(合计平衡项目),NA,NA,NA,NA,NA,NA,0,NA,NA,NA
　　归属于母公司所有者权益合计,1172.3499999999999,1864.48,2297.2600000000002,2555.2399999999998,4024.15,4801.9799999999996,5632.52,5845.2,7118.13,8077.44
　　少数股东权益,NA,4.46,35.58,38.14,89.15,81.63,97.85,207.73,250.24,349.69
　　所有者权益合计,1172.3499999999999,1868.94,2332.84,2593.38,4113.3,4883.6099999999997,5730.37,6052.93,7368.37,8427.1299999999992
负债及股东权益总计,26579.78,30186.75,35703.42,40370.57,52089.02,71648.160000000003,74151.210000000006,84413.2,101669.98,108503.87
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-06-27,2008-06-27,2009-04-29,2012-04-30,2012-04-30,2014-06-30,2015-12-22,2016-04-29,2016-04-29,2016-04-29
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
