...1,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,NA,NA,NA,21759.7,26288.18,40726.39,39767.9,54243.95,76586.86,160635.24,219347.48,229924,306298,291715
　　存放同业和其它金融机构款项,NA,NA,NA,6579.43,3081,4013.69,21500.81,15592.54,8523.73,39884.339999999997,94295.11,71914,66969,109046
　　贵金属,NA,NA,NA,NA,NA,8.1999999999999993,9.2200000000000006,3.3,0,NA,2430.46,21286,45254,63744
　　拆出资金,NA,NA,NA,3284.95,3369.18,2642.66,9236.68,5361.14,8475.99,8446.57,65426,27241,45841,76636
　　交易性金融资产,1728.72,NA,11046.87,847.59,427.36,1477.63,41.44,1132.05,NA,2607.9,4237.45,10421,25811,19757
　　衍生金融资产,NA,NA,NA,5.73,22.76,291.82,290.75,100,371.73,810.58,966.65,3397,4300,8144
　　买入返售金融资产,NA,NA,NA,8665.33,11271.77,33768.93,34733.35,40923.4,98263.43,34303.89,186472.8,271692,178636,117291
　　应收利息,NA,NA,NA,461.71,675.7,1126.3699999999999,1605.64,1625.7,2121.4899999999998,7274.19,8757.08,10043,11937,13540
　　发放贷款及垫款,NA,NA,NA,149615.43,175244.81,215789.63,281714.69,355562.54,400966.08,610075.34,708262.39,832127,1003637,1186872
NA,0,0,0,150077.13999999998,175920.51,216916,283320.33,357188.24,403087.57,617349.52999999991,717019.47,842170,1015574,1200412
　　可供出售金融资产,NA,NA,NA,26248.54,18052.34,17850.89,48799.72,36998.410000000003,31534.18,78383.53,89895.87,467,1493,1245
　　持有至到期投资,NA,NA,NA,NA,17548.189999999999,15911.49,15584.75,34585.440000000002,61379.839999999997,107683.08,103124.18,195667,207874,266166
　　长期股权投资,153.49,153.49,156.49,233.37,213.99,251.95,417.39,392.7,404.39,539.29,521.79999999999995,596,486,521
　　应收款项类投资,NA,NA,NA,NA,NA,13450,13750,30427.1,18502.099999999999,13732.1,90837.7,184656,246258,307635
　　固定资产,2380.64,2388.06,3243.57,2417.7199999999998,1994.38,1554.28,1674.92,1714.46,2470.0500000000002,3524.26,3536.44,3694,3812,4788
　　无形资产,52.33,87.09,65.86,41.58,26.57,67.72,113.92,156.79,191.58,5989.73,5878.38,5463,5293,4961
　　商誉,NA,NA,NA,NA,NA,NA,NA,NA,NA,7568.3,7568.3,7568,7568,7568
　　递延所得税资产,NA,602.41,752.3,1000.89,1002.64,994.39,1811.82,1582.93,1954.57,2889.76,3449.64,4406,6834,8728
　　投资性房地产,NA,NA,NA,NA,NA,441.1,411.69,523.85,539.79999999999995,262.79000000000002,196.37,116,110,212
