...1,2006-12-31,2007-12-31,2008-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,1745.92,2271.71,2883.47,7473.02,10621.39,14300.08,17450.310000000001,19753.38,20087.54
　　存放同业和其它金融机构款项,30.5,550.71,502.56,4757.6000000000004,15135.88,5318.35,10895.82,7736.88,11422.58
　　贵金属,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　拆出资金,NA,NA,NA,NA,NA,817.12,30.48,61.19,117.21
　　交易性金融资产,NA,NA,NA,NA,NA,606.12,890,7665.08,9552.7099999999991
　　衍生金融资产,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　买入返售金融资产,NA,NA,1708.65,6403.32,5365.86,29173.46,15164.11,4847.99,4720.1000000000004
　　应收利息,NA,NA,NA,NA,NA,205.75,510.26,923.01,1159.3
　　发放贷款及垫款,NA,NA,9076.31,18546.52,24381.86,32863.980000000003,42994.25,52480.91,68286.84
NA,NA,NA,9076.31,18546.52,24381.86,33069.730000000003,43504.51,NA,NA
　　代理业务资产,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　可供出售金融资产,NA,NA,NA,NA,NA,NA,NA,3761.18,7670.84
　　持有至到期投资,NA,NA,NA,NA,NA,23169.37,39928.239999999998,4607.2700000000004,5753.13
　　长期股权投资,NA,NA,NA,1708.57,4360.8500000000004,NA,NA,NA,NA
　　应收款项类投资,NA,NA,100.37,NA,NA,150.25,NA,37597.17,31845.96
　　固定资产,NA,NA,82.37,108.41,144.88999999999999,235.66,222.52,343.53,522.16
　　无形资产,3.71,9.73,16.78,19.760000000000002,18.14,19.11,22.23,235.25,2070.3200000000002
　　商誉,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　递延所得税资产,NA,NA,NA,NA,NA,5.65,2.08,262.66000000000003,423.56
　　投资性房地产,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　其他资产,NA,NA,7.14,80.73,140.36000000000001,257.70999999999998,3450.66,3361.51,2353
资产差额(特殊报表科目),NA,NA,1124.53,11109.51,23071.43,1766.4,NA,NA,NA
资产差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA,NA
