...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,4967.53,8412.18,9907.17,10576.92,18337.32,21671.03,22913.81,27385.81,28727.01,24628.77
　　存放同业和其它金融机构款项,27232.63,1682.76,4166,5641.65,3460.28,3369.59,2565.02,4846.5600000000004,3603.15,5329.97
　　拆出资金,1867.37,188.26,188.26,92.71,NA,200,NA,688.7,500,NA
　　交易性金融资产,NA,NA,NA,322.25,2468.7800000000002,3382.03,1478.43,NA,1235.22,838.11
　　买入返售金融资产,879.34,4092.99,2017.25,3928.39,2451.75,4377.38,7728.31,5471.87,3084.21,2174.81
　　应收利息,NA,NA,NA,459.49,640.79999999999995,713.3,795.51,1366.72,1950.89,1800.13
　　发放贷款及垫款,32627.72,35405.519999999997,37814.46,47947.65,59725.21,69734.559999999998,80089.81,89481.77,100456.04,108982.13
NA,32627.72,35405.519999999997,37814.46,48407.14,60366.01,70447.86,80885.319999999992,90848.49,102406.93,110782.26000000001
　　可供出售金融资产,NA,NA,NA,3297.94,3816.55,4818.1899999999996,7665.35,11444.52,18189.86,18685.57
　　持有至到期投资,NA,NA,NA,25961.39,21487.58,19643.63,22361.66,23959.75,23169.3,24411.13
　　长期股权投资,6424.6,7190.36,11558.88,34.880000000000003,34.880000000000003,547.08000000000004,547.08000000000004,547.08000000000004,NA,NA
　　应收款项类投资,NA,NA,NA,200.9,5722.11,6680.36,5589.97,20862.54,25139.24,37081.31
　　固定资产,344.73,312.19,323.51,1087.3699999999999,1097.8,1252.97,1456.31,1392.67,1584.11,1477.99
　　无形资产,NA,13.26,NA,18.03,24.44,13.8,13.43,15.19,17.13,16.309999999999999
　　递延所得税资产,NA,NA,NA,77.849999999999994,45.94,96.2,145.02000000000001,249.18,360.41,350.96
　　其他资产,NA,NA,NA,1074.51,635.54,1001.59,1806.71,84.37,323.74,207.8
资产差额(特殊报表科目),15464.64,12698.55,15757.97,836.14,NA,NA,NA,87.08,53.55,51.14
资产总计,89808.56,69996.08,81733.5,101558.05,119948.97,137501.72,155156.42000000001,187883.79,208393.86,226036.14
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,24457.35,84.44,132.18,1054.07,3354.34,6591.98,9210.07,23941.69,32013.85,21916.71
　　向中央银行借款,NA,NA,NA,NA,NA,NA,60,162.9,1130,1131.1300000000001
　　拆入资金,NA,NA,NA,NA,33.11,NA,610,305.39999999999998,937.61,1577.57
　　卖出回购金融资产款,99,938.95,1028.75,6488.2,3614.43,10693.18,8552.64,8085.41,8685.81,8662.7999999999993
　　吸收存款,56828.82,61129.26,70385.05,84687.64,101407.65,106850.63,119981.54,137463.59,141503.32,153317.59
NA,81385.17,62152.65,71545.98,92229.91,108409.53,124135.79000000001,138414.25,169958.99,184270.59,186605.8
　　应付职工薪酬,NA,NA,NA,119.81,150.63999999999999,125.74,92.33,106.04,175.05,250.75
　　应交税费,NA,NA,NA,163.13999999999999,202.6,237.96,298.24,299,437.21,356.28
　　应付利息,NA,NA,NA,496.91,583.28,838.34,1225.08,1898.66,2406.86,2649.69
　　应付债券,NA,NA,NA,NA,NA,NA,NA,NA,NA,12332.91
　　递延所得税负债,NA,NA,NA,48.66,NA,5.44,0.18,NA,NA,NA
　　预计负债,2600.65,2616.46,2243.08,NA,NA,NA,NA,NA,NA,NA
　　其他负债,384.86,322.89999999999998,1786.13,362.78,1070.44,991.61,1944.29,418.24,493.88,1226.8399999999999
　　负债差额(特殊报表科目),3360.04,2545.9899999999998,2857.06,69.040000000000006,NA,NA,NA,NA,NA,NA
　　负债差额(合计平衡项目),NA,NA,NA,0,NA,NA,NA,NA,NA,NA
　　负债合计,87730.71,67638.009999999995,78432.25,93490.25,110416.49,126334.88,141974.38,172680.91,187783.59,203422.29
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,863.28,863.24,1309.6099999999999,1856.45,1856.45,1856.45,2227.7399999999998,2673.29,3500,3850
　　资本公积金,NA,NA,NA,2388.56,2348.41,2384.42,2021.08,1297.8399999999999,3925.93,3576.26
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,79.61,378.34
　　盈余公积金,316.10000000000002,351.03,401.4,95.92,255.56,460.96,696.85,969.78,1249.8900000000001,1544.07
　　未分配利润,69.010000000000005,279.42,675.47,1066.3599999999999,2223.0500000000002,3612.07,5374.11,7381.96,8968.7099999999991,10057.49
　　一般风险准备,829.46,864.39,914.76,2660.52,2660.52,2660.52,2660.52,2660.52,2660.52,2970.47
　　归属于母公司所有者权益合计,2077.85,2358.0700000000002,3301.25,8067.81,9344,10974.42,12980.3,14983.37,20384.669999999998,22376.63
　　少数股东权益,NA,NA,NA,NA,188.48,192.43,201.75,219.5,225.6,237.22
　　所有者权益合计,2077.85,2358.0700000000002,3301.25,8067.81,9532.48,11166.85,13182.05,15202.87,20610.27,22613.85
负债及股东权益总计,89808.56,69996.08,81733.5,101558.05,119948.97,137501.72,155156.42000000001,187883.79,208393.86,226036.14
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,带强调事项段的无保留意见,标准无保留意见,标准无保留意见,NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-04-30,2008-04-30,2009-04-30,2010-04-30,2012-04-11,2012-04-11,2013-04-30,2014-04-16,2015-04-30,2016-04-25
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
