...1,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,1419.21,1818.59,2124.86,2061.64,1803.46
　　存放同业和其它金融机构款项,1529,1822.17,2483.13,1805.21,1879.41
　　应收利息,13.09,25.56,24.3,25.97,27.87
　　发放贷款及垫款,5007.9399999999996,5615.27,6302.47,7031.44,7072.14
NA,NA,NA,NA,NA,7100.01
　　可供出售金融资产,NA,NA,NA,2,902.51
　　持有至到期投资,NA,NA,NA,NA,72.55
　　长期股权投资,2.13,2.13,2,117.6,NA
　　应收款项类投资,10.3,NA,NA,170.64,30.08
　　固定资产,117.44,118,113.61,105.01,171.48
　　无形资产,462.31,455.34,448.37,440.33,433.39
　　递延所得税资产,10.45,28.3,28.5,30.35,45.21
　　其他资产,NA,NA,8.2799999999999994,27.14,22.23
资产差额(特殊报表科目),156.69999999999999,0.87,NA,NA,NA
资产总计,8728.57,9886.2199999999993,11535.51,11817.33,12460.32
负债：,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,1.68,4.45,8.32,0,110
　　卖出回购金融资产款,NA,NA,NA,NA,86.2
　　吸收存款,7667.65,8646.74,10118.450000000001,10244.15,10740.36
NA,NA,NA,NA,NA,10826.560000000001
　　应付职工薪酬,59.46,53.36,44.07,44.74,33.56
　　应交税费,125.28,131.85,119.12,109.02,92.63
　　应付利息,59.31,86.19,106.57,124.45,134.16
　　递延所得税负债,13.5,14.29,13.62,11.54,NA
　　其他负债,0.75,0.78,6.37,5.79,6.21
　　负债差额(特殊报表科目),15.23,5.45,NA,NA,NA
　　负债合计,7942.85,8943.11,10416.530000000001,10539.68,11203.13
所有者权益(或股东权益)：,NA,NA,NA,NA,NA
　　股本,343.69,343.64,412.37,507.22,532.58000000000004
　　资本公积金,371.36,NA,NA,NA,NA
　　其它综合收益,NA,NA,NA,NA,2.5
　　盈余公积金,10.9,15.74,35.04,53.44,61.19
　　未分配利润,17.87,141.66,229.49,274.24,218.16
　　一般风险准备,41.89,442.06,442.06,442.76,442.76
　　归属于母公司所有者权益合计,785.72,943.11,1118.97,1277.6500000000001,1257.19
　　所有者权益合计,785.72,943.11,1118.97,1277.6500000000001,1257.19
负债及股东权益总计,8728.57,9886.2199999999993,11535.51,11817.33,12460.32
显示币种,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,NA,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2013-04-30,2013-04-30,2014-04-30,2015-04-30,2016-04-22
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA
