...1,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,19078.75,20160.04,33238.379999999997,44347.81,52324.69,65329.17,78636.08,82151
　　存放同业和其它金融机构款项,13555.72,8288.1,4621.0600000000004,9488.24,10458.58,6841.07,32226.37,49481.65
　　拆出资金,395.84,NA,149.29,NA,470.8,298.95999999999998,10940,1687.47
　　交易性金融资产,NA,NA,2951.52,526.16999999999996,2539.0700000000002,1745.36,1469.76,51810.46
　　买入返售金融资产,9790.5300000000007,6244.97,18071.79,45575.28,73958.429999999993,43656.75,60960.959999999999,34176.660000000003
　　应收利息,NA,NA,857.73,996.45,1197.52,1522.03,2312.91,3587.8
　　发放贷款及垫款,70586.16,90724.14,106686.41,118898.69,134833.23000000001,155982.29,180720.3,216779.76
NA,70586.16,90724.14,NA,NA,NA,NA,NA,NA
　　可供出售金融资产,NA,NA,20325.79,5065.21,7764.18,25291.34,45459.17,72123.289999999994
　　持有至到期投资,NA,NA,20588.16,20495.29,16514.28,8553.36,8551.15,18433.580000000002
　　长期股权投资,18550.23,36892.269999999997,106.23,161.07,166.06,173.3,NA,NA
　　应收款项类投资,NA,NA,NA,23787.57,42952.43,64696.9,40717.379999999997,47137.06
　　固定资产,1121.5999999999999,3042.7,2315.56,2275.48,2259.46,2172.09,1994.19,1867.55
　　无形资产,56.26,45.16,31.71,33.99,37.06,61.55,107.61,136.13999999999999
　　递延所得税资产,NA,NA,314.64999999999998,730.59,887.84,1223.2,1297.71,2001.35
　　投资性房地产,NA,NA,327.52999999999997,299.75,268.72000000000003,247,225.91,211.01
　　其他资产,NA,NA,883.43,1055.5899999999999,822.8,870.74,988.12,1222.44
资产差额(特殊报表科目),14391.89,20294.13,NA,NA,NA,NA,NA,NA
资产总计,147526.97,185691.51,211469.23,273737.2,347455.14,378665.14,466607.62,582807.19999999995
负债：,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,7026.27,226.05,1836.95,27543.65,29869.94,26863.96,42016.97,104063.37
　　向中央银行借款,NA,NA,NA,100,330.31,505,600,1006
　　拆入资金,NA,NA,NA,NA,NA,54.02,7000,1000
　　交易性金融负债,NA,NA,796.64,554.66999999999996,2073.58,11,NA,NA
　　卖出回购金融资产款,NA,9585.2800000000007,13564.36,7561.45,15825.83,302.95,8642.67,11405.93
　　吸收存款,91075.04,110457.99,178334.45,212517.25,265510.5,312722.12,354438.56,391061.88
NA,98101.31,120269.32,NA,NA,NA,NA,NA,NA
　　应付职工薪酬,99.03,412.79,642.66,703.4,860.11,1193.26,1494.9,1561.54
　　应交税费,76.28,524.21,451.44,782.08,727.54,1004.39,588.92999999999995,1479.93
　　应付利息,NA,NA,1311.14,1937.8,3370.12,4139.25,5713.02,7635.45
　　应付债券,NA,NA,NA,NA,3497.12,3497.35,12522.47,21676.87
　　递延所得税负债,NA,NA,NA,NA,NA,0.47,0.59,NA
　　预计负债,1074.67,1488.22,16.41,26.5,33.979999999999997,36.03,36.03,28.05
　　其他负债,NA,NA,526.38,584.39,966.88,824.43,966.72,6192.06
　　负债差额(特殊报表科目),42294.71,51631.07,NA,NA,NA,NA,NA,NA
　　负债合计,141645.99,174325.61,197480.43,252311.18,323065.90999999997,351154.23,434020.85,547111.06999999995
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,4025.62,6873.42,6873.42,8153.42,8153.42,8153.42,8153.42,8153.42
　　资本公积金,5.56,NA,460.4,3924.47,4083.9,3973.15,4595.42,4696.7
　　其它综合收益,NA,NA,NA,NA,NA,NA,492.7,790.71
　　盈余公积金,367.28,83.56,458.24,749.23,1155.94,1641.73,2182.4699999999998,2690.09
　　未分配利润,397.75,2549.87,4275.04,5855.04,6464.22,8373.9599999999991,9845.84,10781.37
　　一般风险准备,1084.78,1859.05,1852.46,2057.86,3470.43,4130.17,5390.76,6665.65
　　归属于母公司所有者权益合计,5880.98,11365.9,13919.57,20740.009999999998,23327.9,26272.42,30660.61,33777.949999999997
　　少数股东权益,NA,NA,69.23,686,1061.33,1238.48,1926.16,1918.18
　　所有者权益合计,5880.98,11365.9,13988.79,21426.01,24389.23,27510.9,32586.77,35696.129999999997
负债及股东权益总计,147526.97,185691.51,211469.23,273737.2,347455.14,378665.14,466607.62,582807.19999999995
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2011-09-15,2011-09-15,2011-09-16,2012-04-30,2013-04-28,2014-04-30,2015-04-30,2016-04-29
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA
