...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,1219.27,5315.2,5282.74,5754.67,7047.61,9641.7999999999993,13562.17,14033.52,16750.18,13899.72
　　存放同业和其它金融机构款项,264.43,269.66000000000003,562.04,1678.79,1896.71,2411.86,1969.39,5527.55,1176.49,404.76
　　贵金属,NA,NA,NA,NA,NA,NA,NA,2.11,2.11,1.9
　　拆出资金,NA,NA,NA,NA,NA,NA,771.43,698.73,18.36,259.74
　　交易性金融资产,NA,NA,NA,NA,2477.54,2311.5,1908.25,1536.04,1437.45,1277.0999999999999
　　衍生金融资产,NA,NA,NA,NA,NA,NA,5.88,19.420000000000002,NA,NA
　　买入返售金融资产,NA,NA,2519.8200000000002,3915.1,25024.81,59977.74,45763.7,11050.32,6390.07,16490.060000000001
　　应收利息,2.12,0.17,24.73,43.23,64.58,98.86,224.28,610.53,500.74,460.57
　　发放贷款及垫款,NA,NA,7310.08,13188.78,17017.509999999998,22985.94,35014.18,35133.9,37117.199999999997,42273.97
NA,NA,NA,7334.8099999999995,NA,NA,NA,NA,NA,NA,NA
　　可供出售金融资产,NA,NA,44.96,1162.97,2361,4768,6785.88,9178.14,9546.11,16259.78
　　持有至到期投资,NA,NA,NA,1176.53,2841.29,8221.09,2045.09,2342.33,1455.16,888.04
　　长期股权投资,NA,NA,2.75,2.75,2.75,36.89,43.05,7.75,NA,NA
　　应收款项类投资,NA,NA,NA,NA,NA,NA,12307.32,9548.0300000000007,9313.83,18709.34
　　固定资产,NA,NA,139.02000000000001,205.07,235.31,258.17,272.04000000000002,267.93,311.64,339.42
　　无形资产,37.950000000000003,10.1,16.260000000000002,20.82,31.42,28.67,438.81,433.47,416.39,405.77
　　递延所得税资产,NA,NA,52.61,65.73,94.77,183.63,329.19,906.9,836.46,955.41
　　投资性房地产,NA,NA,73.94,65.55,60.32,56.69,58.48,54.48,50.62,38.159999999999997
　　其他资产,43.93,18.420000000000002,40.200000000000003,58.36,72.69,180.44,216.77,238.26,272.58999999999997,363.98
资产总计,9407.3799999999992,10632.06,16069.15,27338.35,59228.31,111161.28,121715.92,91589.41,85595.41,113027.72
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,0,NA,NA,90.13,1291.71,7937.86,14321.67,11586.01,4375.91,7338.54
　　向中央银行借款,NA,NA,NA,NA,NA,300,30,140,1195,1145
　　拆入资金,NA,NA,NA,NA,22.52,74.98,298.56,1028.28,699.11,665.59
　　衍生金融负债,NA,NA,NA,NA,NA,NA,4.76,17.3,NA,0.73
　　卖出回购金融资产款,NA,NA,NA,NA,18773.7,50312.22,38127.67,6518.78,4212.7,18964.759999999998
　　吸收存款,NA,NA,13228.08,23555.01,34336.449999999997,45684.76,56077.18,58103.11,56329.46,63853.62
NA,NA,NA,13228.08,NA,NA,NA,NA,NA,NA,NA
　　应付职工薪酬,NA,NA,54.35,112.13,176.55,197.46,355.43,529.13,678.04,772.43
　　应交税费,26.71,63.88,41.48,93.99,125.21,278.24,333.98,527.59,22.56,247.52
　　应付利息,38.04,58.88,47.29,56.13,103.72,250.28,336.15,686.04,632.71,803.87
　　应付债券,NA,NA,NA,NA,NA,995.99,996.25,3985.83,6976.88,6984.45
　　递延所得税负债,NA,NA,2.36,NA,NA,NA,NA,NA,NA,NA
　　其他负债,NA,NA,119.73,186.61,231.83,381.32,3472.55,907.16,1286.4100000000001,1266.6099999999999
　　负债合计,9038.14,10303.370000000001,13493.3,24094,55061.69,106413.11,114354.2,84029.23,76408.77,102043.13
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,229.66,229.66,2000,2000,2000,2000,2500,2750,3250,4384.1400000000003
　　资本公积金,65.599999999999994,0.32,319.62,826.37,1367.36,1228.25,2380.3200000000002,2055.4699999999998,3117.7,3457.95
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,71.28,239.6
　　盈余公积金,73.92,76.39,36.93,65.77,109.63,187.68,313.32,337.24,347.43,379.72
　　未分配利润,0.08,22.33,138.44,182.2,440.58,751.49,1048.5899999999999,788.86,399.05,489.29
　　一般风险准备,NA,NA,80.86,146.69999999999999,224.54,529.28,1060.3399999999999,1488.45,1845.71,1863.73
　　归属于母公司所有者权益合计,369.24,328.69,2575.85,3221.03,4142.1000000000004,4696.71,7302.57,7420.03,9031.17,10814.44
　　少数股东权益,NA,NA,NA,23.32,24.52,51.45,59.14,140.15,155.47,170.16
　　所有者权益合计,369.24,328.69,2575.85,3244.35,4166.62,4748.16,7361.72,7560.18,9186.64,10984.6
负债及股东权益总计,9407.3799999999992,10632.06,16069.15,27338.35,59228.31,111161.28,121715.92,91589.41,85595.41,113027.72
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-05-29,2008-05-29,2009-04-30,2010-04-28,2011-07-14,2012-04-27,2013-04-24,2014-04-28,2015-04-28,2016-04-30
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
