...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,598.07000000000005,1235,1669.79,2269.83,3578.26,4723.8500000000004,5327.09,5958.75,6301.72,5774.12
　　存放同业和其它金融机构款项,560.79999999999995,211.99,1515.46,942.21,470.98,335.94,865.96,1229.8699999999999,381.74,393.68
　　拆出资金,NA,NA,NA,NA,100,NA,NA,NA,24.48,NA
　　交易性金融资产,NA,NA,767.8,1129.74,1429.9,1165.49,1115.03,994.24,1142.4100000000001,1705.45
　　买入返售金融资产,NA,NA,NA,NA,NA,128.61000000000001,669.4,1194.5999999999999,661.7,100
　　应收利息,NA,NA,0.22,0.24,0.05,49.93,105.07,127.06,143.30000000000001,155.41
　　发放贷款及垫款,NA,NA,6165.46,8788.93,11232.5,13804.01,14842.27,16659.23,17821.78,17279.77
NA,NA,NA,6165.68,8789.17,11232.55,13853.94,14947.34,16786.29,17965.079999999998,17435.18
　　持有至到期投资,NA,NA,519.86,1014.03,1287.19,1862.61,1939.01,2751.31,3359.04,2934.05
　　长期股权投资,NA,NA,NA,NA,31.57,NA,NA,NA,NA,NA
　　应收款项类投资,NA,NA,NA,NA,NA,NA,NA,NA,NA,3590.16
　　固定资产,NA,NA,91.15,85.2,191.65,191.25,317.7,349.98,429.69,459.43
　　无形资产,NA,NA,NA,5,4.4400000000000004,3.95,3.37,2.79,2.85,1.67
　　递延所得税资产,13.41,10.74,18.510000000000002,8.42,29.49,45.29,72.77,85.81,94.96,109.19
　　其他资产,NA,NA,91.8,248.14,428.05,511.34,822.19,959.01,998.5,823.41
资产总计,7429.45,8528.27,10840.03,14491.74,18784.080000000002,22822.27,26079.86,30312.639999999999,31362.15,33326.339999999997
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,NA,20.239999999999998,39.1,23.23,34.32,62.74,515.13,501.18,71.150000000000006,40.840000000000003
　　向中央银行借款,NA,NA,NA,NA,NA,400,400,600,141,50
　　拆入资金,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.81
　　交易性金融负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000
　　卖出回购金融资产款,NA,NA,550,NA,200,499,NA,198.8,NA,280
　　吸收存款,NA,NA,9226.6,12370.5,15897.65,18803.63,21294.47,24787.61,26533.71,27814.07
NA,NA,NA,9815.7000000000007,12393.73,16131.97,19765.370000000003,22209.600000000002,26087.59,26745.86,29379.72
　　应付职工薪酬,NA,NA,31.6,33.72,43.56,53.56,53.86,89.76,82.11,72.010000000000005
　　应交税费,45.97,57.55,43.13,29.32,102.97,166.23,149.63999999999999,96.67,110.51,89.64
　　应付利息,NA,NA,134.34,139.72,170.56,289.69,371.13,419.16,528.82000000000005,552.4
　　递延所得税负债,NA,NA,0.04,0.27,NA,NA,NA,NA,1.49,9.7799999999999994
　　预计负债,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA
　　其他负债,NA,NA,210.35,845.64,675,542.11,839.51,1019.88,1140.0999999999999,670.83
　　负债合计,7024.87,8028.88,10235.15,13442.41,17124.060000000001,20816.95,23623.74,27713.07,28610.39,30774.38
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,300.02,330.02,330.02,428.02,547.02,547.02,608.02,608.02,608.02,608.02
　　资本公积金,1.32,1.32,1.32,171.32,361.72,361.72,460.09,460.09,460.09,460.09
　　盈余公积金,25.52,31.57,44.36,135.53,152.43,176.75,209.41,243.19,261.56,283.13
　　未分配利润,60.52,94.88,172.95,236.04,386.3,611.38,827.23,783.23,860.76,892.45
　　一般风险准备,17.2,41.6,56.23,78.42,99.11,114.84,133.76,256.48,293.85000000000002,308.26
　　归属于母公司所有者权益合计,404.58,499.39,604.88,1049.32,1546.58,1811.71,2238.5100000000002,2351.0100000000002,2484.29,2551.96
　　少数股东权益,NA,NA,NA,NA,113.44,193.62,217.61,248.56,267.48,NA
　　所有者权益合计,404.58,499.39,604.88,1049.32,1660.02,2005.32,2456.12,2599.58,2751.77,2551.96
负债及股东权益总计,7429.45,8528.27,10840.03,14491.74,18784.080000000002,22822.27,26079.86,30312.639999999999,31362.15,33326.339999999997
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-06-26,2008-06-26,2011-04-18,2011-04-18,2011-06-14,2012-04-20,2013-04-27,2014-04-30,2015-04-30,2016-04-22
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
