...1,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,2084.06,1715.87,2893.03,2996.65,6742.84,11421.24,10091.629999999999,10220.280000000001,11490.33,11599.34,9273.4500000000007
　　存放同业和其它金融机构款项,1060.1300000000001,763.83,3117.54,3262,NA,NA,13073.29,11832.76,11726.01,6011.56,4334.43
　　拆出资金,NA,NA,NA,NA,NA,NA,324.5,NA,NA,NA,264.44
　　交易性金融资产,NA,NA,NA,NA,NA,NA,NA,199.15,189.77,753.57,498.37
　　买入返售金融资产,NA,NA,593.1,NA,NA,7685.24,7230.33,4147.6000000000004,837.55,673.38,NA
　　应收利息,77.16,NA,179.16,202.57,182.3,204.24,331.56,358.51,358.06,428.53,542.73
　　发放贷款及垫款,7927.89,9700.99,11077.54,12976.3,17599.18,22152.98,26716.84,30462.67,35102.83,37081.199999999997,38504
NA,8005.05,9700.99,11256.7,13178.869999999999,17781.48,22357.22,27048.400000000001,30821.179999999997,35460.89,37509.729999999996,39046.730000000003
　　可供出售金融资产,872.43,NA,1105.46,224.39,1445.41,742.44,350.96,1419.75,3584.11,5648.67,21634.49
　　持有至到期投资,1631.72,NA,5116.03,6486.93,5825.91,9680.5300000000007,11063.81,11789.6,7724.42,7917.38,4954.3
　　长期股权投资,0.96,4591.5600000000004,0.6,193.92,241.17,308.39,476.37,409.89,518.91999999999996,615.97,701.42
　　固定资产,173.64,229.91,253.77,277.8,283.73,295.39999999999998,327,327.39,335.32,412.01,418.04
　　无形资产,15.34,NA,100.63,94.97,96.36,96.94,96.3,103.76,104.75,107.39,110.44
　　递延所得税资产,92.75,NA,55.67,65.010000000000005,48.06,66.67,97.8,170.56,273.45,350.39,485.29
　　其他资产,174.25,NA,69.47,43.08,28.23,17.46,65.45,86.01,324.86,370.84,632.24
资产差额(特殊报表科目),NA,2268.98,NA,NA,7.28,18.78,NA,NA,NA,NA,NA
资产差额(合计平衡项目),NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
资产总计,14110.32,19271.14,24561.99,26823.62,32500.47,52690.3,70245.84,71527.929999999993,72570.399999999994,71970.23,82353.649999999994
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,NA,1.6,NA,34.340000000000003,NA,NA,15168.56,12919.08,7686.27,1433.73,3901.4
　　向中央银行借款,NA,NA,NA,NA,NA,50,80,80,122.81,373,260
　　拆入资金,NA,NA,NA,NA,NA,NA,NA,NA,65.25,NA,84.42
　　卖出回购金融资产款,NA,900,3746.89,2920,2350,4250,6266.72,8074.33,6441.01,8495.35,10444.790000000001
　　吸收存款,12972.62,10110.81,18053.05,20595.830000000002,NA,NA,43481.81,44235.56,51310.52,53320.13,56386.51
NA,12972.62,11012.41,21799.94,23550.170000000002,2350,4300,64997.09,65308.97,65625.86,63622.21,71077.119999999995
　　应付职工薪酬,94.48,5.99,29.83,44.15,69.099999999999994,81.16,95.5,173.64,152.66,214.15,253.82
　　应交税费,81.78,12.09,33.729999999999997,36.01,12.28,54.91,63.24,39.53,88.08,34.35,61.4
　　应付利息,105.57,NA,180.03,283.02999999999997,263.92,303.89999999999998,505.74,566.34,855.85,1068.1400000000001,1277.58
　　应付债券,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997.43
　　递延所得税负债,2.82,NA,1.06,0.1,5.85,NA,NA,0.72,NA,11.29,84
　　预计负债,NA,1999.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　其他负债,31.02,NA,60.74,38.58,NA,NA,62.87,336.89,206.97,499.24,383.84
　　负债差额(特殊报表科目),NA,5244.89,NA,NA,26550.28,44194.16,NA,29.43,47.14,68.08,75.09
　　负债合计,13288.29,18274.75,22105.34,23952.03,29251.439999999999,48934.13,65724.429999999993,66455.509999999995,66976.56,65517.45,75210.27
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,358,386.64,542.26,542.26,542.26,542.26,1084.51,1626.77,1626.77,1626.77,1626.77
　　资本公积金,31.4,25.68,858.63,864.51,883.23,867.95,330.88,313.19,313.19,313.19,313.19
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,19.84,-79.97,57.67,275.23
　　盈余公积金,113.72,153.76,269.76,496.04,729.3,1030.42,1428.82,1842.95,2280.71,2573.69,2840.78
　　未分配利润,63.93,171.63,501.65,565.63,610.91999999999996,726.42,941.42,361.22,373.44,664.97,734
　　一般风险准备,254.97,258.68,284.37,360.22,440.07,540.45000000000005,673.25,811.29,957.31,1103.8,1237.3399999999999
　　股权权益差额(合计平衡项目),NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
　　归属于母公司所有者权益合计,822.03,996.39,2456.66,2828.66,3205.78,3707.5,4458.88,4975.26,5471.45,6340.09,7027.31
　　少数股东权益,NA,NA,NA,42.92,43.25,48.68,62.54,97.16,122.38,112.68,116.07
　　所有者权益合计,822.03,996.39,2456.66,2871.58,3249.03,3756.17,4521.42,5072.42,5593.83,6452.77,7143.38
负债及股东权益差额(合计平衡项目),NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
负债及股东权益总计,14110.32,19271.14,24561.99,26823.62,32500.47,52690.3,70245.84,71527.929999999993,72570.399999999994,71970.23,82353.649999999994
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-04-30,2007-04-30,2008-04-30,2009-04-30,2010-04-30,2011-04-30,2014-06-30,2015-04-30,2016-05-27,2016-05-27,2016-05-27
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
