...1,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,309.2,591.64,849.98,1651.57,2099.5700000000002,2992.56,4280.13,5312.12,7929.76,8406.14,8215.33
　　存放同业和其它金融机构款项,105.28,223.3,105.2,63.33,177.44,409.27,2400.77,1225.99,5528.36,2648.32,539.48
　　贵金属,NA,NA,NA,NA,0.25,0.25,0.25,0.25,0.25,0.28000000000000003,0.27
　　拆出资金,NA,NA,NA,NA,NA,NA,NA,355.24,44,NA,386.74
　　交易性金融资产,NA,NA,NA,NA,909.44,3651.49,1275.5,2042.58,1138.3900000000001,773.5,777.78
　　买入返售金融资产,NA,NA,NA,NA,939.2,149.25,3229.9,NA,208.05,9169.5400000000009,6204.25
　　应收利息,NA,NA,NA,NA,30.25,46.25,119.6,154.26,230.46,283.27999999999997,717.87
　　发放贷款及垫款,NA,NA,NA,NA,6319.31,9910.73,12506.98,14763.89,17357.02,21536.92,29818.880000000001
　　可供出售金融资产,NA,NA,NA,NA,NA,NA,2816.66,8343.51,5001.03,2408.6,4404.5
　　持有至到期投资,NA,NA,NA,NA,1358.33,2283.56,4747.4399999999996,4603.1099999999997,4316.58,3976.37,5166.24
　　长期股权投资,NA,NA,NA,NA,10.65,10.65,10.65,15.16,18,0.25,NA
　　应收款项类投资,NA,NA,NA,NA,NA,NA,NA,NA,4060.55,4444.3,25222.1
　　固定资产,NA,NA,NA,NA,107.16,131.13,160.08000000000001,297.04000000000002,373.34,456.51,915.86
　　无形资产,3.14,2.98,2.84,2.72,2.6,2.48,9.68,11.1,22.45,52.28,73.260000000000005
　　递延所得税资产,NA,NA,NA,NA,NA,NA,67.989999999999995,115.42,162.13,242.72,561.44000000000005
　　投资性房地产,NA,NA,NA,NA,NA,NA,1.75,12.76,12.3,13.05,12.06
　　其他资产,NA,NA,NA,NA,627.07000000000005,447.72,23.26,26.5,49.26,163.1,179.34
资产总计,3755.9,4863.17,5833.51,8698.41,12581.27,20035.349999999999,31650.639999999999,37278.92,46451.93,54575.16,83195.399999999994
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,29.94,42.31,24.19,316.51,385.27,496.25,1907.16,4223.7700000000004,6042.21,10322.219999999999,9702.1
　　向中央银行借款,NA,NA,NA,NA,NA,NA,NA,NA,200,476.07,1006.54
　　拆入资金,NA,NA,NA,NA,15.97,23.72,92.72,69.31,802.08,515.26,735.07
　　卖出回购金融资产款,339.6,200,NA,495.3,400,1804.2,1554.9,3576.2,5790.99,3059.78,6586.73
　　吸收存款,NA,NA,NA,NA,10668.57,16374.47,26496.720000000001,27011.69,30325.51,36359.120000000003,45647.8
　　应付职工薪酬,NA,NA,NA,NA,NA,0.2,22,25.42,22.95,20.16,91.33
　　应交税费,3.73,5.3,5.55,9.51,8.23,27.04,125.49,76.28,111.26,113.77,203.41
　　应付利息,NA,NA,NA,NA,79.25,85.02,117.17,233.74,389.9,445.57,733.37
　　应付债券,NA,NA,NA,NA,NA,153,150,150,150,135,12479.15
　　递延所得税负债,NA,NA,NA,NA,NA,NA,0.8,1.38,1.3,NA,NA
　　其他负债,NA,NA,NA,NA,543.71,449.24,32.6,59.76,113.08,177.09,668.78
　　负债合计,3619.76,4720.49,5480.6,8332.42,12101.11,19413.13,30499.55,35427.54,43949.27,51624.05,77854.28
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,121.38,121.38,321.38,321.38,371.38,371.38,434.38,517.25,942.92,942.92,1598.86
　　资本公积金,8.65,8.65,8.65,8.65,8.65,8.65,98.34,194.21,203.83,148.93,1443.08
　　盈余公积金,0.61,0.61,19.66,23.38,31.85,43.9,96.11,153.28,216.24,272.05,344.05
　　未分配利润,5.49,12.04,3.2,11.57,67.27,197.27,372.93,795.42,734.24,1061.26,885.59
　　一般风险准备,NA,NA,NA,1,1,1,149.33000000000001,191.22,405.43,439.27,952.82
　　归属于母公司所有者权益合计,136.13999999999999,142.69,352.91,365.99,480.16,622.21,1151.0899999999999,1851.38,2502.66,2864.43,5224.42
　　少数股东权益,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.67,116.71
　　所有者权益合计,136.13999999999999,142.69,352.91,365.99,480.16,622.21,1151.0899999999999,1851.38,2502.66,2951.1,5341.12
负债及股东权益总计,3755.9,4863.17,5833.51,8698.41,12581.27,20035.349999999999,31650.639999999999,37278.92,46451.93,54575.16,83195.399999999994
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,带强调事项段的无保留意见,带强调事项段的无保留意见,带强调事项段的无保留意见,带强调事项段的无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2009-08-11,2009-08-11,2009-08-11,2008-05-23,2009-08-11,2010-04-19,2011-04-22,2012-03-31,2013-04-28,2014-04-18,2016-05-03
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
