...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,9594.7999999999993,18177.740000000002,19560.400000000001,25929.69,34579.53,55828.639999999999,57649.279999999999,76178.460000000006,76420.87,78414.03
　　存放同业和其它金融机构款项,640.79999999999995,1490.01,1592.05,515.48,1496.35,7076.21,3833.66,10999.66,11352.33,10283.25
　　拆出资金,NA,NA,353.94,2489.63,1237.1500000000001,3581.17,2813.38,1192.25,9232.91,20990.41
　　交易性金融资产,503.21,739.97,2497.38,2772.87,2717.9,5035.8100000000004,3598.83,1805.29,2963.95,2730.12
　　衍生金融资产,NA,NA,NA,NA,NA,NA,NA,5.7,1.88,3.79
　　买入返售金融资产,1751.89,8424.5300000000007,2841.65,3814.69,10542.88,5317.38,38198.120000000003,36772.43,53200.62,42919.94
　　应收利息,194.11,340.14,626.36,698.92,796.09,1043.98,1357.8,1550.2,2046.92,3477.64
　　发放贷款及垫款,42326.26,54475.74,74763.44,94086.82,114058.44,133922.88,159941.48000000001,191280.4,214734.24,237428.1
NA,42520.37,54815.88,75389.8,94785.74,114854.53,134966.86000000002,161299.28,NA,NA,NA
　　可供出售金融资产,5218.3999999999996,5517.28,16856.2,18756.18,20865.63,18356.900000000001,25580.6,29964.720000000001,71572.33,96271.65
　　持有至到期投资,7401.18,11787.49,8991.7199999999993,8857.93,13190.68,20604.55,26062.73,27772.21,30020.85,42257.24
　　长期股权投资,NA,NA,100,100,153.44,185.19,220.25,334.74,325.61,413.58
　　应收款项类投资,NA,NA,1661.12,2556.8200000000002,6888.46,3815.12,1814.19,723.57,7797.47,89134.25
　　固定资产,880.38,879.43,1061.51,1206.3800000000001,1150.47,1186.0899999999999,1404.41,1512.19,1415.03,1617.38
　　无形资产,77.040000000000006,74.69,78.19,94.43,101.66,88.94,81.98,74.95,266.97000000000003,256.14999999999998
　　递延所得税资产,240.32,126.17,185.38,412.05,681.67,751.47,851.16,1113.24,955.79,1274.06
　　其他资产,219.41,159.46,140.08000000000001,107.74,515.79,187.23,816.48,829.1,456.56,1156.74
资产差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA,NA,7502.27
资产总计,71269.119999999995,105404.77,131309.43,162399.64000000001,208976.15,256981.56,324224.36,382109.09,482764.31,636130.62
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,711.58,1128.32,10415.129999999999,4970.78,9822.44,9323.49,5965.25,17433.41,24430.29,89286.19
　　向中央银行借款,NA,NA,NA,NA,NA,NA,NA,NA,107,NA
　　拆入资金,754.57,380.88,5183.8100000000004,2487.94,1263.1400000000001,3534.52,898.2,1537.05,1682,7911.16
　　衍生金融负债,NA,NA,NA,NA,NA,NA,NA,5.05,2.39,20
　　卖出回购金融资产款,2421.7199999999998,15031.16,753.97,7038.03,20797.97,16184.8,47883.47,42727.92,72481.22,45431.77
　　吸收存款,63500.19,83342.39,100248.55,132560.68,159582.01,203579.7,239543.12,272798.24,317870.03999999998,359224.55
NA,67388.06,99882.75,116601.46,147057.43,191465.56,232622.51,294290.03999999998,NA,NA,NA
　　应付职工薪酬,206.59,238.82,627.27,815.24,1076.1600000000001,1177.6099999999999,1155.57,1101.3699999999999,1185.47,1323.73
　　应交税费,206.14,513.5,370.61,316.39,532.77,404.88,504.45,375.77,824.51,1467.36
　　应付利息,206.17,340.52,529.75,560.13,632.65,1277.75,1937.54,2897.81,4114.7700000000004,5988.93
　　应付债券,NA,NA,NA,NA,NA,3991.46,3991.83,8986.42,18750.990000000002,79425.7
　　预计负债,NA,NA,1.62,NA,NA,NA,NA,NA,NA,NA
　　其他负债,456.77,452.7,1221.9100000000001,841.22,911.72,423.83,1864.01,2574.13,4762.71,3705.98
　　负债合计,68463.740000000005,101428.29,119352.62,149590.39999999999,194618.86,239898.03,303743.43,350437.16,446211.39,593785.36
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,2773.64,3174.82,8174.82,8174.82,8174.82,8174.82,8174.82,11049.82,11049.82,11049.82
　　资本公积金,83.84,93.2,2384.11,2058.2399999999998,1721.42,1772.53,1806.7,6751.04,6751.04,6751.04
　　其它综合收益,NA,NA,NA,NA,NA,NA,-125.68,-909.55,-109.41,270.64
　　盈余公积金,28.85,117.02,243.11,418.67,688.9,1308.4000000000001,2088.3000000000002,3011.59,4071.25,5249.97
　　未分配利润,-80.94,591.44000000000005,577.39,1080.1300000000001,2694.77,4550.3999999999996,7064.41,8659.44,10868.06,13121.39
　　一般风险准备,NA,NA,577.38,1077.3800000000001,1077.3800000000001,1277.3800000000001,1472.38,3062.78,3743.46,4716.29
　　归属于母公司所有者权益合计,2805.39,3976.49,11956.81,12809.24,14357.29,17083.53,20480.919999999998,31625.119999999999,36374.22,41159.14
　　少数股东权益,NA,NA,NA,NA,NA,NA,NA,46.81,178.7,1186.1199999999999
　　所有者权益合计,2805.39,3976.49,11956.81,12809.24,14357.29,17083.53,20480.919999999998,31671.93,36552.92,42345.26
负债及股东权益总计,71269.119999999995,105404.77,131309.43,162399.64000000001,208976.15,256981.56,324224.36,382109.09,482764.31,636130.62
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-06-17,2008-06-17,2009-06-16,2010-05-05,2011-04-28,2012-04-16,2015-07-03,2015-07-03,2015-07-03,2016-04-22
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
