...1,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,2612.12,4243.01,7768.89,15406.7,16577.72,25970.15,31761.49,42778.54,64093,76328.95,97758.52,97276.67
　　存放同业和其它金融机构款项,2224.35,581.87,497.89,1991.77,3809.58,16952.080000000002,14781.39,45205.38,35455.67,24780.41,26021.65,8073.62
　　贵金属,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2681.19,2277.25
　　拆出资金,131.44,11.27,NA,NA,720,284.14,2590.04,1309.28,8585.59,3281.25,1002.5,3692.66
　　交易性金融资产,NA,NA,NA,NA,648.63,14643.8,3332.75,4736.45,5566.39,4452.95,409.04,4334.8500000000004
　　买入返售金融资产,NA,NA,NA,NA,37744.370000000003,28777.43,37715.660000000003,102445.02,108755.86,61743.39,50223.8,65693.06
　　应收利息,NA,NA,199.13,254.37,221.8,391.14,834.08,1391.49,2743.1,3130.82,4247.0200000000004,4436.3599999999997
　　发放贷款及垫款,NA,NA,NA,NA,65033.8,92966.53,118646.45,142106.44,167650.23000000001,200734.46,232957.75,308368.51
NA,NA,NA,NA,NA,65255.600000000006,93357.67,119480.53,NA,NA,NA,NA,NA
　　可供出售金融资产,NA,NA,NA,NA,8077.23,8509.41,8807.2900000000009,16029.25,35207.54,16347.56,6785.25,55054.07
　　持有至到期投资,NA,NA,NA,NA,13455.84,21237.58,52434.89,26150.77,27516.69,68540.53,59009.89,59826.96
　　长期股权投资,NA,NA,8,8,8,65.64,91.14,145.63999999999999,155.4,65.64,NA,NA
　　应收款项类投资,NA,NA,NA,NA,NA,NA,NA,40870.49,156984.09,303576.5,353980.58,437066.97
　　固定资产,NA,NA,NA,NA,1542.67,1995.31,2375.0100000000002,3602.48,4082.19,5985.78,7088.56,9805.42
　　无形资产,1.08,1.08,0.91,4.3499999999999996,4.2300000000000004,4.1399999999999997,6.73,6.21,6.75,7.24,6.79,19.93
　　递延所得税资产,NA,NA,NA,NA,16.04,19.96,39.67,255.64,591.95000000000005,1321.93,1394.76,1834
　　其他资产,NA,NA,NA,NA,3135.99,1946.86,743.12,10255.790000000001,555.26,1878.84,4988,10395.36
资产差额(合计平衡项目),NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
资产总计,27243.66,36971.25,56672.3,107372.6,150995.91,213764.15,274159.71999999997,437288.87,617949.71,772176.26,848555.29,1068155.67
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,1528.54,3313.21,1128.3599999999999,11666.07,19783.97,36451.72,67250.22,90675.61,173695.84,304813.68,279821.31,184677.01
　　向中央银行借款,NA,NA,NA,NA,NA,NA,558.91,739.01,377.11,426.84,606.04,15433.2
　　拆入资金,NA,NA,NA,NA,94.68,308.51,1546.32,2433.0100000000002,2512.85,2604.5100000000002,1256.2,3279.1
　　交易性金融负债,NA,NA,NA,NA,NA,NA,NA,NA,20962.650000000001,4818.47,18028.53,37616.730000000003
　　卖出回购金融资产款,4291.4799999999996,4006.55,NA,NA,37655.480000000003,26799.47,8940.67,108523.53,79172.929999999993,45435.29,7456.43,28634.73
　　吸收存款,NA,NA,NA,NA,85136.74,133338.44,172397.32,202685.84,306507.40999999997,370201.8,476626.37,605616.81999999995
NA,5820.0199999999995,7319.76,1128.3599999999999,11666.07,142670.87,196898.14,250693.44,405057,583228.79,728300.59,783794.87999999989,875257.59
　　应付职工薪酬,NA,NA,NA,NA,67.08,50.86,117.56,114.25,154.66999999999999,262.13,863.43,1235.21
　　应交税费,41.54,72.37,81.55,172.83,245.37,200.87,152.22999999999999,935.19,1291.48,1800.39,1622.24,1821.69
　　应付利息,NA,NA,NA,NA,787.34,684.14,1261.31,2260.27,3948.46,6845.88,11155.95,10434.86
　　应付债券,NA,NA,NA,NA,600,1600,1600,1000,1000,1000,8000,97550.11
　　递延所得税负债,NA,NA,NA,NA,4.0999999999999996,67.430000000000007,3.79,102.74,85.16,137.19,NA,NA
　　其他负债,NA,NA,NA,NA,2517.87,4135.95,4961.07,7730.22,2376.19,1296.56,1131.23,24888.17
　　负债差额(合计平衡项目),NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA
　　负债合计,26111.98,35761.06,55051.58,105381.61,146892.63,203637.39,258789.41,417199.66,592084.76,739642.74,806567.72,1011187.64
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,1000,1000,1000,1000,1690,4372,5576,6076.43,7048.66,8176.44,10049.64,11894.63
　　资本公积金,NA,NA,NA,NA,790.31,3669.52,6080.12,6494.25,6450.19,6099.53,8324.91,12568.86
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-74.540000000000006,813.9
　　盈余公积金,44.47,64.650000000000006,80.83,126.04,204.92,323.95,560.22,568.38,980.76,1555.19,2142.9699999999998,2845.67
　　未分配利润,87.21,145.54,238.16,502.09,887.82,1168.17,1767.96,5072.5200000000004,9100.67,12292.38,15823.7,21016.799999999999
　　一般风险准备,NA,NA,302.57,365.57,530.22,593.13,1266.51,1622.31,1988.81,3905.39,5148.79,7215.96
　　外币报表折算差额,NA,NA,-0.84,-2.71,NA,NA,NA,NA,NA,NA,NA,NA
　　股权权益差额(合计平衡项目),NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0
　　归属于母公司所有者权益合计,1131.68,1210.19,1620.72,1990.99,4103.28,10126.77,15250.8,19833.88,25569.09,32028.93,41415.46,56355.82
　　少数股东权益,NA,NA,NA,NA,NA,NA,119.5,255.33,295.86,504.59,572.11,612.21
　　所有者权益合计,1131.68,1210.19,1620.72,1990.99,4103.28,10126.77,15370.3,20089.21,25864.95,32533.52,41987.57,56968.03
负债及股东权益差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
负债及股东权益总计,27243.66,36971.25,56672.3,107372.6,150995.91,213764.15,274159.71999999997,437288.87,617949.71,772176.26,848555.29,1068155.67
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2009-01-12,2009-01-12,2009-01-12,2009-01-12,2009-05-05,2010-05-10,2011-04-28,2012-06-18,2013-06-07,2014-06-19,2015-04-30,2016-04-29
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
