...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,4463.75,9871.4,13329.83,16925.07,23172.959999999999,27731.46,40246.06,45805.61,55788.76,53137.83
　　存放同业和其它金融机构款项,407.49,1842.5,2949.78,3078.35,15103.83,40382.239999999998,52729.279999999999,25903.22,32051.93,46204.4
　　拆出资金,NA,12,NA,180.45,NA,NA,551.52,474.38,614.76,4579.74
　　交易性金融资产,NA,NA,NA,NA,NA,NA,20,846.05,1902,1104.8
　　买入返售金融资产,NA,4519.6000000000004,8539.5,18037,25977.95,6055.93,15639.1,23515.45,13384.43,3429.06
　　应收利息,NA,103.34,169.28,168.32,314.01,630.29999999999995,859.35,968.29,1103.52,1071.98
　　发放贷款及垫款,NA,28994.1,42112.61,56618.879999999997,66106.16,78475.23,91799.73,107922.26,121143.92,129352.04
NA,NA,29097.439999999999,42281.89,56787.199999999997,66420.17,79105.53,92659.08,108890.54999999999,NA,NA
　　可供出售金融资产,NA,22.51,11.45,57.76,1000,2050,5485.56,7421,8458.09,15546.84
　　持有至到期投资,NA,4009.03,4612.9399999999996,6739.19,13635.7,20382.939999999999,22369.17,24699.01,28413.47,29251.37
　　长期股权投资,NA,10.4,10.4,10.4,170.33,321.08999999999997,326.85000000000002,359.37,427.75,491
　　应收款项类投资,NA,NA,NA,1625,4024.82,3584.98,8111.44,20802.96,34027.26,34151.56
　　固定资产,NA,776.73,757.67,783.93,969.63,1000.01,1153.6099999999999,1215.3399999999999,1271.3800000000001,1184.56
　　无形资产,17.079999999999998,14.01,12.03,9.48,125.07,155.82,147.68,141.26,132.9,124.67
　　递延所得税资产,NA,442.45,229.98,149.76,274.04000000000002,353.6,467.05,598.37,981.47,1203.8499999999999
　　其他资产,NA,825.99,572.97,736.22,445.32,270.58,392.89,604.05999999999995,528.1,611.63
资产总计,37445.26,51444.07,73308.44,105119.82,151319.81,181394.19,240299.29,261276.65,300229.74,321445.34000000003
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,383.35,254.76,311.91000000000003,906.38,7421.86,26054.080000000002,33566.959999999999,28514.13,10638.79,8822.43
　　向中央银行借款,6,895.38,933.2,973.77,1017.39,1064.3,1134.8800000000001,1167.03,1118.06,995.23
　　拆入资金,NA,27.73,180.28,20.48,52.98,1400,8556.3799999999992,1630.48,5111.93,1971.12
　　卖出回购金融资产款,NA,NA,NA,2000,9628,2461.6999999999998,14448.17,13596.95,33098.54,20799.52
　　吸收存款,NA,48825.31,63039.88,91429.24,122480.12,134798.56,164191.65,195021.52,219554.97,240646.72
NA,NA,50003.18,64465.27,95329.87000000001,140600.35,165778.64000000001,221898.03999999998,239930.11,NA,NA
　　应付职工薪酬,NA,211.18,293.56,365.8,471.49,606.91,679.09,907.32,1386.44,1449.42
　　应交税费,35.85,134.81,221.42,3.3,222.7,330.91,229.67,283.31,299.72000000000003,339.27
　　应付利息,NA,163.53,303,316.62,382.17,936.21,1564.4,1959.34,2539.1799999999998,3020.24
　　应付债券,NA,NA,NA,NA,NA,2400,2400,2400,7349.98,21486.5
　　预计负债,NA,13.52,1.2,NA,NA,NA,NA,NA,NA,0.19
　　其他负债,NA,218.83,1327.9,1326.08,630.28,393.19,628.08000000000004,523.28,932.84,1635.6
　　负债合计,36088.01,50745.05,66612.350000000006,97341.67,142307.01,170445.86,227399.27,246003.38,282030.45,301166.26
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,1251.03,1623.53,3251.03,3251.03,3251.03,3251.03,3251.03,3251.03,3251.03,3251.03
　　资本公积金,15.65,398.47,4017.68,4016.23,4015.65,4015.65,4010.91,3958.46,4023.83,4023.83
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,28.18,99.54
　　盈余公积金,78.19,0.93,NA,14.13,176.67,417.16,671.31,968.16,1322.31,1603.13
　　未分配利润,12.39,-1328.99,-942.17,-152.69999999999999,635.96,1875.11,3577.34,4123.1000000000004,6023.26,7368.13
　　一般风险准备,NA,5.09,369.55,649.45000000000005,933.5,1370.36,1370.36,2913.72,3487.68,3865.41
　　归属于母公司所有者权益合计,1357.25,699.02,6696.09,7778.14,9012.81,10929.3,12880.95,15214.47,18136.28,20211.080000000002
　　少数股东权益,NA,NA,NA,NA,NA,19.03,19.07,58.81,63.01,68
　　所有者权益合计,1357.25,699.02,6696.09,7778.14,9012.81,10948.33,12900.02,15273.27,18199.29,20279.080000000002
负债及股东权益总计,37445.26,51444.07,73308.44,105119.82,151319.81,181394.19,240299.29,261276.65,300229.74,321445.34000000003
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-06-26,2011-05-23,2011-05-23,2011-05-23,2011-05-26,2014-06-30,2014-06-30,2014-06-30,2015-04-30,2016-04-29
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
