...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,399.23,1699.95,2448.4499999999998,2180.8000000000002,3157.03,4934.84,6655.11,8020.73,10343.719999999999,11242.89
　　存放同业和其它金融机构款项,1012.01,961.6,498.25,2485.85,1906.28,66.8,1117.69,315.02,279.82,907.08
　　拆出资金,NA,NA,29,NA,25.49,25.49,25.49,25.49,25.49,25.49
　　买入返售金融资产,NA,303,150,NA,887.27,2714.56,455.92,3286.41,4047,7564
　　应收利息,0.14000000000000001,2.69,20.309999999999999,45.36,86.52,122.85,152.22,175.2,204.09,233.2
　　发放贷款及垫款,NA,NA,4067.04,5410.08,6773.63,8767.19,11801.58,15265.35,21173.87,27206.91
NA,NA,NA,4087.35,5455.44,6860.1500000000005,8890.0400000000009,11953.8,15440.550000000001,21377.96,27440.11
　　可供出售金融资产,NA,NA,NA,NA,NA,NA,NA,NA,NA,7653.14
　　持有至到期投资,NA,NA,920.11,1731.32,3409.98,4176.8599999999997,4452.2700000000004,5520.25,6721.27,8497.59
　　长期股权投资,NA,319.66000000000003,NA,NA,13,13,24.4,31.4,NA,NA
　　固定资产,34.89,43.81,44.27,47.07,130.15,151.44,189.44,432.77,566.03,832.41
　　无形资产,1.52,1.21,1.82,1.31,7.33,6.89,5.74,5.89,13.06,22
　　递延所得税资产,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.98
　　投资性房地产,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08
　　其他资产,NA,NA,NA,NA,6.26,10.82,8.85,15.14,NA,147.84
资产差额(特殊报表科目),NA,NA,93.58,168.21,189.26,222.58,231.04,115.32,570.20000000000005,NA
资产总计,3198.2,6012.78,8272.83,12070,16592.189999999999,21213.3,25119.74,33208.97,43944.55,64451.59
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,4.1500000000000004,7.23,97.84,590.38,624.83000000000004,47.07,125.83,33.78,170.76,2581.91
　　向中央银行借款,29,29,29,25.49,25.49,25.49,25.49,25.49,125.49,25.49
　　卖出回购金融资产款,NA,NA,NA,NA,NA,1235,850,NA,NA,3846.5
　　吸收存款,NA,NA,7363.69,10493.87,14627.93,17832.72,21842.03,30281.67,40043.68,52240.959999999999
NA,NA,NA,7490.53,11109.740000000002,15278.25,19140.280000000002,22843.35,30340.94,40339.93,58694.86
　　应付职工薪酬,1.33,1.53,NA,14.52,31.53,44.19,15.85,24.27,38.479999999999997,56.67
　　应交税费,11.04,20.14,47.97,11.02,46.3,56.68,49.26,69.2,53.95,70.33
　　应付利息,10.57,17.440000000000001,42.19,34.75,57.81,114.15,194.29,339.52,428.35,717.94
　　应付债券,NA,NA,NA,NA,NA,NA,NA,NA,NA,993.05
　　递延所得税负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.52
　　其他负债,NA,NA,NA,NA,0.53,0,0.01,0,0,59.82
　　负债差额(特殊报表科目),NA,NA,31.39,72.69,91.43,87.41,74.64,48.45,50.46,NA
　　负债差额(合计平衡项目),NA,NA,1.49,NA,NA,338.5,NA,NA,NA,NA
　　负债合计,3038.59,5788.83,7613.57,11242.71,15505.84,19781.21,23177.39,30822.37,40911.160000000003,60605.17
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,133.81,133.81,443.1,443.1,679.45,679.45,1290.96,1613.7,1968.71,2382.14
　　资本公积金,0.76,1.22,1.67,1.67,1.67,1.67,1.67,1.67,1.67,NA
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.52
　　盈余公积金,15.61,18.84,40.26,63.85,96.56,138.66999999999999,189.75,247.54,320.75,416.71
　　未分配利润,9.44,70.069999999999993,94.44,318.67,308.67,612.29999999999995,459.98,523.69000000000005,668.22,817.73
　　一般风险准备,NA,NA,79.8,NA,NA,NA,NA,NA,18.95,128.94999999999999
　　归属于母公司所有者权益合计,159.61000000000001,223.95,659.26,827.29,1086.3499999999999,1432.09,1942.35,2386.6,2978.31,3770.05
　　少数股东权益,NA,NA,NA,NA,NA,NA,NA,NA,55.08,76.37
　　所有者权益合计,159.61000000000001,223.95,659.26,827.29,1086.3499999999999,1432.09,1942.35,2386.6,3033.39,3846.43
负债及股东权益总计,3198.2,6012.78,8272.83,12070,16592.189999999999,21213.3,25119.74,33208.97,43944.55,64451.59
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-05-22,2008-05-22,2009-05-20,2010-05-08,2011-04-27,2012-04-25,2013-04-25,2014-04-26,2015-04-08,2016-05-21
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
