...1,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,703.31,2374.64,2782.76,4743.18,4015.24,7544.9,10750.36,12353.54,10796.91,11129.98,8761.51
　　存放同业和其它金融机构款项,607.24,448.04,71.040000000000006,548.07000000000005,2980.08,975.98,8490.74,7582.2,18126.46,12953.91,6242.6
　　拆出资金,NA,49.8,29.8,9.8000000000000007,9.8000000000000007,9.8000000000000007,309.8,NA,NA,NA,100
　　买入返售金融资产,NA,NA,NA,NA,40,9689.3700000000008,8444.83,20971.7,5949.26,6490.94,4860.55
　　应收利息,0.17,5.29,2.5299999999999998,1.74,1.32,3.06,18.239999999999998,95.51,132.68,269.55,349.41
　　发放贷款及垫款,NA,5779.67,7604.8,7875.86,9517.7000000000007,11965.41,14174.16,16911.5,19824.12,24735.67,28038.799999999999
　　可供出售金融资产,NA,NA,NA,NA,NA,NA,NA,2386.27,NA,1723.08,5624.83
　　持有至到期投资,NA,123.55,123.24,122.94,82.88,82.52,82.26,32.04,2895.01,3077.66,2677.6
　　长期股权投资,NA,0.95,0.95,16.95,17.5,20.04,26.13,34.06,46.29,132.53,139.74
　　应收款项类投资,NA,NA,NA,NA,NA,836,1885,310,514,260,4360.54
　　固定资产,NA,46.49,37.68,61.32,85.96,113.97,143.59,76.27,246.21,344.91,494.4
　　无形资产,NA,NA,0.56999999999999995,0.35,2.06,1.51,1.27,15.47,24.83,32.28,43.89
　　递延所得税资产,NA,NA,NA,NA,4.93,11.44,66.2,155.1,274.91000000000003,336.29,437.54
　　其他资产,NA,3,2.19,5.76,5.0599999999999996,6.51,46.71,259.55,125.94,566.91999999999996,680.06
资产差额(合计平衡项目),NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
资产总计,5378.06,8831.42,10655.57,13385.97,16762.54,31260.53,44439.28,61183.21,58956.6,62053.71,62811.47
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,291.06,390.31,390.11,539.69000000000005,751.26,1987.75,6389.04,12276.51,14839.09,10819.18,8207.18
　　向中央银行借款,NA,NA,NA,NA,NA,NA,NA,NA,194.34,743.4,1000
　　拆入资金,NA,NA,NA,NA,NA,NA,NA,NA,143,333,200
　　卖出回购金融资产款,NA,NA,100,NA,NA,632.91999999999996,3531.29,8240.2999999999993,677.06,5486.55,5358.04
　　吸收存款,NA,6357.51,9499.2199999999993,11896.68,14926.17,26919.91,31362.2,36433.71,38350.730000000003,39048.07,37528.46
NA,NA,NA,NA,12436.37,NA,NA,NA,NA,NA,NA,NA
　　应付职工薪酬,NA,4.26,5.66,0.48,2.11,0.99,NA,NA,NA,21.09,3.18
　　应交税费,9.32,30.5,65.680000000000007,91.79,60.5,91.12,191.82,339.59,215.35,171.59,176.84
　　应付利息,24.43,38.270000000000003,77.180000000000007,125.96,101.65,137.41,240.11,326.16000000000003,466.45,565.62,566.96
　　应付债券,NA,70,70,70,70,230,160,160,160,160,4472.78
　　递延所得税负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.72
　　其他负债,NA,1708.76,9.01,10.94,12.74,116.47,136.78,395.23,367.91,110.12,87.85
　　负债差额(合计平衡项目),NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　负债合计,5211.49,8599.59,10216.86,12735.53,15924.43,30116.57,42011.24,58171.5,55413.919999999998,57458.61,57631.02
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,110.37,100.33,218.98,218.98,508.33,508.33,843.33,843.33,843.33,1360.65,1487.85
　　资本公积金,1.72,21.78,1.72,1.72,1.72,1.72,504.22,491.44,503.32,682.37,688.73
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.51,89.17
　　盈余公积金,22,26.82,40.299999999999997,54.9,79.87,102.97,139.75,194.57,268.64,337.07,409.48
　　未分配利润,32.479999999999997,82.88,177.72,374.84,248.2,510.94,920.74,1302.3800000000001,1647.39,1788.52,1875.23
　　一般风险准备,NA,NA,NA,NA,NA,20,20,180,280,430,630
　　股权权益差额(合计平衡项目),NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
　　归属于母公司所有者权益合计,166.57,231.82,438.71,650.44000000000005,838.11,1143.96,2428.0300000000002,3011.72,3542.68,4595.1000000000004,5180.45
　　所有者权益合计,166.57,231.82,438.71,650.44000000000005,838.11,1143.96,2428.0300000000002,3011.72,3542.68,4595.1000000000004,5180.45
负债及股东权益差额(合计平衡项目),NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
负债及股东权益总计,5378.06,8831.41,10655.57,13385.97,16762.54,31260.53,44439.28,61183.21,58956.6,62053.71,62811.47
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2010-03-05,2010-03-05,2010-03-05,2010-03-05,2010-04-22,2011-04-22,2012-04-18,2013-04-25,2014-04-10,2015-04-28,2016-04-28
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
