...1,2006-12-31,2007-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,2317.71,3872.57,4942.28,7529.46,9267.1299999999992,11151.2,14090.6,16080.29,15025.99
　　存放同业和其它金融机构款项,1596.83,1356.15,2070.59,4729.3500000000004,12420.54,16842.86,16845.009999999998,17992.29,10275.61
　　拆出资金,NA,NA,NA,NA,NA,NA,12.19,NA,1919.48
　　交易性金融资产,NA,NA,NA,NA,NA,NA,379.8,433.37,1087.8699999999999
　　买入返售金融资产,NA,NA,NA,NA,199.88,NA,100,918.22,1100
　　应收利息,NA,NA,NA,NA,165.86,235.66,388.98,551.33000000000004,654.79
　　发放贷款及垫款,NA,NA,NA,NA,32348.94,37326.97,42731.99,49131.98,54023.5
NA,NA,NA,NA,NA,NA,NA,NA,NA,54678.29
　　可供出售金融资产,NA,NA,NA,NA,NA,469.74,1459.18,4675.01,8843.01
　　持有至到期投资,NA,NA,NA,NA,4639.13,5913.23,6493.25,12863.83,16956.62
　　长期股权投资,NA,NA,NA,NA,176.1,NA,NA,379.8,414
　　应收款项类投资,NA,NA,NA,NA,NA,NA,NA,NA,3622.16
　　固定资产,NA,NA,260.06,358.44,401.73,559.91999999999996,827.22,920.25,981.57
　　无形资产,95.34,90.67,NA,NA,140.5,195.05,197.77,200.5,210.03
　　递延所得税资产,NA,NA,NA,NA,91.56,109.32,145.78,182.79,278.07
　　投资性房地产,NA,NA,NA,NA,29.85,26.14,24.14,17.91,16.34
　　其他资产,NA,NA,28801.919999999998,33219.050000000003,60.21,142.61000000000001,70.489999999999995,115.52,81.61
资产差额(特殊报表科目),NA,NA,67.86,40.14,NA,NA,NA,NA,NA
资产总计,21001.37,23361.68,36142.71,45876.44,59941.43,72972.7,83766.41,104463.09,115490.64
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,NA,NA,NA,17.3,2842.58,6456.25,5474.73,8648.2800000000007,5117.46
　　向中央银行借款,NA,NA,NA,NA,NA,NA,NA,NA,200
　　拆入资金,NA,NA,NA,NA,2300,1500,NA,500,NA
