...1,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,NA,NA,831.91,1155.74,2175.29,2282.52,3881.55,6787.35,7276.54,9391.66,11912.36,12154.42,10528.88
　　存放同业和其它金融机构款项,NA,NA,398.13,3.68,521.39,866.75,1458.74,1149.83,2422.9,1177.44,1978.86,1415.86,960.4
　　拆出资金,NA,NA,NA,NA,NA,NA,50,NA,100,7,249.22,122.38,725.65
　　交易性金融资产,NA,NA,NA,NA,NA,874.66,816.9,778.97,443.72,1084.04,2081.13,1200.17,4149.97
　　买入返售金融资产,NA,NA,NA,NA,NA,500.77,286.14999999999998,7355.02,535.86,2012.54,1967.8,407.5,2365.5300000000002
　　应收利息,NA,NA,NA,NA,NA,68.540000000000006,79.3,148.61000000000001,172.79,234.28,346.12,449.27,577.55999999999995
　　发放贷款及垫款,NA,NA,NA,NA,NA,9967.85,14260.31,17405.87,21602.99,26992.74,30268.67,35791.1,43052.61
NA,NA,NA,NA,NA,NA,10036.390000000001,14339.609999999999,17554.48,NA,NA,NA,NA,NA
　　可供出售金融资产,NA,NA,NA,NA,NA,1795.77,1855.67,1043.03,1983.85,3363.76,4853.57,6353.49,9613.66
　　持有至到期投资,NA,NA,NA,NA,NA,1469.94,2006.63,2152.2800000000002,3791.55,4172.92,7343.94,8140.72,9006.56
　　长期股权投资,NA,NA,NA,NA,NA,12.75,22.75,28.75,27.91,36.83,32.75,3.28,1.28
　　应收款项类投资,NA,NA,NA,NA,NA,NA,NA,NA,NA,1023.25,1989.83,4869.38,8163.16
