...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,437.22,1394.57,1828.71,2826.95,13319.41,18368.759999999998,24306.76,31331.31,24420.43,31354.41
　　存放同业和其它金融机构款项,845.57,172.96,231.05,3249.86,18386.05,36803.94,48513.43,66388.479999999996,67717.919999999998,66170.100000000006
　　拆出资金,NA,NA,NA,NA,NA,NA,NA,868.9,839.43,1563.9
　　交易性金融资产,NA,NA,302.52,NA,760.57,572.27,1098.1500000000001,5456.6,6686.04,6911.05
　　买入返售金融资产,NA,NA,NA,1186.2,5923.75,12440.85,12992.35,11204.94,23680.58,27306.75
　　应收利息,NA,NA,11.73,93.56,788.2,1343.12,1684.25,1852.55,1372.89,776.13
　　发放贷款及垫款,NA,NA,714.08,9780.91,11875.18,20593.03,40377.72,61037.46,70283.98,84761.35
NA,NA,NA,725.81000000000006,9874.4699999999993,12663.380000000001,21936.149999999998,42061.97,NA,NA,NA
　　可供出售金融资产,NA,NA,NA,2099.31,13089.93,16738.7,21623.77,24772.65,16982.32,6105.11
　　持有至到期投资,NA,NA,701.11,2259.87,18210.78,23060.720000000001,19966.11,17754.95,12473.78,16423.18
　　应收款项类投资,NA,NA,NA,NA,NA,NA,13687.6,24770.53,52662.09,47497.919999999998
　　固定资产,NA,NA,26.75,30.65,176.28,231.34,333.51,362.53,362.53,369.5
　　无形资产,1.89,3.5,10.97,10.8,13.76,36.520000000000003,63.99,84.45,96.71,75.88
　　递延所得税资产,NA,NA,NA,4.4000000000000004,37.44,61.84,91.25,449.28,580.21,665.75
　　其他资产,NA,NA,7.59,34.69,22.5,44.16,76.37,118.14,140.19,197.55
资产总计,2755.15,3249.37,3834.51,21577.21,82603.839999999997,130295.25,184815.27,246452.76,278299.09000000003,290178.57
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,NA,NA,350,80,12682.47,26006.37,48823.66,89571.55,124258.48,112684.67
　　向中央银行借款,NA,NA,NA,NA,NA,NA,25,45,25,603.12
　　拆入资金,NA,NA,NA,NA,NA,NA,2000,NA,1600,NA
　　卖出回购金融资产款,NA,NA,NA,601.4,6201.5,15926.86,10673.48,1462.74,12834.15,8147.37
　　吸收存款,NA,NA,3185.3,17663.05,57055.8,74224.160000000003,104829.69,130425.27,113102.83,141106.41
NA,NA,NA,3535.3,18344.45,75939.77,116157.39,166351.83000000002,221504.56,NA,NA
　　应付职工薪酬,NA,NA,2.93,5.68,1.48,2.37,0.95,2.31,6.09,12.03
　　应交税费,1.1599999999999999,3.17,6.06,26.48,5.8,116.7,219.57,399,486.53,215.69
　　应付利息,NA,NA,23.81,44.09,68.12,687.8,1183.52,1716.63,2141.25,2227.08
　　应付债券,NA,NA,NA,NA,NA,NA,NA,NA,NA,349.88
　　递延所得税负债,NA,NA,1.03,NA,NA,NA,NA,NA,NA,17.5
　　其他负债,NA,NA,26.83,49.67,84.58,544.95000000000005,2518.8000000000002,5379.86,3233.83,1874.06
　　负债合计,2633.51,3116.64,3595.96,18470.39,76099.740000000005,117509.21,170274.66,229002.35,257688.16,267237.81
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,100.67,100.67,180.67,2262.15,4203.87,6716.19,6716.19,7380.52,7380.52,7380.52
　　资本公积金,2,3,3,719.79,1476.8,4097.8900000000003,4255.28,4479.37,5513.1,5513.1
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,-47.19,98.05
　　盈余公积金,2.0699999999999998,4.28,8.07,15.07,83.91,207.31,401.37,658.52,949.48,1241.0899999999999
　　未分配利润,11.28,14.15,28.58,48.59,179.12,812.74,1598.02,2551.2800000000002,4423.24,5870.03
　　一般风险准备,5.62,10.62,18.23,61.23,550.37,939.33,1542.64,2346.4899999999998,2348.39,2781.73
　　归属于母公司所有者权益合计,121.64,132.72999999999999,238.55,3106.83,6494.08,12773.46,14513.5,17416.189999999999,20567.55,22884.53
　　少数股东权益,NA,NA,NA,NA,10.02,12.57,27.11,34.22,43.38,56.24
　　所有者权益合计,121.64,132.72999999999999,238.55,3106.83,6504.1,12786.04,14540.61,17450.41,20610.93,22940.77
负债及股东权益总计,2755.15,3249.37,3834.51,21577.21,82603.839999999997,130295.25,184815.27,246452.76,278299.09000000003,290178.57
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-07-15,2008-07-15,2009-04-16,2010-04-30,2011-04-29,2012-04-26,2013-04-12,2014-04-30,2015-04-29,2016-04-29
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
