...1,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,3261.4,4555.2700000000004,5848.9,8084.18,9623.23,8558.56,9081.1,7448.06
　　存放同业和其它金融机构款项,1147.74,1351.38,2610.0700000000002,6294.21,6833.2,3715.71,3490.75,2302.67
　　拆出资金,NA,NA,NA,NA,NA,NA,NA,290
　　交易性金融资产,NA,570.72,1.98,150.6,756.72,883.02,450.82,NA
　　买入返售金融资产,1215.49,NA,780.65,NA,20.7,563.75,2191.13,496.06
　　应收利息,52.98,89.4,101,145.53,166.69,210.27,301.02,370.51
　　发放贷款及垫款,11351.88,15614.75,18069.29,20881.45,23533.439999999999,25790.3,28280.62,30609.42
NA,11404.859999999999,15704.15,18170.29,21026.98,23700.129999999997,26000.57,28581.64,30979.929999999997
　　可供出售金融资产,NA,NA,NA,NA,NA,NA,2500.41,5958.39
　　持有至到期投资,2316,2277.4699999999998,2471.14,3376.99,3155.19,4704.45,7178.42,6817.31
　　长期股权投资,15.18,15.18,115.18,115.18,115.18,115.18,197.7,254.83
　　应收款项类投资,NA,NA,NA,40,70,30,130,7847.18
　　固定资产,117.9,175.04,274.14,355.92,433.57,583.98,791.02,731.99
　　无形资产,16.440000000000001,14.24,12.42,17.37,17.66,23.19,37.880000000000003,33.99
　　递延所得税资产,98.21,119.43,155.02000000000001,231.01,297.83,262.23,258.58,332.42
　　其他资产,69,192.94,315.77,105.32,85.12,39.67,50.18,46.56
资产总计,19662.22,24975.83,30755.57,39797.760000000002,45108.53,45480.32,54939.62,63539.38
负债：,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,5.34,142.74,99.17,2115.2600000000002,824.17,49.47,1698.95,1899.79
　　向中央银行借款,NA,NA,NA,NA,NA,NA,61.75,72.790000000000006
　　拆入资金,60,NA,NA,NA,NA,NA,NA,400
　　卖出回购金融资产款,16,210.14,NA,998,982,2268.34,3815.2,4866.8900000000003
　　吸收存款,17893.240000000002,22617.22,28072.61,33761.21,39151.43,38736.92,44133.67,49236.75
NA,17974.580000000002,22970.100000000002,28171.78,36874.47,40957.599999999999,41054.729999999996,49709.57,56476.22
　　应付职工薪酬,90.16,97.28,95.68,100.96,89.65,83.58,146.33000000000001,134.9
　　应交税费,52.54,56.37,102.12,100.01,118.68,-15.03,28.89,33.07
　　应付利息,336.34,257.39,306.45,361.97,571.16999999999996,758.02,846.55,1023
　　递延所得税负债,NA,0.09,NA,NA,NA,NA,9.4499999999999993,32.11
　　预计负债,32.93,34.11,33.32,103.6,36.869999999999997,36.15,NA,NA
　　其他负债,89.23,203.41,338.28,108.65,99.47,31.21,237.6,480.22
　　负债差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,997.56
　　负债合计,18575.79,23618.75,29047.64,37649.660000000003,41873.440000000002,41948.67,50978.38,59177.07
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,471.87,542.65,629.48,780.55,1246.96,1246.96,1246.96,1246.96
　　资本公积金,NA,NA,NA,NA,344.26,344.26,344.26,344.26
　　其它综合收益,NA,NA,NA,NA,NA,NA,29.72,102.85
　　盈余公积金,101.07,137.29,187.55,252.81,312.24,394.27,474.57,720.06
　　未分配利润,240.57,279.41000000000003,375.61,426.4,561.92999999999995,483.95,576.62,598.48
　　一般风险准备,272.93,369.12,486.5,653.97,726.67,1000.06,1235.31,1317.98
　　归属于母公司所有者权益合计,1086.44,1328.47,1679.13,2113.73,3192.06,3469.5,3907.45,4330.59
　　少数股东权益,NA,28.61,28.8,34.369999999999997,43.03,62.15,53.8,31.73
　　所有者权益合计,1086.44,1357.08,1707.93,2148.1,3235.09,3531.65,3961.25,4362.3100000000004
负债及股东权益总计,19662.22,24975.83,30755.57,39797.760000000002,45108.53,45480.32,54939.62,63539.38
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2010-09-21,2010-09-21,2012-05-29,2012-05-29,2013-12-27,2014-04-30,2015-04-29,2016-04-30
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA
