...1,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,4213.01,5645.36,9649.9500000000007,15773.22,22981.23,21801.35,21550.78,22850.9
　　存放同业和其它金融机构款项,13.3,2013.81,213.12,1998.77,754.09,499.05,354.69,330.5
　　交易性金融资产,NA,69.989999999999995,838.71,2025.47,5035.9399999999996,798.48,863.53,4772.42
　　买入返售金融资产,1818.89,600.70000000000005,6873,15959.83,20891.150000000001,40361.14,38942.449999999997,5863.47
　　应收利息,NA,78.97,181.51,264.70999999999998,384.27,417.11,438.4,685.91
　　发放贷款及垫款,8713.73,17244.310000000001,22023.200000000001,26530.65,31665.05,39046.550000000003,48523.71,62539.77
NA,8713.73,17323.280000000002,22204.71,26795.360000000001,32049.32,39463.660000000003,48962.11,63225.68
　　可供出售金融资产,891.74,798.18,1143.6300000000001,1730.85,2264.69,2600.71,3561.56,1874.15
　　持有至到期投资,3241.27,3701.37,9797.84,8384.7199999999993,8132.18,7549.21,7128.92,8841.69
　　长期股权投资,8.25,8.25,8.25,8.25,8.25,8.25,NA,NA
　　应收款项类投资,NA,NA,NA,NA,11102.07,17008.38,20191.259999999998,47147.32
　　固定资产,184.86,247.82,231.87,213.63,255.74,369.64,452.25,501.3
　　无形资产,6.81,11.38,11.39,21.29,27.44,38.380000000000003,49.03,55.51
　　递延所得税资产,108.33,137.77000000000001,190.48,289.91000000000003,376.27,520.12,736.67,839.47
　　其他资产,1721.94,1489.98,2336.71,4586.05,680.52,767.58,734.31,940.22
资产差额(特殊报表科目),52.12,NA,NA,NA,NA,NA,NA,NA
资产总计,20974.26,32047.89,53499.66,77787.320000000007,104558.89,131785.96,143527.54999999999,157242.63
负债：,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,7.0000000000000007E-2,7.0000000000000007E-2,1182.3599999999999,2807.2,9479.6299999999992,9497.42,12075.78,31081.37
　　向中央银行借款,NA,NA,NA,NA,NA,900,25,NA
　　拆入资金,NA,NA,NA,NA,142.34,NA,NA,97.4
　　卖出回购金融资产款,NA,NA,5772.18,10300.549999999999,11882.26,22165.03,29000.33,6615.8
　　吸收存款,17684.96,28709.58,42672.77,57755.43,74476.42,89081.81,91077.78,103776.98
NA,17685.03,28709.65,49627.31,70863.179999999993,95980.65,121644.26,132178.89000000001,141571.54999999999
　　应付职工薪酬,99.24,183.72,350.04,497.55,504.45,494,487.8,557.16999999999996
　　应交税费,69.650000000000006,60.29,71.209999999999994,287.83999999999997,177.4,258.41000000000003,199.01,241.21
　　应付利息,201.44,154.47999999999999,249.73,565.88,1110.82,1745.68,2260.7600000000002,2649.98
　　应付债券,NA,NA,NA,NA,NA,NA,NA,2291.4299999999998
　　递延所得税负债,13.07,NA,NA,8.5399999999999991,NA,NA,NA,NA
　　其他负债,395.86,104.69,119.66,288.64999999999998,514.46,256.82,204.72,934.35
　　负债合计,18464.29,29212.83,50417.95,72511.63,98287.79,124399.16,135331.17000000001,148245.70000000001
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,2391.94,2468,2468,3268,3268,3268,3268,3268
　　资本公积金,24,59.69,56.28,876.21,856.66,799.89,860.85,908.85
　　其它综合收益,NA,NA,NA,NA,NA,NA,31.23,28.27
　　盈余公积金,81.99,103.32,129.81,190.18,494.12,880.35,1314.47,1882.5
　　未分配利润,12.04,192,238.39,546.94000000000005,493.2,790.89,879.7,963.47
　　一般风险准备,NA,12.04,189.23,394.37,1137.3,1623.3,1814.3,1916.3
　　股权权益差额(合计平衡项目),NA,NA,0,NA,NA,NA,NA,NA
　　归属于母公司所有者权益合计,2509.9699999999998,2835.05,3081.72,5275.69,6249.28,7362.43,8168.55,8967.39
　　少数股东权益,NA,NA,NA,NA,21.82,24.38,27.84,29.54
　　所有者权益合计,2509.9699999999998,2835.05,3081.72,5275.69,6271.11,7386.81,8196.39,8996.93
负债及股东权益差额(合计平衡项目),NA,NA,0,NA,NA,NA,NA,NA
负债及股东权益总计,20974.26,32047.89,53499.66,77787.320000000007,104558.89,131785.96,143527.54999999999,157242.63
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2009-04-30,2010-04-30,2011-04-30,2012-04-28,2013-04-27,2014-04-26,2015-04-29,2016-04-29
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA
